taxonomy_recordid,taxonomy_name,taxonomy_parent_name,exclude_vocabulary,taxonomy,category_logo,category_logo_white,taxonomy_grandparent_name,taxonomy_vocabulary,taxonomy_x_description,taxonomy_x_notes,language,taxonomy_services,taxonomy_parent_recordid,taxonomy_facet,category_id,taxonomy_id,order,badge_color,flag,status
646077810643985,Women/Girls,911240657187696,,1081834932991779,,,,,,,,"1071954080796084,674097006531397,1089573809572411,961847087578752,1161194466996208,1296065204186379,1221652904126057,1163788260715796,930016985181850,888508309645148,740783063728260,643156433763559,744532051423737,1194872069892643,917340488183103,1129022337432214,912868472017219,989379893295634,1125987342546107,1146482188745759,1124640120854271,1096873514597287,1275671248652557,725328222364770,830255620342454,1228391315842600,569326528063960,1205629989379688,803289389092544,619066407387390,1338519459730817,1179791140220795,1172189593592063,1273412412302024,845610250708517,1245580607395005,1337736663266538,689392643888484",,,,rec4tZaacRSEATZWs,,7D8C5F,,Published
591686322682243,"Birth Control",1167670310712474,,629864383953331,,,,,,,,586144902080222,,,,rec56DOZ91ymChIVS,,3DB7F3,,Published
605208083376697,"Personal Technology",1211420433536032,,629864383953331,,,,,,,,962096753025959,,,,rec5BQcoA3AM7uTvu,,F9F419,,Published
622101334810848,"Blankets & Fans",1180601869455614,,629864383953331,,,,,,,,,,,,rec5OzT1u4kH1mnIv,,2B0C83,,Published
651505477242802,"Outpatient Treatment","806935508227949,792078943886000,600702532354257",,629864383953331,,,,,,,,811251791719847,,,,rec5oc0vD9cIRu2Ff,,BF556F,,Published
655659997806706,"Liver Cancer",1265252182873860,,1081834932991779,,,,,,,,,,,,rec5vCTmdYdCbso2j,,9DB723,,Published
603028983607249,"Citizenship & Immigration","779743205099707,929417499509486",,629864383953331,,,,,,,,,,,,rec67HKFMxKIwjj6m,,B0A5D1,,Published
618691115838629,"Vision Care",879394671891223,,629864383953331,,,,,,,,,,,,rec6CjeEs1w7zp6sO,,13F8BB,,Published
614856429001096,"Long-Term Housing",1268047549889803,,629864383953331,,,,,,,,,,,,rec6D9jUl4aq9wqDt,,9D301F,,Published
629380122005095,Homeless,817592898756695,,1081834932991779,,,,,,,,"718763768520855,848785574110592,900938870720008,926618827303169,960664065602895,645639147901738,586532932628487,1164412528090303,1200468711293825,762627227359602,788820780825349,1257941540805584,1311425782447298,1118736926815724,852528117694344,1221652904126057,637799341696955,624670942302096,810322998076695,1252811207069395,828873851944462,1247609265512489,829979157869352,1262274366963110,1184021119607946,1200334283969211,1247087473794460,1343816429794125,739062573866794,605385202624201,1003036537750667,1107276468708862,643156433763559,603580181050118,744532051423737,1194872069892643,917340488183103,1129022337432214,912868472017219,989379893295634,1125987342546107,1146482188745759,1124640120854271,1298850689126022,1308027877412141,1096873514597287,1184758670431530,1275671248652557,1144935558772710,1201069695813904,1253984981707388,1126445517023366,1156734654820399,1226032227700549,652787019720552,1131528502132736,998910660786600,833463361083754,1003127511248132,945829836126554,659175264242163,1317811461953516,1136496312754304,638870700632782,929579985962021,1156988661828912,1333335607705891,911241036881136,1266964744981497,967262538035937,569326528063960,1205629989379688,803289389092544,619066407387390,1121716306827418,1099503418949118,987823009683776,741133276923057,1089668903464175,772373540242764,911538558546594,1246421144702219,1126118557955040,650989691735486,1285828968189382,876445692954802,1155437863225575,647744623033900,992859209726369,1117231582416420,660274006512095,603666914258436,635447872052057,762793386869132,792936164198567,1141602848810845,891639566314809,1245580607395005,1251032317225019,1227144157948013,803823952910815,1122591520560722,818780778532753,1350703837531670,928437024657296,590856913957665,594081408024759,1223343952721664,821975197328764,1207720606469506,781718626017793",,,,rec6QGwMyZt4GWIIA,,40AF07,,Published
630013980013392,Food,,,629864383953331,/uploads/images/1613685622category_logo_630013980013392.png,/uploads/images/1613685622category_logo_white_630013980013392.png,,,"Services for free meals, food pantries, help paying for food, food delivery, food benefits and nutrition support.\n",,,"1193500689688597,1279531428850596,1011096322447568,767973914805055,720253176536744,1053054069738308,905112130077089,748538600142879,930620453165185,925876618282340,867810178957304,1298850689126022,1308027877412141,600311424612877,1125987342546107,806942363715001,1156130223734698,1096873514597287,819907567165668,1188616906512182,976249584318959,1266964744981497,1172430599453041,795565312115643,1275451737359298,786696636711619,1050554025156180,1332199960888369,1257962156531903,763809067838037,1133566646559856,1257701331454062,619838171879237,1162124852182078,1133841580769830,890827452085799,905929309244389,660905682344295,572554560594709,783958686086923,583988896816188,844054055268446,1079995367180066,980051444166145,604818206550536,1093343173920146,1152526034865988,1275024510435821,979425998294597,1297071446315488,1223973175827182,790527027022440,614870969341256,690963495070781,862520686520779,1243657038645919,699332863961289,1258369939351491,595082261115094,858728937671038,1267670024992885,1214461475383160,1215155337816976,637221801458890,1277590500374109,619060926571379,1096380639922060,626995528078756,1221858333494471,756590434387042,808097983123711,978823191463999,885911212444742,1077886511267517,1196312610753230,1140724818955853,1085691019894863,899717824024978,958856187058355,673842557296387,797450607239235,893238959562564,872527579879656,1245438642846755,601404732528535,808149675507884,951302523912390,846935241007006,789154474077987,940090750283296,1270945763992488,962096753025959,1124494359127801",,,,rec6T65KPVr0lxzpH,,000000,modified,Published
666755781872045,"Financial Education","899387596744807,1132205886737577",,629864383953331,,,,,,,,,,,,rec6tcKd2CfWimySs,,3C0CAF,,Published
615363042499687,Role,,,1081834932991779,,,,,,,,,,,,rec78VDFzLHc59wEa,,1A3CED,,Published
625453832938852,"GED/High-School Equivalency","625531295881156,929417499509486,1132205886737577",,629864383953331,,,,,,,,"1162872937044136,1173270438890110",,,,rec7DAWHkhW0fkmTp,,41C62E,,Published
636447730830237,"Understand Government Programs","779743205099707,1320302684728105",,629864383953331,,,,,,,,,,,,rec7P4sVmM4MiEhKW,,040B98,,Published
637587591909881,"Assistive Technology",788769915367979,,629864383953331,,,,,,,,1246366130479163,,,,rec7PF48ibdoHREXe,,BE43D4,,Published
645461517765550,"Pregnancy Tests",1235658330362031,,629864383953331,,,,,,,,586144902080222,,,,rec7SpvFjQabZ5vF2,,A972E5,,Published
645135888577674,"No High School Diploma",1210543691411181,,1081834932991779,,,,,,,,,,,,rec7Y1qbFS520VlOT,,B2E669,,Published
659632323521459,"Primary Care",1165536100757865,,629864383953331,,,,,,,,,,,,rec7bn96HgW5pZl7m,,ECA4D0,,Published
678945436299788,"Wilms Tumor",1265252182873860,,1081834932991779,,,,,,,,,,,,rec7yCqgtKKiGRH2X,,070AC2,,Published
683587755864681,Fathers,615363042499687,,1081834932991779,,,,,,,,,,,,rec7zhoH0SqulN6ty,,62E452,,Published
639683809732866,Detox,600702532354257,,629864383953331,,,,,,,,,,,,rec8DmBqdHNjdxumL,,3922CB,,Published
681677173698449,"Home & Renters Insurance","1125729387706168,820647015810178",,629864383953331,,,,,,,,,,,,rec8t1DVfXTUlmWDE,,53E6FA,,Published
688102827594831,"Homebuyer Education","666755781872045,891529659623486",,629864383953331,,,,,,,,,,,,rec8z1oUFHe7g8Lpo,,759250,,Published
632722910223412,"Resident of 20009 Zip Code",1139839930624727,,1081834932991779,,,,,,,,1202085877211897,,,,rec97DV4eHRKB6Qxp,,A40177,,Published
656166932664053,"Assisted Living","614856429001096,1110183826221887",,629864383953331,,,,,,,,,,,,rec9KcrslfiF7fpP5,,444BC3,,Published
652121067639768,"Visual Impairment",1141891580359737,,1081834932991779,,,,,,,,"1063814078946036,1231073685933274,1246366130479163,1171496076891511",,,,rec9L4RZcip27QR2D,,E33811,,Published
685166122503637,"Sober Living","1235791902856617,600702532354257",,629864383953331,,,,,,,,,,,,rec9hctbHOxqpN1AW,,52A171,,Published
697638961326982,"Transportation for Healthcare","928634817824512,878852836579488",,629864383953331,,,,,,,,,,,,rec9tlIg0lHUKAkxR,,E0B787,,Published
698447380354993,"Help Pay for Childcare","1228385258535588,798567761994199",,629864383953331,,,,,,,,,,,,rec9xN4srUyW8SmfI,,2F8360,,Published
713360107412317,"Infants and Toddlers (0-2)",1212005456553071,,1081834932991779,,,,,,,,"990059361209852,823287765002075,592279932552007,667387929525624,834804986562892,627561586053944",,,,recA7JXEfNy8HSW5W,,149AA4,,Published
729978449177558,"Dental Care",879394671891223,,629864383953331,,,,,,,,"1038206932789964,1115001618582576,628467166072226",,,,recACyR1ShbdmKvAl,,092028,,Published
734670676387012,"Tax Preparation",899387596744807,,629864383953331,,,,,,,,944606179638640,,,,recAHvMXy2CTZODt4,,625875,,Published
737537161640597,"Unemployment Benefits",1320302684728105,,629864383953331,,,,,,,,,,,,recAJzzinihAflvIC,,FCFAC6,,Published
761507437839279,"Discrimination & Civil Rights",779743205099707,,629864383953331,,,,,,,,,,,,recAcrbsoyswRlhS1,,B2E557,,Published
770192788997350,Bereavement,"1054110730145742,792078943886000,1247837810727455",,629864383953331,,,,,,,,,,,,recAlqQIVoI1g7rVZ,,4D5FC8,,Published
749673547946260,"Disaster Preparedness & Response",1132205886737577,,629864383953331,,,,,,,,,,,,recBNkYM8VMg7WTOF,,18FE60,,Published
764797459068982,"Ward 8 Resident",1139839930624727,,1081834932991779,,,,,,,,"788645594475711,808149675507884,1276490106012366",,,,recBb9bmJbDchumg4,,6E13E5,,Published
779743205099707,"Advocacy & Legal Aid",841905613386238,,629864383953331,,,,,,,,"876179328673488,857918942159858,630264519658509,874630142674226,1108750269140523",,,,recBpBjKL1kGYdYFk,,E4DDFA,,Published
786843100010907,"Help Find Housing","1305774265925553,1294707318379665",,629864383953331,,,,,,,,"635447872052057,635411099042905",,,,recBy1X7K2XoPgHA9,,E51C1E,,Published
754865326124113,"Ages 21+",1212005456553071,,1081834932991779,,,,,,,,896329421364349,,,,recCMChuKITnczpQg,,5EC7A8,,Published
768436819350180,Insurance,899387596744807,,629864383953331,,,,,,,,,,,,recCYVIe46HAO1j2P,,B017D1,,Published
776143467926804,"Supplies for School","1180601869455614,777005893906972",,629864383953331,,,,,,,,,,,,recCbJBGw0MeGmCfT,,47D6D8,,Published
777005893906972,"Help Pay for School","798567761994199,976566727118378",,629864383953331,,,,,,,,,,,,recCbMwiaoGxOhzBp,,AC715B,,Published
778256962802905,Runaways,1167028395080754,,1081834932991779,,,,,,,,1117231582416420,,,,recCdKAcHF3ivqXhA,,F6F01B,,Published
788823167088366,"Intellectual Disability",1141891580359737,,1081834932991779,,,,,,,,,,,,recCoEV8A9XPdMiQ8,,7AE2DA,,Published
796870551245598,"Emergency Food","630013980013392,1169956847122981",,629864383953331,,,,,,,,,,,,recCx9jbw8U5RsbHN,,17BED0,,Published
742573749443370,"Ages 60+",1212005456553071,,1081834932991779,,,,,,,,"1102203467116873,966998420345688,822886605211738,763106931954514",,,,recD86iqcLMuBHiPF,,9D11AE,,Published
745675631776034,"Teens (13-19)",1212005456553071,,1081834932991779,,,,,,,,"1071954080796084,674097006531397,1089573809572411,961847087578752,1161194466996208,1296065204186379,978396734879857,1158805154331276,936010727694695,1099406667463105,1133049402514864,616524237670756,872607427636909,762627227359602,894487344015737,1128952488713927,998881009851013,1173270438890110,876118989495452,1194227911974076,978858266637697,859847606001066,1154673214411715,1252811207069395,1204195770141501,927357871286669,856388971104613,665741809852890,974973185011225,971894815669980,637788539576170,788377494442735,636366666716828",,,,recD9NPE5yocKx1gh,,3C2EDB,,Published
758960875077789,"All Ages",1212005456553071,,1081834932991779,,,,,,,,"1095497824033311,1182835937166583,1108270050321045,819105625973846,897612626354041",,,,recDClhneEO0vUvWw,,68FD9D,,Published
760682869186995,"Help Find School","1294707318379665,976566727118378",,629864383953331,,,,,,,,,,,,recDHKnFtvS1xJvls,,C381A9,,Published
763679390726230,Grieving,969755667750581,,1081834932991779,,,,,,,,,,,,recDKNLpAQDsqUfb2,,289560,,Published
771397719308358,"Daily Life Skills",1102011945010404,,629864383953331,,,,,,,,,,,,recDPiOdEEuqXuhVb,,F22EDB,,Published
745200262392648,"Bus Passes",1216646091883750,,629864383953331,,,,,,,,,,,,recE14YbsCTHpAF9N,,0E7DB0,,Published
751819565696252,On-Treatment,818150474957808,,1081834932991779,,,,,,,,,,,,recE3cSObEBTxVZsf,,80A5E5,,Published
769442360904001,"Myeloma, Multiple",1265252182873860,,1081834932991779,,,,,,,,,,,,recEGLHrGuNumjEde,,365D00,,Published
772638817096683,"Employment Status",,,1081834932991779,,,,,,,,,,,,recEJKl1XYwDvimDg,,FDF5CC,,Published
777959161914567,"Postnatal Care",800876057594945,,629864383953331,,,,,,,,,,,,recEOS9S79PnRRvEM,,704897,,Published
782075910643026,"Limited English",950583367157610,,1081834932991779,,,,,,,,,,,,recETDwIulyTtHayt,,E09232,,Published
783597762112560,"Efficient Appliances",1180601869455614,,629864383953331,,,,,,,,,,,,recEUMOcKuQfRW21F,,C1B334,,Published
785129242888069,"Parenting Education","1102011945010404,1247837810727455",,629864383953331,,,,,,,,,,,,recEY72ut3xyFR3XY,,3CB6A6,,Published
788545605785566,Neuroblastoma,1265252182873860,,1081834932991779,,,,,,,,,,,,recEYY5lCSAbXaNFB,,3F647A,,Published
792078943886000,"Mental Health Care",879394671891223,,629864383953331,,,,,,,,,,,,recEYyYNfBGz8uMvx,,8F5158,,Published
798567761994199,"Financial Assistance",899387596744807,,629864383953331,,,,,,,,"830825158082806,951302523912390",,,,recEan30Vn5NoN6GY,,9FAD28,,Published
796915569268030,"Interview Training",625531295881156,,629864383953331,,,,,,,,,,,,recEcFRTjYCoio9zn,,546294,,Published
800876057594945,"Sexual & Reproductive Health",879394671891223,,629864383953331,,,,,,,,,,,,recEgDf24O8gupuri,,4B7766,,Published
810369209316339,"In Danger",833374944686291,,1081834932991779,,,,,,,,,,,,recEmerxTK2Qmx8CE,,2A8FCC,,Published
812704423326314,Tutoring,1132205886737577,,629864383953331,,,,,,,,962096753025959,,,,recEqVfHoxsHegyrJ,,4FF45F,,Published
811387316911588,"Help Find Work","832122112723102,1294707318379665",,629864383953331,,,,,,,,"605021814890791,933051063868149,1203534029319840,880643153888927,1231073685933274",,,,recErBGDUFlPQYseN,,7831DC,,Published
764499959924021,"Help Hotlines",1275047956986417,,629864383953331,,,,,,,,,,,,recF8IoRGMOeJN62y,,A94061,,Published
764795942886475,"Armed Forces",,,1081834932991779,,,,,,,,,,,,recF9FDhpBIWp9TeA,,62DF31,,Published
783311630722085,"Savings Program",666755781872045,,629864383953331,,,,,,,,,,,,recFJQqFn4fNV872U,,C36BEA,,Published
788769915367979,"Medical Supplies","1211420433536032,879394671891223",,629864383953331,,,,,,,,"962096753025959,1124494359127801",,,,recFOVjfBwuKKmNkm,,5FD6B0,,Published
796086178758931,"Germ Cell Tumor",1265252182873860,,1081834932991779,,,,,,,,,,,,recFUbyF841YLXeN3,,8EF73A,,Published
797839516590040,"Anger Management",792078943886000,,629864383953331,,,,,,,,,,,,recFXWjFVRWToJ64x,,25C956,,Published
819562758416858,"Seniors (55+)",1212005456553071,,1081834932991779,,,,,,,,"1108394531508208,635645258311778,1122765390786822,643973730285080,1160836319132411,815900335838427,989132061763461,769155518616587,846114903100076,927583086660595,834474801815094,570279198497703,1049979809257514,1073305429578122,1171041183154896,938270944825871,1138527811978367,1063814078946036,736771575912112,806942363715001,1214490568958133,988610275937141,1210054763234429,1278460102567092,928339115255252,963084111494175,826324408184019,743196443052437,761729408560878,1188616906512182,1049005398980524,1169733605000890,933068702398710,648998547696427,789962433738515,1242086127856640,988423991733213,1017935677136641,665291739064632,991942780227581,645620379335062,623011102913209,1263144790142252,660686319121862,753350947911582,1114627657542591,923927696574335,1008410084982241,1098985564159984,846905885724829,1310979690934901,904936764071739,1275451737359298,790000784900182,943690370414778,1237618325820422,569171803920168,1176914771702299,1248465838378546,609280054378490,935391639326831,953571703501099,755893450919058,1342355454259613,849877675917053,1098453015435360,1312648219687403,926086262623139,584221387739490,1157089206097365,1118257508626334,1219965481612856,1276490106012366,1287381779305670,607057383679661,971959192041438",,,,recFmbAiBgxIhAjvN,,DD1251,,Published
774629790331236,"Income at or below 80% of Area Median Income (AMI)",996413864069591,,1081834932991779,,,,,,,,"966998420345688,926086262623139,884845307034551",,,,recG8MRccNck5YsD8,,9B0759,,Published
784648110042335,Notary,841905613386238,,629864383953331,,,,,,,,,,,,recGBKjMi2eQQwzjK,,64F545,,Published
784550372225263,Undocumented,1150913699729234,,1081834932991779,,,,,,,,,,,,recGD9KYge2nrJhKq,,C8C387,,Published
787900585077931,Fertility,800876057594945,,629864383953331,,,,,,,,,,,,recGDWmgF2LOmOLzo,,E3DFF3,,Published
799449709919727,"Chronic Illness",1276982655382389,,1081834932991779,,,,,,,,"748538600142879,1210844998367589,905112130077089,819876815045177",,,,recGQLMGODzDi9y7M,,909947,,Published
820647015810178,Insurance,,,1081834932991779,,,,,,,,,,,,recGgAftccqugGQal,,EFA9F2,,Published
828376330034249,"Head Start",1186613002076967,,629864383953331,,,,,,,,,,,,recGmRlXHhQT97V7c,,0B14B7,,Published
838767211746160,"Ages 55+",1212005456553071,,1081834932991779,,,,,,,,"665291739064632,1243311965925842,1102203467116873",,,,recGxKuYEzU7uF4Vd,,E4190E,,Published
777783595078102,"Help Fill out Forms",1294707318379665,,629864383953331,,,,,,,,,,,,recH2BnLDHBSCf5Dz,,399EA5,,Published
804988834413588,12-Step,"600702532354257,1247837810727455",,629864383953331,,,,,,,,,,,,recHInWp9iKQzRkT0,,1F3D3F,,Published
818150474957808,"Treatment Phases",1276982655382389,,1081834932991779,,,,,,,,,,,,recHXZheRtkDn1OV0,,75591A,,Published
832122112723102,Work,,,629864383953331,/uploads/images/1613685990category_logo_832122112723102.png,/uploads/images/1613685990category_logo_white_832122112723102.png,,,"Services for finding and sustaining work and improving job skills and abilities. \n",,,"945829836126554,605021814890791,643521097828873,947021731311865,1117364513670581,911914210711611,1210250305509510,1124640120854271,1118129820102814,597273584134874,838439633965089,803289389092544,1201069695813904,1253984981707388,1126445517023366,1156734654820399,725328222364770,830255620342454,674097006531397,1089573809572411,1074501090125867,819907567165668,1017935677136641,665291739064632,991942780227581,1256701502731901,1136496312754304,638870700632782,929579985962021,1156988661828912,1333335607705891,911241036881136,1317811461953516,988349124502327,621922475876912,610393181590401,863951605194335,1158592707921959,833348686999567,768548905888033,788377494442735,614660449605719,782329565925103,828103015767690,869411193408138,637788539576170,834684082852945,1173093445425515,1258369939351491,825698319066110,858728937671038,880540849737772,1095680012179849,992859209726369,1202085877211897,1214829481056623,927444702701934,1177461710635594,951898939560579,1337736663266538,689392643888484,1257124190757282,838177939625042",,,,recHgPfZpOrLdsEmp,,000000,modified,Published
835784500825827,"Limited Mobility",1141891580359737,,1081834932991779,,,,,,,,,,,,recHjUuiRuvwUBVu9,,4CB4DB,,Published
824774385817237,"Animal Welfare",893915418546777,,629864383953331,,,,,,,,,,,,recIVPG5hYUdILegk,,816EEC,,Published
843205605632982,"Help Pay for Car",1216646091883750,,629864383953331,,,,,,,,,,,,recIhV5E9U16u6PVz,,6300000000,,Published
859021943105649,"Temporary Shelter",1169956847122981,,629864383953331,,,,,,,,"1103064722638793,586532932628487",,,,recIulqSQLJNyVWUc,,1B940D,,Published
860844756602444,"Hospital Treatment","806935508227949,792078943886000",,629864383953331,,,,,,,,,,,,recIvxIgmNF5wgUY6,,3FDD53,,Published
798186602850839,"Help Pay for Internet or Phone",1125729387706168,,629864383953331,,,,,,,,,,,,recJ2JI25yQmWGWiY,,869498,,Published
801451294791750,"Desmoid Tumors",1265252182873860,,1081834932991779,,,,,,,,,,,,recJ4Rw6AI6dI2p22,,85248F,,Published
821106469654991,"Gastrointestinal Stromal Tumors (GIST)",1265252182873860,,1081834932991779,,,,,,,,,,,,recJDxcmD9Wx9Jh1e,,61D03F,,Published
833374944686291,Urgency,,,1081834932991779,,,,,,,,,,,,recJQqcIkozvMihMy,,62E06C,,Published
853451313072900,Transgender,911240657187696,,1081834932991779,,,,,,,,,,,,recJfkBRQpUK36OYn,,F9C21E,,Published
849037910727477,"Living with HIV or AIDS",1276982655382389,,1081834932991779,,,,,,,,"1166038612489262,902799500875447,594569394092610,1095497824033311,631018985097612,981268426186337,791536876977084,768420867308238,1273412412302024,838177939625042,1251041437322229,581474108798219,897612626354041,1194872069892643,803513081069526,992280999729878,628467166072226",,,,recJg3VEMlvwJMaEW,,CE56B0,,Published
862799574351361,"Food Delivery",630013980013392,,629864383953331,,,,,,,,,,,,recJomQNkNUQsZhXQ,,A20879,,Published
867392726213096,"After School Care",1186613002076967,,629864383953331,,,,,,,,,,,,recJwN3L8gZ4ZfcpL,,E381DE,,Published
806935508227949,"Prevent & Treat",1165536100757865,,629864383953331,,,,,,,,"845610250708517,770578690423338",,,,recK1GJWKYnL3kasc,,9B5215,,Published
832401246252623,"Income at or below 60% of Area Median Income (AMI)",996413864069591,,1081834932991779,,,,,,,,"584221387739490,1092859529383419,834464881233325,667098473674913,944606179638640",,,,recKFsNpSTcABV9TS,,679876,,Published
834039463355775,"Toys & Gifts",1211420433536032,,629864383953331,,,,,,,,,,,,recKLGRmaDGu9JiyA,,6AB319,,Published
841227795962370,"Not eligible for Medicaid",820647015810178,,1081834932991779,,,,,,,,"906941638249299,1128952488713927",,,,recKNxsCe9rr26KR2,,4E1386,,Published
