id,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
63,1240567562394258,,1140996665222837,,,301.445.3139,,voice,,"Front Desk",
64,,586062612640149,840733417398800,,,"(202) 545-2061",,voice,,"Maternal Mental Health Program Manager",
65,,"685821962980238,1249659581366985,637918031832415",1323195974089796,recyoASYSGGZwmQSx,,"(202) 319-2229",,voice,,,
66,,951768857764331,,,,301-838-8770,,,,,
67,835677959674778,,,,,240-764-7431,,fax,,,
68,1058560288612968,"834460550368169,1298050850536077,775927218674309,1223965805414362",618997848324116,,,"(202) 561-8587",,voice,,"Bread for the City Southeast Center",
69,,1216690927743518,1140996665222837,recFWm2RwJXoKTzTN,,240.491.5775,,voice,,,
70,959373006921454,"957722583611343,760997112833771",636426656659289,,,"(202) 733-3643",,voice,,"Services line",
71,,918238055415108,840733417398800,,,"(202) 389-2486",,,,"Health Home director",
72,1191890430739322,"1220271139140877,1092577874332799,1017815111476074,1135169686375345",1088589897673997,,,"(202) 248-3434",,voice,,"Main line for Mamatoto Village",
73,1146632771763115,"859897161557047,1267727721478414,850523592271025,747822750998769,784304581015971",1195870505334629,,,"(202) 213- 1622",,,,,
74,,804986111814033,,,,"(202) 469-4699",,,,,
75,1189388637168303,,574964812525513,,,"(202) 667-7339",,voice,,"Housing counseling services hotline",
76,1166799153375505,,769893937425938,,," 202.610.0669",,fax,,,
77,,988930242117816,801110030219864,recZXbXsByCgAVdJG,,"(202) 503-1531",,voice,,,
78,1323076878369772,,1195870505334629,,,202.563.1060,,,,,
79,992745211312122,,840733417398800,,,"(202) 727-0338",,,,,
80,,777479494055010,,,,"(202) 350-4305",,voice,,"Legal services at Catholic Charities",
81,608497828316445,,,,,"(202) 398-3018",,fax,,,
82,901362892558172,"917742641898170,1292184415850124,577390293811162",662579547117824,,,"(202) 396-2809",,voice,,,
83,,,,recraKkaTXXYn0ZqF,,202-293-9580,,voice,,,
84,1053529725692782,,,,,"(202) 399-1349",,fax,,,
85,1246140596600748,"1273613208251491,786302163414865",919690199169575,,,703.619.2964,,voice,,,
86,873020349083887,873921955624383,,,,202-675-9375,,,,,
87,,,,,,202-408-1080,,,,,
88,"1191156779628062,968786376614445,871972134291589","989188268576682,985593774651159",1262229839027778,,,"(202) 735-0761",,,,,
89,1161706256775181,605774245554167,743525753773182,,,"(202) 727-5931",,fax,,,
90,546085340417620,,663729632205210,,,"(202) 772-4300",,,,,
91,875107767611380,,649101984743047,,,"(202) 265-8200",,,,,
92,977589590864235,,970560028876577,,,"(301) 838-4200",,voice,,,
93,,,761153930697275,rectINrEjw6jTx5nn,,202-610-5826,,voice,,,
94,"640375823525191,794797236312168","852851666991889,680052874958118",866237660806724,,,"(202) 889-7296",,voice,,"Allen Chapel AME",
95,1120989994777643,,,,,"(202) 730-0004",,voice,,"Mazique Parent Child Resource Center",
96,1315826372203677,,1287130751059247,,,"(202) 678-2879",,fax,,,
97,,"916268094765428,651504031814159,1166512271577678,963890389048330,1183218830562978,965489694318451,1229484402696374,1267195102722768,988930242117816,1207414557990697,1179313324156762",801110030219864,,,"(202) 737-9311",,voice,,,
98,1186823261288379,"1213230585541920,1219686317955585,1133165843084453,1052254032756894,1253744104425599,777260696695053,1300660045853572,807525744099302,874199505765345,1187200756463947",761153930697275,,,"(202) 238 4609",,voice,,,
99,,881475888864647,1140996665222837,,,240.270.1318,,voice,fr,French,
100,,,1178149503221687,,,"(202) 291-5535",,,,,
101,770635363010046,,605134586578120,,,202-803-2350,,fax,,"DC Fax",
102,798494517814959,"1307622731573519,1055696283461218",,,,202-506-7264,,,,,
103,,,,,,202-448-1455,,,,,
104,,"1013626780767014,830099986846686,1191542329896840,1225791609508431,579430499829276,623630268141505,873979070344056,1332764177181120",769893937425938,,,202.204.5021,,voice,,,
105,897673459565497,928788698938707,761153930697275,,,"(202) 682-6599",,voice,,,
106,858837023472383,"1080060911179544,1277116846663193",,,,"(202) 386-7020",,voice,,"Bread for the City medical clinic",
107,593420875501329,672042329600890,,,,"(202) 328-9680",,voice,,,
108,826027653390612,,1099027550013558,,,"(202) 265-0149",,,,,
109,,1197691835069647,1323195974089796,recWO6bXZmWhRwQpv,,"(202) 607-7622",,voice,,,
110,"789258912445477,803526594539754","733244062080278,953130575650955,814382562390416,1215438821283570,1146357672886284",964008795352849,,,"(202) 462-7500",,voice,,,
111,,"782799413098806,1290396892728753",1180598613249590,,,202-397-1725,,voice,,,
112,1106602330344467,"825451959778479,1282686227944763",,,,1-800-535-7252,,voice,,"DC’s Emergency Shelter Hotline",
113,1195857100779606,,769347676481702,,,"(202) 289-3611",,,,,
114,692231605294536,,973679790071307,,,"(202) 833-7500",,,,,
115,,,,,,"(202) 347-0511",,,,,
116,,,682552065545256,,,571.748.2500,,voice,,,
117,928012146500435,"1273613208251491,786302163414865",919690199169575,,,703.347.6042,,voice,,,
118,,,,,,"(202) 525-1527",,,,,
119,,1233829102705880,,,,"(202) 508-0500",,,,,
120,1182935368999640,843621219939860,1331447374298751,,,"(301) 864-3115",,voice,,,
121,620132940242525,1145687738484263,,,,202-574-6141,,voice,,"United Medical Center Primary Care Scheduling",
122,905037841940941,,1279230501938511,,,202-234-8000,,voice,,,
123,756139435965093,,,,,202.396.0703,,fax,,,
124,1300302103708266,,660031487204054,,,"(202) 745-8000 ext 4999",,,,,
125,1146981306227913,"937906584225930,961164325265072,816660270769024",1085490883099798,,,"(202) 265-1410",,voice,,,
126,,"759287871630149,1273431636145481",682552065545256,recWwZVWvGlCfTIIM,,571.748.2536,,voice,,,
127,1123014911424110,,,,,301-765-5497,,fax,,,
128,,,,,,"no phone number information available for this agency.",,,,,
129,756139435965093,"831904738773639,1175089962860672,967263158004203,1110554525256285,1098750358504732,854338133373761,1224357598807692",1007623446966696,,,"(202) 396-0534",,voice,,,
130,1112335428289741,567631577251008,1107997028998056,,,202-269-9647,,fax,,,
131,786926809235258,,1189531744334079,,,"(202) 328-5500",,,,,
132,,"865253695035282,775356580769657",,recQ0Ig1mXQcdQRpX,,202-448-1455,,,,,
133,1090162375763715,"850523592271025,617097787641398,1255893170172420,747822750998769,784304581015971",1195870505334629,,,202.407.7747,,,,,
134,1218813676681454,908536708739321,,,,202-675-9222,,,,,
135,968722175760593,,1220107638243156,,,"(202) 745-0073",,,,,
136,1197279412047011,"1145399925529779,1075486612088837",782406976349276,,,"(202) 583-7416",,voice,,,
137,,,,recvO3udOgPWMJMuE,,202-503-1523,,voice,,,
138,,"1183383601010590,1240040646031640,1139270346999526",1146223650874517,,,"(202) 540-1064",,voice,,,
139,955920420939787,653858529595915,,,,"(202) 793-2157",,fax,,,
140,1289997318242966,699058261887909,,,,"(301) 839-1960",201,voice,,,
141,936934819762396,"753253159497862,597642797256208,1087270111823708,857913961326886",1245236106154921,,,"(202) 544-0631",,voice,,"Everyone Home DC Headquarters",
142,1185866432124387,758846747979067,1276788103667282,,,"(202) 543-5796",,,,,
143,799908624348129,,932228398355792,,,"(202) 388-3001",,,,,
144,1098817401970888,"1125350403679270,576262745925884,1211369825885952,1150307807148693,580120354830667",931366816861797,,,"(202) 312-7140",,,,,
145,688746232722666,"1048327823635547,895703387545823",1275972111076677,,,202-483-7008,,voice,,,
146,1140386841515505,"1244747959773878,1171417382872545",601937487816671,,,"(202) 462-8686",,voice,,,
147,,1104456609971378,,,,202-675-9380,,,,,
148,1229901678210145,653858529595915,,,,"(703) 271-0941",,fax,,,
149,1282997809596504,,964889233755760,,,"(202) 889-1159",,fax,,,
150,1318861728823017,,906742630902911,,,"(202) 830-3508",,,,,
151,,855116520932040,,,,202-414-6316,,voice,,,
152,928679802213891,,1295401458610005,,,"(202) 727-1101",,,,,
153,1092213609334000,,1183105756467350,,,"(202) 727-8857",,,,,
154,1000709017081839,"859897161557047,850523592271025,1121979483597520",1195870505334629,,,202.398.5520,,,,,
155,,1028365853402776,,,,"(202) 545-8047",,,,,
156,,"672539129008408,1080520592440176",,,,"(202) 749-8000",,voice,,"DC Domestic Violence Hotline",
157,765115819494380,,1180598613249590,,,"(202) 289-5693",,fax,,,
158,,"777260696695053,1300660045853572",761153930697275,recEM2p5BjhCA45RE,,202-610-2796,,voice,,"Youth services center",
159,880015218951352,653858529595915,,,,"(301) 439-5944",,voice,,,
160,1266225890742478,1287178898963916,999334342940796,,,"(301) 330-0222",,voice,,,
161,,1214958471600009,,,,"(202) 508-0500",,,,,
162,1287901333269561,762888373958688,,,,"(202) 434-2099",,voice,,"AARP Senior Medicare Patrol (SMP)",
163,771634087422781,"614149741156528,612309985819526",804045327953048,,,202.234.0707,,,,,
164,1289140698414142,"933469008966389,596938254485583,580209857140665,903471867323822,1148617267210635,1088727091600389",1265431689708141,,,"(202) 885-5600",,voice,,,
165,,"1135905810909481,627760898509669",855094084464049,,,703.323.6494,,voice,,,
166,771071731283748,,1278050819659890,,,"(202) 727-4218",,,,,
167,1091888223201074,,1140996665222837,,,571.320.1761,,voice,,"Front Desk",
168,"697236030854047,728145736382163","681767171553959,695948265970000,600624054710125,613307132570587,1160149147134890",809193297555798,,,"(202) 232-0789",,voice,,,
169,,633702102837581,682552065545256,,,703.792.3366,,voice,,,
170,,998912206496705,,,,202-459-4004,,,,,
171,,1052463055100883,,,,"(301) 816-2676",,voice,,"JSSA Hospice Hotline",
172,"610894518918920,1069725146672559",,692112692154000,,,301-608-3508,,fax,,,
173,728145736382163,,809193297555798,,,202-723-0480,,fax,,,
174,,,,,,202-745-7118,,,,,
175,877958047132310,,941815502594091,,,"(202) 687- 0821",,,,,
176,814793229124367,977586749835410,,,,"(800) 433-5255",,voice,,"The Arc of DC",
177,,,,,,5555555555,,,,,
178,856126341619748,,,,,800-787-0243,,voice,,,
179,609550690795774,,1326157862705937,,,202-547-8450,,voice,,,
180,,1298139501002270,,,,"(202) 470-1201",,,,,
181,,,,,,"202) 808-2727",,,,,
182,1273044419277442,,1140996665222837,,,410.732.7777,,voice,,Membership,
183,909942619088980,596474071852609,889845893875767,,,"(202) 373-0246",,voice,,"Academy of Hope - Southeast Site (Ward 8)",
184,,1136637606616454,682552065545256,,,571.748.2680,,voice,,,
185,,1140318024724985,1323195974089796,recJLYeJmdm35l7xY,,"(202) 319-1238",,voice,,,
186,861906967611938,"1166106416739636,1220865966040605,856023638190230",1274524554725599,,,"(202) 529-3075",,voice,,,
187,979447652621070,,,,,571-226-8380,,voice,,,
188,,1253744104425599,761153930697275,recYPq90lbqzxj6NH,,202-610-2014,,voice,,,
189,,1133165843084453,761153930697275,rectZNYeoAJtNH5TI,,"(202) 238-4605",,voice,,,
190,694216969315685,,,,,301-468-1740,,voice,,,
191,,"1272292641029297,827029786281023",,,,202-624-0010,,,,,
192,1161706256775181,605774245554167,743525753773182,,,"(202) 727-9493",,textphone,,,
193,847472462897373,,756344334747450,,,"(202) 266-6328",,,,,
194,812651859569539,,,,,202-741-4100,,,,,
195,,"1208786629108154,825628435745785",,recAjxooDMfifSsn7,,202-312-7159,,,,,
196,,,1140996665222837,,,301.270.8432,,voice,,"Salud es Vida Bilingual Health Hotline",
197,,1022185739742814,1195870505334629,,,202.232.9022,,voice,,,
198,,796887413251668,1006551858895588,,,"(202) 715-1288",,voice,,,
199,,,,,,202-437-5643,,,,,
200,1115728022119882,,,,,"(301) 891-8000",,voice,,,
201,1279218262197811,585908349000516,862675425917588,,,"(202) 698-8037",,voice,,,
202,,,1168436736852155,,,202-483-5801,,fax,,,
203,,,1140996665222837,,,240-491-5746,,voice,,,
204,1274640117388299,,559154929442125,,,"(202) 724-5454",,,,,
205,878783319164190,,1180598613249590,,,"(202) 244-7400",,voice,,,
206,,,,,,202-698-1838,,,,,
207,"1154195373907801,838780960881380,835677959674778","1291599466171764,978182683421582,759682631849783,754621632893339,902951823980164,945841786673442,1154397851156755,886267440482873,1252264089140599,1187463498588025,1228495289369706,1265325284377461,740916631620812,1248912869636667,961458582690801,660868979951197,1321094180433140,908926837435227",726173106231202,,,202-745-7118,,voice,,,
208,1001921907887485,"1120743935334776,1104683959276927,653156323573606",1276678931351667,,,"(202) 506-8938",,voice,,,
209,,1282251456865145,,,,"(202) 508-0500",,,,,
210,984550353973330,,745762970824360,,,"(202) 667-8831",,,,,
211,1191890430739322,"1220271139140877,1092577874332799,1017815111476074,1135169686375345",1088589897673997,,,"(202) 248-2877",,voice,,"Intake line for Mamatoto Village",
212,,619922899003410,855094084464049,,,703.652.1515,,voice,,,
213,,"775111969675006,836738857450646,937486843530248,911181735974447,642284944498747,1230658202367837,639467846851619,714211448512130",810479025131545,,,"1 (800) 676-4477",,voice,,Hotline,
214,"977589590864235,1104646684650585,946508354826345","884244585280076,767255821745825,989819878149890,658231090559812,947357493854904,1173963793862866,970377297500925,1107634998787398,1127640457224641,762171918332918,641610186670486,678882337307747,964012421803449,1201397185768590,785647685413221,833788770520302",970560028876577,,,"(301) 816-2633",,voice,,"Main line for JSSA Maryland.",
215,1215517692128370,"1272430859437969,817086926506130",909401719398962,,,"(202) 682-5825",,,,,
216,,,876151548923517,,,"(202) 543-3217",,,,,
217,647497712481280,,,,,"(202) 889-3374",,fax,,,
218,1283411988337750,,1140996665222837,,,"(240) 491-5780",,voice,,Employment,
219,,1195217931217458,,,,202-476-5544,,,,,
220,1282604214927911,1052254032756894,,,,"(202) 476-4733",,,,,
221,1002753920993717,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",605134586578120,,,301-441-1605,,voice,,"MD Phone",
222,1186014650404910,"761018228722418,679830596478752,645384002034771,1135056817241313,644648091160119,1224317983369922,1134361757901839,1248931277100420,734280780069484,1088249391392945",1186080684764999,,,"(202) 939-1380",,fax,,,
223,1112049443949860,,653128415848094,,,"(202) 882-7345",,voice,,,
224,,,801110030219864,recLj9RC1ASMXCSdR,,202-503-1533,,voice,,,
225,994308933727557,,1150695227682882,,,"(202) 561-4178",,voice,,Office,
226,882333039588739,,1284728776860892,,,"(202) 387-9000",,,,,
227,,,801110030219864,recs09xJr42RSraTX,,"(202) 503-1530",,voice,,,
228,1090162375763715,1267727721478414,1195870505334629,,,202.540.9862,,voice,,"Conway Health and Resource Center - Dental",
229,979447652621070,,,,,571-405-5700,,fax,,,
230,1045557663297574,,1110735130668467,,,"(202) 269-7000",,,,,
231,828792720206018,"797834103829212,854051618591377,616081055315775,1140920920771303,1195066035930824,765385785732538,577584068562238,1067731380928038,903665589155441,549681153080082",983721114373124,,,202-462-3274,,voice,,,
232,602791638266539,1109924174096172,1326157862705937,,,202-291-2160,,fax,,,
233,,,,,,Sorry,,,,,
234,888398891117437,"1258855549014937,1124787894447866",1183850219079477,,,202.296.8563,,voice,,,
235,1179174778771993,"657179015884472,1134764669826308",855094084464049,,,202.735.3464,,voice,,,
236,902696829688820,,919690199169575,,,703.799.7015,,voice,,,
237,,"839260018674017,850061472824026",1323195974089796,,,"(202) 768-7801",,voice,,,
238,841307455613093,"796710603642968,598601043584489,1281816879491049,1068357766582058,954908524616299,1243674394135496",851305007018661,,,"(202) 291-4707",,voice,,"Andromeda Transcultural Health",
239,1282997809596504,"1172793580060024,569770427910971,1229131972445514,1311031611561841,1086482131081597,688871630742360,1166105214343141",964889233755760,,,"(202) 889-5802",,voice,,,
240,614054990318357,724876636641588,,,,"(202) 673-6993",,fax,,,
241,694216969315685,,,,,301-816-8679,,fax,,,
242,,1123747363862749,562836772362344,,,"(312) 673-5517",,voice,,,
243,1205522007643431,1225675874740777,864654455488543,,,"(202) 525-4855",,,,,
244,1104646684650585,,970560028876577,,,"(301) 881-3700",,voice,,,
245,1170113060894673,"942312969809968,921815945825806,1181081521839444,1096755308957020,1119079742925957,890398981649041,543629082697964,1241974546153013,787452341993968,1235636405349063,674557198522049,1122242214354849",887352348953420,,,"(202) 319-3414",,fax,,"Medical record fax number",
246,,"943779508068444,794796274007587",761153930697275,,,"(202) 231-7910",,voice,,,
247,671468679071199,"640103169037193,852882436125716",915322254234555,,,"(202) 543-4200",,voice,,,
248,1091435530922324,,1140996665222837,,,301.431.4185,,voice,,Membership,
249,,920716842267245,1256643221396691,,,202-525-1426,,voice,,,
250,,1270590689586287,1172521016075482,,,711,,textphone,,,
251,"610894518918920,1069725146672559","1071110285565782,595461104582359,1244526695505882",692112692154000,,," 301-608-3504",,voice,,,
252,,1087786183743790,,,,"(202) 469-4699",,,,,
253,926855982380347,1184329050770191,,,,"(202) 722-4544",,voice,,,
254,,,,,,202-503-1523,,,,,
255,1284966614626832,,1326157862705937,,,202-388-9209,,fax,,,
256,,619922899003410,855094084464049,,,240.290.3311,,voice,,,
257,,,1191959686811989,,,"(202) 644-9800",,,,,
258,1189388637168303,,574964812525513,,,"(202) 462-5305",,fax,,,
259,,1101603153311416,,,,"(202) 508-0500",,,,,
260,609550690795774,,1326157862705937,,,202-610-7147,,fax,,,
261,,1283472697302797,,,,"(202) 469-4699",,,,,
262,1140386841515505,"1244747959773878,1171417382872545",601937487816671,,,"(202) 462-9280",,fax,,,
263,948165240614648,,1280475814917857,,,"(202) 939-7627",,,,,
264,"817854864378068,767274390634346","1098998360726289,940105141272489",795756022910298,,,"(202) 387-4848",,,,,
265,,870219187741961,,,,202-476-5166,,,,,
266,1220597047470925,,865229863994763,,,"(202) 232-0900",,,,,
267,1161706256775181,605774245554167,743525753773182,,,202-727-9493,,voice,,,
268,948736838709158,653858529595915,,,,"(202) 889-7705",,fax,,,
269,994308933727557,,1150695227682882,,,"(202) 561-0336",,fax,,,
270,1112335428289741,567631577251008,1107997028998056,,,"(202) 635-9053",,voice,,,
271,868710877316469,"1235636405349063,774338968156105,674557198522049,1122242214354849,910692115764601,1280840473848403",887352348953420,,,"(202) 507-4800",,voice,,,
272,1147455525775238,"936863331676390,968057316664450,1178562151177693,636134392103308",1318451956583107,,,"(202) 783-7343",,voice,,,
273,1002753920993717,,605134586578120,,,301-345-1609,,fax,,"MD Fax",
274,,760885031702204,,,,"(202) 745-6151",,,,,
275,951106217202607,1322260694270949,,,,202-889-2102,,,,,
276,1279712967379272,,826683601578208,,,"(202) 537-4000",,,,,
277,1109839475209474,"1107300725870426,1270590689586287","593530875968066,1220107638243156,1172521016075482",,,1-888-793-4357,,voice,,,
278,1108850981657232,,769893937425938,,,202.624.0062,,fax,,,
279,628637355176202,"565227181581504,647232963972591,801873048546872,1114943570667214,1125749101520857,1185457585183638",1013543362848937,,,202.398.3411,,voice,,,
280,1266604236381612,,1260225511804442,,,"(202) 547-6175",,,,,
281,1284966614626832,"1105568722092716,894009414185445,721115353360225,1135621422748851,1215651158311524,784662874544792,699918289813778,1055385917949527,1109924174096172,597026276891169,1020934285482366,585407675930864,800132260226272,794816074234794,1206891395647206",1326157862705937,,,202-388-9202,,voice,,,
282,,1304206816813795,,,,"202745.000 ",,,,,
283,,,1219589148672769,,,"202) 635-4265",,fax,,,
284,1123014911424110,1176014704120176,,,,301-765-5430,,voice,,,
285,644198517647426,"1337570408700851,765864786771732,1161420907803778",872299181857178,,,"(202) 373-0336",,fax,,"OIC/DC Training Center",
286,1262539583552576,,,,,"(202) 895-3870",,fax,,,
287,,,,,,"(202) 373-0050",,,,,
288,906651913636867,"1287738688707705,993984406526461,1153962275208345,807848846460860,611590713528319",930909694635560,,,"(703) 339-5161",,voice,,,
289,1318390042587758,1090898575973829,1140996665222837,,," 571.421.2211",,voice,,"Front Desk",
290,,1186072430576309,1180598613249590,,,2028443000,,voice,,,
291,638978574424697,,837178101758888,,,"(202) 637-7000",,,,,
292,,931334254553785,,,,202-829-2773,,voice,,,
293,939050372857166,,1140996665222837,,,301.933.4461,,voice,,Membership,
294,,1084298429662110,,,,202-675-9385,,,,,
295,688457108968845,"573528188325499,1238532588650595,757654002604408,860779231100127,1128285304774272,1163310698125750",1286410465547920,,,202.724.4208,,voice,,,
296,,985012947614539,1326157862705937,recbSLM4mr0F0tyDd,,"202- 644-1406",,voice,,,
297,,590149106022184,,reco1eWjzzXOD4A8S,,"(202) 830-3512",,voice,,,
298,1154084082448020,,1180598613249590,,,"(202) 635-9384",,voice,,,
299,,1226281254511848,,,,"(202) 469-4699",,,,,
300,1324870517546321,1087433575244513,,,,202-893-6474,,,,,
301,984058750613797,"592511260613384,1239703812521018,849919523533582",900455754248217,,,"(202) 783-0519",,fax,,"Asbury United Methodist Church",
302,1229901678210145,653858529595915,,,,"(703) 271-0938",,voice,,,
303,987030255962297,"1311595168931297,950454120432775,1048291243097604,1298911741733382,824288922961198,1180623233814950,1056286703581712",919690199169575,,,703.768.7106,,voice,,,
304,952434908769061,849003153117298,1097044507649764,,,202-526-1730,,voice,,,
305,950009053464384,"990258942674234,804988563046565,668729683192909,822297863188980,1108768153867457,784134299150571,607885233270947,1080087105483732",1004391421304549,recxqtGjgpPJ4Wgfb,,"(301) 585-6556",,voice,,,
306,1286648129611472,"789456565791843,910059099567277,859629175967195,1178096298000358,979536491529478,813064675400914,1299121197634961,818563649469922",727757843857751,,,"(202) 889-1425",,voice,,,
307,,958643940332296,,,,202-675-9370,,,,,
308,,"933469008966389,596938254485583,580209857140665,903471867323822,1148617267210635,1088727091600389",1265431689708141,,,1-800-369-2273,,voice,,,
309,778459456343468,,,,,202-621-8617,,fax,,,
310,625764854102357,1191507987013016,,,,"(202) 588-1375",,voice,,,
311,,617081192222015,1140996665222837,recBvp9dRT1Tjjiyr,,240-491-5750,,voice,,,
312,"685766591979438,805806723754090","657179015884472,1134764669826308",855094084464049,,,301.255.4204,,voice,,,
313,1005730911773458,,862349068568843,,,"(202) 292-4431",,,,,
314,843095304494507,"895973468150097,1174727442443930",1245236106154921,,,"(202) 544-3863",,fax,,"Everyone Home DC Shirley's Place Day Center",
315,"867077559081285,692842183271323","1192518431630550,794527613963060",706476638607137,,,"(202) 889-3660",,voice,,"Brighter Day Ministries - both locations",
316,1291451614834077,,803996484769013,,,"(202) 645-7111",,,,,
317,,,,,,202.232.7356,,,,,
318,659628565110513,,922709314921881,,,"(202) 442-5955",,,,,
319,1321118518935089,,970560028876577,,,"(703) 204-9100",,voice,,,
320,1213006663268025,,1230770757213322,,,"(202) 626-0710",,,,,
321,,626861523724993,,recmuGV0G9zgdvGcV,,202-830-3578,,,,,
322,,,855802893163707,,,202-882-9343,,fax,,,
