id,service_recordid,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
38,628780736612938,1167642613839049,,"Medgar Evers College Food Distribution",,"Every Tuesday, there is a community pantry for food insecure folks at Medgar Evars College: 917-410-1193 wboone@mec.cuny.edu. All guests must adhere to social distancing practices. ",https://twitter.com/NewsatMedgar/status/1310960850853924865?s=20,wboone@mec.cuny.edu,inactive,,,,,,"No Required Documents"
57,660721486940038,1167642613839049,,"24/7 crisis text line",,"crisis text line is there for you for anything including, Election Stree, COVID-19, suicide, depression, anxiety, and more.  Get the help you need by texting 741741 on your cell phone",https://www.crisistextline.org,,inactive,,,,,Hotline,"Not Applicable"
58,658633548059205,1167642613839049,,"Sunday Afternoon Hot Meals To-Go on the Upper West Side",,"A weekly soup kitchen ministry providing 75 hot meals to the community from 2-3 PM every Sunday at 26 W. 84th St. NY, NY 10024. Meet us outside the building where we'll be serving hot meals with some sides in a to-go bag. ",https://smstchurch.org/,,inactive,,,,,,
62,665508456877984,1167642613839049,,"Information for parents in all stages of parenting",,"The NYS Parent Portal is a resource portal that provides access to parents ranging to those who are expecting, those seeking ways to build a string family, to others looking for parenting tips and ways to further nurture their children's development. Links within this site provide information to meet specific needs listed.  There also also links to guide parents to daycare/afterschool sites within the map locator feature.",NYSparenting.org,,inactive,,,,Parents/guardians/caregivers,Website,"Not Applicable"
70,640316946098340,1167642613839049,,"Resources for families of children and young adults with disabilities from 0-26 years of age.",,"Include NYC is an organizations seeking to support families who have children with disabilities so they can be a vital part of the community for clients ages 0-26 years of age. Services include providing access to education, family advocacy, employment and will assist in gaining independent living status.  Call their helpline to gain access to resources.
Helpline:  call - 212-677-4660
                 text: 646-693-3175

Español: llame - 212-677-4668
                texto- 646-693-3175
                whatsapp- 212-858-0795",https://www.includenyc.org/resource-line,,inactive,,,"Childcare, Education, Mental & Behavioral Health, Jobs",,Hotline,"Not Applicable"
80,663628857524439,1167642613839049,,"Telehealth Substance Abuse Treatment for low-income",,"Call 347-505-5119, must be at least 18 years old",https://bac-ny.org/contact-us/,,inactive,,,Housing,"People with low-income/limited income",,"Social Security Card"
81,670346617633456,1167642613839049,,"Resources for victims of assault, rape, crime and other traumas",,"If you need immediate help from an advocate please call one of our 24-hour Hotlines (se habla español):

Domestic violence victims: 800-621-HOPE (4673)
Victims of crime and their families: 866-689-HELP (4357)
Rape & sexual assault victims: 212-227-3000
TDD machine for hearing impaired clients for all hotlines:1-866-604-5350",https://www.safehorizon.org/get-help/contact-us/,,inactive,,,"Legal, Medical, Mental & Behavioral Health",,"Website,Hotline",
83,678473659239908,1167642613839049,,"NYC Cooperative Housing - Promotion of Collective Living Spaces",,"Resource center for those interested in finding and discussing affordable NYC cooperative housing situations.",https://www.facebook.com/coophousingnyc,,inactive,,,,,Website,"No Required Documents"
85,696142419462035,1167642613839049,,"Death and Burial Assistance",,"The OBS will cover up to $1700 towards the costs of a funeral bill, including burial, cremation or burying of cremation ashes to the low-income decedents relative, Organizational Friend or authorized representative. (Maximum benefits have been increased due to COVID). Apply at:
https://www1.nyc.gov/site/hra/help/burial-assistance.page 
OR call: 929-252-7731","https://www1.nyc.gov/site/hra/help/burial-assistance.page ",BurialServices@hra.nyc.gov,inactive,,,"-Not Listed","People with low-income/limited income",,Unsure
88,737875969100396,1167642613839049,,"The City University of New York",,"Newsletter ",,,inactive,,,,,Website,"Not Applicable,Not Listed"
89,741432354367203,1167642613839049,,"Detailed Child Mental Health Info",,"The Child Mind Institute is a not for profit national agency that provides support for children who are struggling.  It is widely recognized that when a child is struggling, the whole family is affected and The Child Mind Institute strives to work to support children who are challenged to help promote a strong and stable family structure. The Child Mind Institute provides in-depth information for families challenged by ADHD, Anxiety, Bullying, and any challenges a teen may face.  While services are out of network for insurance, the intake office does offer financial assistance to families who qualify. 
 (212) 392-6154
Interested families may also opt to participate in studies that will provide families with comprehensive assessment reports for their children. ",https://childmind.org/audience/for-families/,,inactive,,,,,Website,"Not Listed"
90,762464001730531,1167642613839049,,"Generation Q, at queens community house",,"an after-school youth center for lesbian, gay, bisexual, transgender, and queer youth and allies, between the ages of 13 and 21. We offer a friendly, safe environment with a wide variety of educational and recreational opportunities, as well as social and emotional support.",https://www.qchnyc.org/programs/lgbtq-services/generation-q-youth-center,lduel@qchnyc.org,inactive,,,,LGBTQIA2+,,
94,714641261154488,1167642613839049,,"Pantry ",,"Boom! Health and Wellness 
3144 3rd Ave, Bronx, NY 10451 ·
(718) 295-5605",https://www.boomhealth.org/,,inactive,,,,,Website,"Not Applicable"
95,725334796624060,1167642613839049,,"Access information about multiple New York State social services",,"MS Navigator allows users access to different services including links to Medicaid help, mental wellness and well-being, youth peer advocacy, family peer advocates, and more!",https://www.msnavigator.org,,inactive,,,Childcare,,Website,"Not Applicable"
97,744166670207329,1167642613839049,,"Yellow Couch Collective ",,"Therapy for Black Women","https://therapy-for-black-girls.mn.co/ https://aakomaproject.org/",,inactive,,,,,,Unsure
103,778547737126670,1167642613839049,,"IDNYC Application",,"IDNYC PROVIDES IDENTIFICATION FOR INDIVIDUALS WHO CAN NOT OBTAIN A DRIVER LICENSE/NON DRIVER LICENSE/PREMIT. IT ALSO EASY TO GET AND PROVIDES BENEFITS SUCH AS FREE ADMISSIONS INTO MUSEUMS ",https://www1.nyc.gov/site/idnyc/card/how-to-apply.page,,inactive,,,,,Website,"Not Applicable"
105,755454178519201,1167642613839049,,"9 Best LGBTQ+-Friendly Drug Rehabs",,"Many rehab centers advertise ""LGBTQ-friendly"" but their programs may not be focused on the unique challenges faced by community individuals. It’s important to find a center that keeps those needs in mind while being a safe environment to receive treatment for drug or alcohol addiction.",https://www.addictionresource.net/best-drug-rehab-centers/lgbt/,,inactive,,,,"People who use drugs",Website,
106,764462119650462,1167642613839049,,"Coronavirus NYC Neighborhood Food Resource Guides by Hunter College",,"These guides by the Hunter College Food Policy Center list all food options (including stores that offer delivery and take EBT), by neighborhood.",https://www.nycfoodpolicy.org/coronavirus-nyc-food-reports/,info@nycfoodpolicy.org,inactive,,,,,Website,
115,794971773271056,1167642613839049,,"Get Free Internet",,"List of U.S Providers Offering FREE Wi-Fi or Special Accommodations for 60 Days",https://docs.google.com/document/d/1kjVFeWefjnEfUrCR2yXxOvsp6_rDOfaMivUEiaBreiA/edit,,inactive,,,,,Website,
116,803343720194365,1167642613839049,,"Residential and Transitional Domestic Violence Services",,"Call (646)-588-0030. This resource helps domestic violence survivors and victims of homelessness with a significant focus on uplifting and assisting communities of color and other vulnerable populations. ",https://urinyc.org/program/apip/,info@urinyc.org,inactive,,,"Education, Legal, Mental & Behavioral Health","Black/indigenous/people of color, People who are homeless/housing unstable/public housing residents, Survivors of domestic and intimate partner violence, Undocumented people/immigrants, People with disabilities and chronic illnesses/immuno-compromised, Incarcerated people and communities subject to over-policing, LGBTQIA2+, People with low-income/limited income","Website,Hotline,Video,Audio",Unsure
121,800750300593913,1167642613839049,,"COVID-19 Línea de atención para mascotas",,"Llama a (877) 204-8821 si es dueño de mascota en NYC y es afectado por COVID-19 y necesita ayuda. La Línea de atención está abierta 7 días de la semana, entre 8am y 8pm ET.",https://www.aspca.org/news/attention-new-york-introducing-covid-19-pet-hotline,,inactive,,,,"Pet owners (dueños de mascotas), Not Listed",Hotline,"Not Applicable"
124,813475736056454,1167642613839049,,"Hudson Valley Mutual Aid Network",,"Join this facebook group https://www.facebook.com/groups/hvmutualaidnetwork/ to find assistance during the COVID-19 pandemic. ",https://hvmutualaidnetwork.org/,hvmutualaidnetwork@gmail.com,inactive,,,,,,"Not Applicable"
135,831955047877193,1167642613839049,,"Know your Rights New York State",,"Official NY government page outlining the various rights Ny'ers have with topics ranging from rentals, mortgages, and evictions, to unemployment and marriage certificates with embedded link within the page. ",Forward.NY.gov/know-your-rights,,inactive,,,,,Website,"Not Applicable"
137,836029570584310,1167642613839049,,"Emergency Medicaid for Undocumented Immigrants",,"Emergency Medicaid covers the care and services needed to treat emergency medical conditions to temporary non-immigrants who would otherwise be ineligible for other Medicaid programs. Temporary non-immigrants include eligible foreign students, visitors or tourists, and undocumented or illegal aliens. Eligibility for emergency Medicaid depends on a number of different factors. Emergency Medicaid covers COVID-19 testing and treatment and is not included in Public Charge. Apply the same way you would apply for regular Medicaid. ","http://www.wnylc.com/health/entry/70/#:~:text=EMERGENCY%20MEDICAID,immigrants%20who%20are%20not%20PRUCOL.",,inactive,,,Medical,"Undocumented people/immigrants",,
139,805716197722696,1167642613839049,,"Food Pantry New Utrecht Brooklyn ",,"(718) 373-4565
Food Pantry 
Social Services - SNAP, Access a rid, Medicaid/Medicare Assistance",https://rcsprograms.org/programs/social-services/,info@rcsprograms.org,inactive,,,Medical,,,Unsure
140,818896959826069,1167642613839049,,"Online Community Support Group by and for Parents Impacted by the Child Welfare System",,"Rise is an organization by parents, for parents. This online peer support group is led by experienced parent advocates from across NYC. If you have a child welfare or preventive case in NYC and want to connect with other parents with similar experiences and learn how to navigate or negotiate to end your case, join our support group. ",https://www.risemagazine.org/2020/07/join-rises-community-support-group/,jeanette@risemagazine.org,inactive,,,,"NYC parents impacted by the child welfare system, Not Listed",,"No Required Documents"
144,785168726952116,1167642613839049,,"Microgrants for Individuals, Families, and Mutual Aid Networks in Brooklyn",,"Apply for the following available microgrants:
15 $800 cash awards to individuals in need of assistance
15 $2200 cash awards to families 
3 $42000 microgrants for mutual aid networks/community groups 
($10k upfront, 8k annually for next four years) 

",https://form.jotform.com/PocketMoney/apply,,inactive,,,"Mutual Aid Organizing","Artists/freelancers/folks outside the formal economy, Black/indigenous/people of color, Service and low-wage workers, Undocumented people/immigrants, Unemployed people, Coordinators of mutual aid efforts",,
149,849810314709336,1167642613839049,,"Free Wi-Fi Hotspot Locations",,"Visit this website to find free wi-fi hotspot locations around NYC",https://data.cityofnewyork.us/Social-Services/NYC-Wi-Fi-Hotspot-Locations/a9we-mtpn,opendatacalendarnyc@gmail.com,inactive,,,,,Website,"No Required Documents"
157,868450719643022,1167642613839049,,"Legal Issues in Mutual Aid Operations: A Preliminary Guide",,"Scholarly article about legal issues that impact groups engaged in mutual aid, with a focus on New York. It gives legal information on topics including: risk of liability; questions around governance and incorporation; safety policies, liability waivers, and insurance; banking and mutual aid; funding mutual aid and taxation of mutual aid; crowdfunding regulations; and food storage and safety rules. ",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3622736,,inactive,,,"Legal, Money","Coordinators of mutual aid efforts",Website,"Not Applicable"
162,836572732121982,1167642613839049,,"Kosher Food Pantry - Groceries Brooklyn!",,"(718) 534-7410 - Number for The Masbia Food Pantry, Flatbush Coney Island Location. 
They provide a box of groceries to anyone in need, fully Kosher to the Highest standards, pick up by appointment. ",https://www.masbiaflatbush.org/,info@masbiaflatbush.org,inactive,,,,"Jewish/Orthodox Jewish Communities , Not Listed",,"No Required Documents"
163,841670047273622,1167642613839049,,"Crisis textline",,"Text HOME to 741741 to reach a Crisis Counselor. Or, message us on Facebook.",https://www.crisistextline.org/,,inactive,,,,,,"No Required Documents"
165,840574557389357,1167642613839049,,"Derechos y recursos durante el COVID-19",,"En el contexto de la crisis económica y sanitaria generada por el COVID-19, es fundamental que sepas cuáles son tus derechos y cómo ejercerlos, y que tengas información actualizada sobre los recursos disponibles para las personas y las comunidades más vulnerables. ",https://www.misderechoscovid.org/,,inactive,,,,"Undocumented people/immigrants",Website,
167,846172078338738,1167642613839049,,Madraigos,,"Non- profit organization using innovative services and programs to help struggling teens in the Jewish Orthodox society.",https://madraigos.org/about/,,inactive,,,,,,
169,864720839143212,1167642613839049,,"Outdoor Leadership Academy For Youth ",,"An internship program for 14-24-year-olds divided into three cohorts -- gardening, outdoor play, and health promotion. Interns may start working with Concrete Safaris during the school year or summer time.",https://concretesafaris.org/,info@concretesafaris.org,inactive,,,,Youth,,"Government ID"
171,877159453508302,1167642613839049,,"COVID-19  Mental Health Resources Handout",,"Printable list of various mental health resources for young people. ",https://docs.google.com/document/d/1NBc88oCXtW3p2XCtZXN5axXUWnpsHdE83gKZ9eMoWtE/edit?usp=sharing,,inactive,,,"Additional Resource Libraries",,Printable,
172,820272093059051,1167642613839049,,"Bring the Caribbean Home ",,"A online directory to Caribbean small businesses in Brooklyn & beyond.",https://docs.google.com/spreadsheets/d/1OMsbWM_W_ww7kJP1A90CKNG6fjNpSTECmRD9TRedJ5g/edit#gid=636067682,,inactive,,,,"Caribbean/LatinX , Black/indigenous/people of color",,
184,863754032688547,1167642613839049,,"Freelance Artist COVID-19 Resources",,"This website gives categorized resources for artists during the current crisis. It is meant to support the independent artist community. ",https://www.freelanceartistresource.com/,,inactive,,,"Jobs, Money, Mental & Behavioral Health","Artists/freelancers/folks outside the formal economy",Website,"Not Applicable"
187,876701553396741,1167642613839049,,"Immigrant Families Fund - Cash Assistance for People Who Did Not Receive Federal Stimulus",,"Contact for cash grants for immigrant families left out of federal relief up to $500",https://missionassetfund.org/immigrant-families-grant/,,inactive,,,,"Undocumented people/immigrants",,
188,887167853007216,1167642613839049,,"Zoom Call Chats!",,"Use this resource if you need a person to talk to for any reason! (Loneliness, boredom, reality check, friendly chat, etc!) It is a ""door always open"" type of thing! Email to set up a chat!",,,inactive,,,,,,
193,848324066596704,1167642613839049,,"Free online gymnastics classes for children",,"Industry Gymnastics offers free online gymnastics and movement classes for ages 3-months through teens every M/W/F and occasional adult classes on Saturdays. ",https://www.industrygymnastics.com/online-classes,,inactive,,,,"Parents/guardians/caregivers, Youth, LGBTQIA2+",,
200,869238209175597,1167642613839049,,"Free Introductory Yoga Classes",,"Age 18 and up. Integral Yoga Institute (212) 9290585",https://iyiny.org/,nklotchk89@gmail.com,inactive,,,"Exercise and Wellness",,Website,"No Required Documents"
206,908738730535100,1167642613839049,,"Protect the Peoples Emergency (PPE) Partnership Fund",,"An emergency coalition of the Indigenous Environmental Network, Movement Rights, T.E.J.A.S., Idle No more SF Bay, Amazon Watch, and Eaton Workshop have come together to raise funds to get COVID-19 Emergency PPE (Personal Protection Equipment) Masks and Supplies to Native Nations’ Medics and Communities.
 
Native nations are swiftly being hit by the coronavirus; one of the communities this effort will serve, the Navajo Nation, has a higher infection rate per capita than any state other than NY and NJ. The infection and death rate on the Navajo Nation alone is 10 times higher than the state of Arizona, despite the fact that the tribe reported its first case of Coronavirus 51 days after Arizona. This scenario is playing out all across Indian Country. 
 
The Coronavirus is Deadly for Native communities, due to tribal and urban medical clinics lacking staffing, equipment, capacity, and funding; increased health and pre-existing medical condition risk factors faced in Native communities; and poverty, access to clean water and food scarcity. 
 
Our PPE partners have created an Emergency Pipeline including sourcing, purchasing and distributing PPE to medical facilities and communities most in need throughout Indian Country. Through our collective network of allies we have identified reputable and certified sources for securing masks from abroad and within the US. We have identified Native health facilities to receive large shipments of PPE. We are also working to facilitate tribes and health services to order directly from these same suppliers. 
 
We can’t do it without you. Help us raise $200,000 to provide Native American communities and medical staff personal protection equipment (PPE) including N95, KN95 and surgical masks, gowns, gloves, medical-grade disinfectant liquids and wipes, medical equipment, and other community needs. Every dollar we raise will go to those most in need. With our elders, the living bearers of our cultures and histories, at highest risk, Indian Country has so much at stake in this moment. 
 
Please make a life-saving donation today.",https://protectthepeoples.org,,inactive,,,Delivery/Transport,"Black/indigenous/people of color, Healthcare workers , People with disabilities and chronic illnesses/immuno-compromised, People who are homeless/housing unstable/public housing residents, Seniors and elders, LGBTQIA2+, People who use drugs, Parents/guardians/caregivers, Service and low-wage workers, Undocumented people/immigrants, Unemployed people, Coordinators of mutual aid efforts, Domestic workers/care workers",,
222,908834288272179,1167642613839049,,"Church offering food for families ",,"Hello, please visit https://www.facebook.com/ANCCMinistry/ to connect with the leaders who regularly have boxes of food ready to share with the community. ",https://www.facebook.com/ANCCMinistry/,,inactive,,,,,"Not Listed","Not Applicable"
223,909728669887921,1167642613839049,,"Herbal First Aid Aftercare for All Who Have Experienced Police Violence",,"Herbal FirstAid Aftercare for All Who Have Experienced Police Violence. Pamphlet with information with herbal strategies for those who have experienced police violence. Lists healing herbs and their medicinal qualities.",https://static1.squarespace.com/static/5b3afe10710699ed07bab837/t/5ed97eed350845196bda458e/1591312119046/Herbal+First+Aid+Aftercare-2.pdf,,inactive,,,"Safety from Violence",,"Printable,Website",
224,915387205588431,1167642613839049,,"Zoom Online Group & Individual Therapy",,"516-318-3164. text or call
JohnKurekDO@gmail.com
JohnKurek.com

Queer and straight welcome. All and any problem can be addressed not only Covid related. ",JohnKurek.com,,inactive,,,,"LGBTQIA2+, Artists/freelancers/folks outside the formal economy, Healthcare workers , Black/indigenous/people of color, Survivors of domestic and intimate partner violence",Video,
226,929804187090937,1167642613839049,,"Crisis Text Line,  communicate with a trained Crisis Counselor in a moment of crisis",,"In the United States, text 741741 at anytime 24/7 to be connected with a crisis counselor. ",https://www.crisistextline.org/text-us/,info@crisistextline.org,inactive,,,"Exercise and Wellness, Safety from Violence, Medical, Education, Money",,,"Not Applicable"
228,888453045623390,1167642613839049,,"Housing Assistance/Homlessness Prevention - Brooklyn and Staten Island",,"CAMBA works to assists individuals and families maintain or obtain stable housing with safe, clean and secure shelters . Clients first must move through HomeBase, which offers mediation, budgeting, and legal services.  Primarliry serves those who are residents in the following districts in Brooklyn: 2,3, 6-15, 17 or any district in Staten Island.

2244 Church Avenue, 4th Floor
Brooklyn, NY 11226
T: (718) 408-5766 ext. 66200

1117 Eastern Parkway
Brooklyn, NY 11213
T: (718) 622-7323 ext. 22100

1958 Fulton Street, 1st Floor
Brooklyn, NY 11233
T: (718) 408-5756 ext. 37100

120 Stuyvesant Place, Suite 413
Staten Island, NY 10301
T: (718) 282-6473 ext. 75007

209 Bay Street
Staten Island, NY 10301
T: (718) 226-0496",https://camba.org/programs/homebase/,,inactive,,,,,,
230,895435963016847,1167642613839049,,"Supportive Services for Adolescents and Young Adults",,"The Door NYC is a comprehensive agency that offers supportive services to disconnected teens and young adults. They provide their services all from one roof.  To help them to achieve self-determination, The Door NYC offers services to promote success in life through education support, foster services, mental health services, , crisis intervention, housing services for homeless teens or runaways, and food where free meals are made available every evening and members have access to a nutritionist and receive help in budgeting for healthy foods.  The Door focuses on providing its members with skills and tools to ensure success in school, life and work.

 membership@door.org.

homeless youth can text at: 646-392-8563 or email at: ealcantara@door.org.

They are open for walk ins  for essential items and crisis counseling:  Monday-Thursday from 11 am-6 pm.",https://door.org,,inactive,,,"Food, Education, Housing, Fun and Leisure, Jobs",Youth,,"Not Applicable"
232,908750600786074,1167642613839049,,"Mutual Aid 101 Toolkit #WeGotOurBlock",,"This toolkit includes step by step instructions for how you can build your own mutual aid network while staying safe from the spread of COVID-19. You can start by posting on social media: “I’m going to support my neighbors through COVID-19. Keep us updated on your mutual aid work through #WeGotOurBlock.",https://gdoc.pub/doc/e/2PACX-1vRMxV09kdojzMdyOfapJUOB6Ko2_1iAfIm8ELeIgma21wIt5HoTqP1QXadF01eZc0ySrPW6VtU_veyp?,,inactive,,,,"Coordinators of mutual aid efforts",Printable,
235,933755518485258,1167642613839049,,"Free Consumer Guide on Maintaining Health Insurance Coverage During the Pandemic",,"This guide walks through the different options consumers have to maintain employer-based coverage or find new coverage on the NY State of Health Marketplace. Available in English, Spanish, Simplified Chinese, Russian, Bengali, and Haitian Creole.",https://uhfnyc.org/publications/publication/maintaining-coverage-during-pandemic/,,inactive,,,Medical,"Uninsured/Underinsured People, Unemployed people, Artists/freelancers/folks outside the formal economy","Website,Printable",
253,935447412030517,1167642613839049,,"NYC Food Policy - Neighborhood Food Guides",,"Hunter College Food Policy Center publishes guides listing all food options (including stores that offer delivery and take EBT), by neighborhood",https://www.nycfoodpolicy.org/coronavirus-nyc-food-reports/,,inactive,,,,,,
259,939919165755577,1167642613839049,,"24 hour day access suicide hotline",,"call 800-273-8255 24 hours a day to talk to someone if you are thinking of hurting yourself. All ages.",https://suicidepreventionlifeline.org/,hcollins@vibrant.org.,inactive,,,,,,"No Required Documents"
262,977145087113125,1167642613839049,,"NASM certified Personal Trainer",,"Live thirty minute total body workouts at 5pm on weekdays. I offer modifications and adjustments for all levels. ",https://www.instagram.com/_stacyadams_/,,inactive,,,,"Teenagers to adults",,
263,924167126382589,1167642613839049,,"Free job training and placements!   ",,"The HOPE Program is a non-profit organization that offers 5 different job training programs. We offer job readiness training, construction training, industry certifications such as OSHA-30 internships, HSE prep, job placement, and more. Call 347-7730-4623 to learn how to apply. ",https://www.thehopeprogram.org/start-dates-and-sign-ups/,,inactive,,,Education,"People who are homeless/housing unstable/public housing residents, Black/indigenous/people of color, LGBTQIA2+, People with low-income/limited income, Survivors of domestic and intimate partner violence, Unemployed people, Youth, Seniors and elders, People with disabilities and chronic illnesses/immuno-compromised, Incarcerated people and communities subject to over-policing, Parents/guardians/caregivers",,"Government ID"
267,965709058192498,1167642613839049,,"Empowering people with vision loss to achieve their goals and aspirations",,"Visit website to apply for careers and vision rehabilitation services to help adults experiencing vision loss gain independence.",https://www.alphapointe.org/,ggowin@alphapointe.org,inactive,,,,"People with disabilities and chronic illnesses/immuno-compromised",Website,"No Required Documents"
268,985033598379289,1167642613839049,,"PPE (MASKS AND GOGGLES)",,"Facilitating large wholesale orders of masks and goggles. 

Masks cost $0.60/unit and goggles would come out to around $2.00/unit. The lead time for the tri-state area is next day delivery. 

My team and I have raised donations towards sourcing supplies for protestors and would be happy to use some of our funds towards this purchase.

Please let me know if this interests you!

",,,inactive,,,,,,
273,942667936894105,1167642613839049,,"The Jewish Board - offers services to support families suffering form domestic violence or those who are in need of mental health support",,"The Jewish Board views its work through an inclusive and anti racist lens working to help people of all cultures, genders, race, religions, etc. They offer services to assist families struggling with domestic violence through hotlines to their shelters. Genesis Shelter: 212-304-1430, Horizon Shelter 212-262-7655.  Hotline for Transition Center (emergency shelter for men and women and their children struggling with domestic violence)  718-520-8045  All three numbers are 24/7

The Jewish Board also offers, family services, community mental health services and work to act as a liason between NYC governmental departments on the behalf of their clients.  
For a clinic appt call 1-844-ONE-CALL

they accept medicaid and major insurance agencies",https://jewishboard.org/how-we-can-help/,,inactive,,,"Safety from Violence",,,Unsure
276,992755247235976,1167642613839049,,"Girl Vow, Inc., is a non profit organization located in the Bronx provide numerous services to girls/women. They are currently providing virtual services for free. They are also providing crisis calls in case of an emergency and immediate assistance. ",,"Girl Vow, Inc. a non-profit organization located in the Bronx provide numerous services to girls/women. They are currently providing virtual services for free. They are also providing crisis calls in case of an emergency and immediate assistance.

Please call 347-918-8723 Monday-Friday 10am-6pm. if in crisis 
Email- Kaylen@girlvow.org
Shaylynn@girlvow.org 
",,Kaylen@girlvow.org,inactive,,,"Jobs, Mental & Behavioral Health","Black/indigenous/people of color, Incarcerated people and communities subject to over-policing, LGBTQIA2+, Youth, Sex workers, Unemployed people","Website,Hotline",
283,1020989524309577,1167642613839049,,"Paid remote learning support",,"A paid program that provides remote learning support and childcare with an education focus that is affordable",https://www.aceacademick12.com/remote-learning,ace@aceacademick12.com,inactive,,,Childcare,,,
285,1011287229950775,1167642613839049,,"LGBTQ Youth Suicide Hotline",,"Call the TrevorLifeline at 1-866-488-7386 to speak to a counselor if you are contemplating suicide.",https://www.thetrevorproject.org/get-help-now/,info@thetrevorproject.org,inactive,,,,LGBTQIA2+,,
289,1077514895078732,1167642613839049,,"Conversations of Color",,"Resource for people of color who are between the ages of 18 and up. This podcast is a safe heaven where people can share ideas, emotions, and questions in relations to our racially-biased society and the impact of POC mental health.  ",www.facebook.com/CofCPodcast,,inactive,,,,"Black/indigenous/people of color",,"No Required Documents"
291,1087120718705154,1167642613839049,,"How to Set Up a Mutual Aid Fund",,"Essay about how the STL Mutual Aid Fund was set up, with tips for other mutual aid organizers.",https://www.shareable.net/how-to-set-up-a-mutual-aid-fund/,,inactive,,,,"Coordinators of mutual aid efforts",Website,"Not Applicable"
310,1074649688682201,1167642613839049,,"Help and supportive services for youth and adults with developmental, psychiatric and neurological disabilities",,"Services include after school programs which include tutoring, arts, drama, etc., Day Habilitation programs, Community Habilitation, Residential Programs, 
and supportive employment.",http://humanfirst.dev003.vibrantcompany.com,,inactive,,,"Education, Housing, Jobs, Socializing (e.g. video calls), -Not Listed","People with disabilities and chronic illnesses/immuno-compromised",,"Not Listed"
