id,term,description,parent_id,taxonomy,language,x_taxonomies,taxonomy_x_notes,badge_color
777005893906972,"Help Pay for School",,"798567761994199,976566727118378","Service Category",,1336498016075499,,F9BE21
778256962802905,Runaways,,1167028395080754,"Service Eligibility",,1240637095744489,,3B8C1E
788823167088366,"Intellectual Disability",,1141891580359737,"Service Eligibility",,1240637095744489,,87CBFF
796870551245598,"Emergency Food",,"630013980013392,1169956847122981","Service Category",,1336498016075499,,8F29FB
742573749443370,"Ages 60+",,1212005456553071,"Service Eligibility",,,,76DE2F
745675631776034,"Teens (13-19)",,1212005456553071,"Service Eligibility",,1240637095744489,,F6A0E9
758960875077789,"All Ages",,1212005456553071,"Service Eligibility",,,,66E957
760682869186995,"Help Find School",,"1294707318379665,976566727118378","Service Category",,1336498016075499,,82347B
763679390726230,Grieving,,969755667750581,"Service Eligibility",,1240637095744489,,460DE1
771397719308358,"Daily Life Skills",,1102011945010404,"Service Category",,1336498016075499,,2635CB
745200262392648,"Bus Passes",,1216646091883750,"Service Category",,1336498016075499,,AE8730
751819565696252,On-Treatment,,818150474957808,"Service Eligibility",,,,D63756
769442360904001,"Myeloma, Multiple",,1265252182873860,"Service Eligibility",,,,B1C49E
772638817096683,"Employment Status",,,"Service Eligibility",,,,5790D2
777959161914567,"Postnatal Care",,800876057594945,"Service Category",,,,7E02E1
782075910643026,"Limited English",,950583367157610,"Service Eligibility",,1240637095744489,,DE78ED
783597762112560,"Efficient Appliances",,1180601869455614,"Service Category",,,,19E6C9
785129242888069,"Parenting Education",,"1102011945010404,1247837810727455","Service Category",,1336498016075499,,8B7638
788545605785566,Neuroblastoma,,1265252182873860,"Service Eligibility",,,,9B67F0
792078943886000,"Mental Health Care",,879394671891223,"Service Category",,,,5C3FED
798567761994199,"Financial Assistance",,899387596744807,"Service Category",,1336498016075499,,88A044
796915569268030,"Interview Training",,625531295881156,"Service Category",,1336498016075499,,320E18
800876057594945,"Sexual & Reproductive Health",,879394671891223,"Service Category",,,,D427C9
810369209316339,"In Danger",,833374944686291,"Service Eligibility",,1240637095744489,,EDFE91
812704423326314,Tutoring,,1132205886737577,"Service Category",,1336498016075499,,9DEEC5
811387316911588,"Help Find Work",,"832122112723102,1294707318379665","Service Category",,1336498016075499,,275F9C
764499959924021,"Help Hotlines",,1275047956986417,"Service Category",,1336498016075499,,D2E7B3
764795942886475,"Armed Forces",,,"Service Eligibility",,1240637095744489,,1ED264
783311630722085,"Savings Program",,666755781872045,"Service Category",,1336498016075499,,C2F352
788769915367979,"Medical Supplies",,"1211420433536032,879394671891223","Service Category",,1336498016075499,,55D16E
796086178758931,"Germ Cell Tumor",,1265252182873860,"Service Eligibility",,,,CCC9A1
797839516590040,"Anger Management",,792078943886000,"Service Category",,,,E8C006
819562758416858,"Seniors (55+)",,1212005456553071,"Service Eligibility",,1240637095744489,,3A7EC9
774629790331236,"Income at or below 80% of Area Median Income (AMI)",,996413864069591,"Service Eligibility",,,,EC2055
784648110042335,Notary,,841905613386238,"Service Category",,1336498016075499,,68541B
784550372225263,Undocumented,,1150913699729234,"Service Eligibility",,1240637095744489,,AFDF1A
787900585077931,Fertility,,800876057594945,"Service Category",,,,3100F5
799449709919727,"Chronic Illness",,1276982655382389,"Service Eligibility",,1240637095744489,,6719BF
820647015810178,Insurance,,,"Service Eligibility",,1240637095744489,,D2E674
828376330034249,"Head Start",,1186613002076967,"Service Category",,,,EDC03E
838767211746160,"Ages 55+",,1212005456553071,"Service Eligibility",,,,388FEF
777783595078102,"Help Fill out Forms",,1294707318379665,"Service Category",,1336498016075499,,B4F462
804988834413588,12-Step,,"600702532354257,1247837810727455","Service Category",,1336498016075499,,D654DB
818150474957808,"Treatment Phases",,1276982655382389,"Service Eligibility",,,,3E143D
832122112723102,Work,"Services for finding and sustaining work and improving job skills and abilities. \n	    	",,"Service Category",,1336498016075499,,F518F4
835784500825827,"Limited Mobility",,1141891580359737,"Service Eligibility",,1240637095744489,,648D65
824774385817237,"Animal Welfare",,893915418546777,"Service Category",,1336498016075499,,B6DE5A
843205605632982,"Help Pay for Car",,1216646091883750,"Service Category",,,,176901
859021943105649,"Temporary Shelter",,1169956847122981,"Service Category",,1336498016075499,,F7B59E
860844756602444,"Hospital Treatment",,"806935508227949,792078943886000","Service Category",,,,02FCD5
798186602850839,"Help Pay for Internet or Phone",,1125729387706168,"Service Category",,,,51434A
801451294791750,"Desmoid Tumors",,1265252182873860,"Service Eligibility",,,,3E2CCD
821106469654991,"Gastrointestinal Stromal Tumors (GIST)",,1265252182873860,"Service Eligibility",,,,23DAA1
833374944686291,Urgency,,,"Service Eligibility",,1240637095744489,,874B4B
853451313072900,Transgender,,911240657187696,"Service Eligibility",,1240637095744489,,1D5DDC
849037910727477,"Living with HIV or AIDS",,1276982655382389,"Service Eligibility",,,,F77172
862799574351361,"Food Delivery",,630013980013392,"Service Category",,1336498016075499,,A2C635
867392726213096,"After School Care",,1186613002076967,"Service Category",,1336498016075499,,BBCC99
806935508227949,"Prevent & Treat",,1165536100757865,"Service Category",,1336498016075499,,5FFEEA
832401246252623,"Income at or below 60% of Area Median Income (AMI)",,996413864069591,"Service Eligibility",,,,539841
834039463355775,"Toys & Gifts",,1211420433536032,"Service Category",,1336498016075499,,2E13E6
841227795962370,"Not eligible for Medicaid",,820647015810178,"Service Eligibility",,,,A0DF44
841905613386238,Legal,"Services for legal representation, mediation, advocacy, citizenship and immigration, adoption and foster care, guardianship, civil rights and more.\n	    	",,"Service Category",,1336498016075499,,CEF9F0
841837312375321,"Maternity Care",,"1165536100757865,1287117316578391","Service Category",,1336498016075499,,9AEE00
878852836579488,Transportation,,897715506052490,"Service Category",,1336498016075499,,18A7E4
884987017087539,Recreation,,"1186613002076967,935458216016910","Service Category",,1336498016075499,,411F76
817592898756695,"Housing Status",,,"Service Eligibility",,1240637095744489,,51059A
822958875627856,"Adult Daycare",,1186613002076967,"Service Category",,1336498016075499,,AAFD8E
824666532982332,Homeowners,,817592898756695,"Service Eligibility",,1240637095744489,,1F5EF6
851636387581415,"Medicare Recipient",,820647015810178,"Service Eligibility",,,,C0D8CB
854830167797217,"Hearing Impairment",,1141891580359737,"Service Eligibility",,1240637095744489,,385C66
876849061746143,"Recently Diagnosed",,818150474957808,"Service Eligibility",,,,067ED2
884990506453053,"Foreclosure Counseling",,"891529659623486,666755781872045","Service Category",,1336498016075499,,4A68E7
848353838408166,"Food Pantry",,630013980013392,"Service Category",,1336498016075499,,DC1B8B
847224100195290,Spouses,,615363042499687,"Service Eligibility",,1240637095744489,,CEBA2B
848192563052259,"Seizure Disorder",,1276982655382389,"Service Eligibility",,1240637095744489,,F4F652
871490711325090,"Personal Loans",,1249190270484337,"Service Category",,,,0177DB
879051723324085,"Maryland Resident",,1139839930624727,"Service Eligibility",,,,3E1FE4
879394671891223,Health,,,"Service Category",,,,83FDA7
892692765580900,"Health & Safety",,605525374389695,"Service Category",,,,9CF5E1
897050828053862,"Community Gardens",,630013980013392,"Service Category",,1336498016075499,,B42B1C
839753638188280,"Adoption & Foster Care",,"893915418546777,779743205099707","Service Category",,1336498016075499,,9F6064
842032101664236,"Help Pay for Food",,"798567761994199,975831365187379,630013980013392","Service Category",,1336498016075499,,8CC9A3
870724737216726,"Occupational Therapy",,806935508227949,"Service Category",,,,5EC319
888406512340629,"Residential Treatment",,"806935508227949,792078943886000,1110183826221887,600702532354257","Service Category",,1336498016075499,,7848AC
891529659623486,"Housing Advice",,1305774265925553,"Service Category",,1336498016075499,,3DEB92
897677147477296,Dependents,,615363042499687,"Service Eligibility",,1240637095744489,,61A3C2
894278665383286,"Rectal Cancer",,1265252182873860,"Service Eligibility",,,,4F6612
847186792894551,"On the Autism Spectrum",,1141891580359737,"Service Eligibility",,,,DAFD97
850871160684969,"Help Pay for Utilities",,"1125729387706168,975831365187379","Service Category",,1336498016075499,,D2D040
876072370037480,"Severe Mental Illness (SMI)",,1276982655382389,"Service Eligibility",,,,3DBD8A
873778996234656,"Housing Vouchers",,1125729387706168,"Service Category",,1336498016075499,,B490F5
885604845315230,Latinx,,896905506493054,"Service Eligibility",,,,4976CF
899387596744807,Money,"Services to help pay for housing, education, childcare, school, food and goods, financial education, tax preparation, insurance, government benefits, vouchers and more.\n	    	",,"Service Category",,1336498016075499,,716F5F
910742652297512,"Transgender Women",,911240657187696,"Service Eligibility",,,,DF6811
874406320909098,"Adults (31-54)",,1212005456553071,"Service Eligibility",,1240637095744489,,98C39C
874243235517809,Refugees,,1150913699729234,"Service Eligibility",,1240637095744489,,05D9CF
877937700279294,Vaccinations,,806935508227949,"Service Category",,1336498016075499,,E3A980
878273983731439,"Peer Recovery Coaching",,600702532354257,"Service Category",,,,5E68C1
888476474892241,"Help Find Childcare",,"1294707318379665,1228385258535588","Service Category",,1336498016075499,,CF4B1B
893915418546777,Care,"Services for animal welfare, residential caregiving, daytime caregiving, adoption & foster care, building support networks, end-of-life care and help navigating the system.\n	    	",,"Service Category",,1336498016075499,,B6F2A1
900556679417898,ADD/ADHD,,575795542893271,"Service Eligibility",,,,732FC7
911240657187696,Gender,,,"Service Eligibility",,1240637095744489,,1ADE6B
913465370653832,"Lung Cancer",,1265252182873860,"Service Eligibility",,,,1FB69D
895304866977482,"Active Duty",,764795942886475,"Service Eligibility",,1240637095744489,,202B09
896905506493054,Race/Ethnicity,,,"Service Eligibility",,1240637095744489,,CFCDD8
897715506052490,Transit,"Services for bus passes, transportation to school, healthcare, appointments and more. \n	    	",,"Service Category",,1336498016075499,,368CCA
916838906992046,Leukemia,,1265252182873860,"Service Eligibility",,,,7D440E
907018824409869,"Alternative Education",,1132205886737577,"Service Category",,1336498016075499,,ABE600
913953119512423,Alzheimers,,1276982655382389,"Service Eligibility",,1240637095744489,,552CE0
929417499509486,"Screening & Exams",,976566727118378,"Service Category",,1336498016075499,,34225A
931319187808426,"Foreign Languages",,1132205886737577,"Service Category",,1336498016075499,,28DC32
932692693517000,"Vaginal Cancer",,1265252182873860,"Service Eligibility",,,,E4F76D
938191190087284,Mothers,,615363042499687,"Service Eligibility",,1240637095744489,,9893B0
940079755845898,"Young Children (3-5)",,1212005456553071,"Service Eligibility",,,,FD04CB
892728609485756,"Enrolled in Vocational School",,1210543691411181,"Service Eligibility",,,,FE83BA
928634817824512,"Help Pay for Healthcare",,"798567761994199,975831365187379,879394671891223","Service Category",,1336498016075499,,C4D71D
946916902767009,"Diapers & Formula",,"1150739665501290,1175009392627115","Service Category",,1336498016075499,,3C53CA
948368144575516,"English as a Second Language (ESL)",,"1132205886737577,929417499509486","Service Category",,1336498016075499,,07D1AB
955005533722335,Mentoring,,1275047956986417,"Service Category",,1336498016075499,,D1FD7B
918504197761606,"Help Pay for Work Expenses",,"832122112723102,798567761994199","Service Category",,1336498016075499,,5D77A9
918424242217476,"Home Renters",,817592898756695,"Service Eligibility",,1240637095744489,,603771
938367961957346,"Pain Management",,806935508227949,"Service Category",,1336498016075499,,1E6ED2
969755667750581,"Emotional State",,,"Service Eligibility",,1240637095744489,,ED05B9
915117964681420,"Near Homeless",,817592898756695,"Service Eligibility",,1240637095744489,,1965A2
931128613729617,Students,,,"Service Eligibility",,1240637095744489,,CAB021
933354645704301,Mediation,,841905613386238,"Service Category",,1336498016075499,,1D922F
939814378938335,"Weather Relief",,"935458216016910,859021943105649","Service Category",,,,7E4E88
943793802429235,Survivors,,,"Service Eligibility",,1240637095744489,,9111A8
950554442307560,"Medications for Mental Health",,792078943886000,"Service Category",,,,398E77
929932272422839,Income-based,,996413864069591,"Service Eligibility",,,,48598B
937614928620819,Unemployed,,772638817096683,"Service Eligibility",,1240637095744489,,0057B6
938095594545503,"All Cancer Types",,1265252182873860,"Service Eligibility",,,,CC6EA2
944127246528233,"Food Benefits",,1320302684728105,"Service Category",,1336498016075499,,294F6A
950245001314883,"Post-Adoption Support",,839753638188280,"Service Category",,1336498016075499,,D0E091
958152786056493,"Efficiency Upgrades",,605525374389695,"Service Category",,,,086899
966489790841437,"Head & Neck Cancer",,1265252182873860,"Service Eligibility",,,,BA91DE
969114221652955,"Transgender/Gender Non-conforming",,911240657187696,"Service Eligibility",,,,000267
969962996187719,"Before School Care",,1186613002076967,"Service Category",,,,244D91
989050742720214,Men/Boys,,911240657187696,"Service Eligibility",,1240637095744489,,D0DA6B
928322341971989,"Skin Cancer",,1265252182873860,"Service Eligibility",,,,A7C968
930626679893969,"Resident of 20002 Zip Code",,1139839930624727,"Service Eligibility",,,,05213E
952065863425741,"Disability Benefits",,"1320302684728105,928634817824512","Service Category",,1336498016075499,,357928
981004781284407,Books,,"1180601869455614,777005893906972","Service Category",,1336498016075499,,1DBABC
982549491856586,Families,,1300476128041301,"Service Eligibility",,1240637095744489,,6E2039
985705289030137,"Disaster Response",,1169956847122981,"Service Category",,1336498016075499,,C9A03A
984305979777658,"Anyone in Need",,1198680311005259,"Service Eligibility",,1240637095744489,,7AB8B7
935458216016910,"Community Support Services",,893915418546777,"Service Category",,,,58323E
964978986111653,"Disability Screening",,1235658330362031,"Service Category",,1336498016075499,,F7F74C
970576219428839,"Adoption & Foster Parenting",,839753638188280,"Service Category",,1336498016075499,,6BB5A2
975831365187379,"Emergency Payments",,1169956847122981,"Service Category",,1336498016075499,,1648C8
1000668362731472,"Resident of 20010 Zip Code",,1139839930624727,"Service Eligibility",,,,5C70C8
1005131331152756,"Public Benefit Recipient",,996413864069591,"Service Eligibility",,,,4E32BC
950583367157610,Language,,,"Service Eligibility",,1240637095744489,,1654AB
950295775722822,"Brain Tumor",,1265252182873860,"Service Eligibility",,,,3EB724
980955652303843,"Youth Development",,1132205886737577,"Service Category",,,,DDD497
978140125912052,"Privately Insured",,820647015810178,"Service Eligibility",,,,EAA6CA
985893316061112,Homebound,,1141891580359737,"Service Eligibility",,,,718A96
982524299511218,"Montgomery County, MD Residents",,1139839930624727,"Service Eligibility",,,,5286D8
986852647663353,"Foster Youth",,1167028395080754,"Service Eligibility",,1240637095744489,,93A832
976566727118378,Education,"Services for preschool, after-school, special education, help finding school, help paying for school, alternative education tutoring and more. \n	    	",,"Service Category",,1336498016075499,,C5F226
977758856598128,"Virginia Resident",,1139839930624727,"Service Eligibility",,,,B82A43
990781435512013,"Developmental Disability",,1141891580359737,"Service Eligibility",,1240637095744489,,9BF6ED
994637796113653,"Resident of 20005 Zip Code",,1139839930624727,"Service Eligibility",,,,3E6F41
996413864069591,Income,,,"Service Eligibility",,1240637095744489,,3D24CE
1005108170468430,"Throat Cancer",,1265252182873860,"Service Eligibility",,,,428C7F
1010831804503850,Caregivers,,615363042499687,"Service Eligibility",,1240637095744489,,1DDAFF
1024212243896240,"Ovarian Cancer",,1265252182873860,"Service Eligibility",,,,C5B18D
1087763039912019,"Clothes for School",,"1150739665501290,777005893906972","Service Category",,1336498016075499,,AEBA0E
1054161113243743,"Young Adults (20-30)",,1212005456553071,"Service Eligibility",,,,2E79B6
1056592274671514,"Baby Clothes",,"1150739665501290,1175009392627115","Service Category",,1336498016075499,,432CF2
1077085927218062,"Ductal Carcinoma In Situ (DCIS)",,1265252182873860,"Service Eligibility",,,,EEE752
1096677816677257,"One-on-One Support",,1275047956986417,"Service Category",,1336498016075499,,A21C07
1102140378766615,"Infectious Disease",,1276982655382389,"Service Eligibility",,1240637095744489,,00BA87
1109050320464215,"Supplies for Work",,"918504197761606,1180601869455614","Service Category",,1336498016075499,,7AFFD2
1054110730145742,"End-of-Life Care",,"893915418546777,879394671891223","Service Category",,1336498016075499,,69653E
1066385747698739,"Immediate Safety",,1169956847122981,"Service Category",,1336498016075499,,47F8B9
1104421346923013,"Discounted Healthcare",,928634817824512,"Service Category",,1336498016075499,,996788
1108462493888752,"Personal Hygiene",,1165536100757865,"Service Category",,1336498016075499,,048BC0
1118871438435285,"Translation & Interpretation",,841905613386238,"Service Category",,1336498016075499,,AE3022
1063160308652400,"Burial & Funeral Help",,1054110730145742,"Service Category",,1336498016075499,,4FDEB5
1058404973355262,"Virtual Support",,1275047956986417,"Service Category",,1336498016075499,,C3C129
1074032646839342,"Understand Mental Health",,"1102011945010404,792078943886000","Service Category",,1336498016075499,,0E6569
1085119813885923,"Retirement Benefits",,1320302684728105,"Service Category",,1336498016075499,,E7A827
1097463912052339,"Throat Cancer",,1265252182873860,"Service Eligibility",,,,E4C6B5
1116300227520681,"Single Parent",,982549491856586,"Service Eligibility",,,,19F097
1129130692803244,"Sexual Assault Survivors",,943793802429235,"Service Eligibility",,1240637095744489,,166782
1124325593515504,"Help Find Healthcare",,1165536100757865,"Service Category",,,,2F73A6
1133595924005374,"Northern Virginia Resident",,1139839930624727,"Service Eligibility",,,,26B36D
1073823868791019,"Specialized Therapy",,806935508227949,"Service Category",,1336498016075499,,D87254
1075517820799112,"Mental Health Evaluation",,792078943886000,"Service Category",,1336498016075499,,8550BF
1078085049466319,"Elementary School Students",,1210543691411181,"Service Eligibility",,,,D0746F
1088641745882951,"Formerly Incarcerated",,1280079717530714,"Service Eligibility",,,,CE16BA
1091485627676359,"Youth (6-12)",,1212005456553071,"Service Eligibility",,1240637095744489,,826D45
1090773917009436,"Nutrition Education",,"1102011945010404,630013980013392","Service Category",,1336498016075499,,ED1946
1132205886737577,"More Education",,976566727118378,"Service Category",,1336498016075499,,926955
1136595274223757,"Public Housing",,614856429001096,"Service Category",,1336498016075499,,B8BA67
1139839930624727,Geography,,,"Service Eligibility",,,,029E6C
1093285148289911,"Nursing Home",,"1110183826221887,1235791902856617,806935508227949,614856429001096","Service Category",,1336498016075499,,0BC2A0
1094588998993813,"Supported Employment",,"832122112723102,1132205886737577,811387316911588","Service Category",,1336498016075499,,13F38A
1102011945010404,"Health Education",,"1132205886737577,879394671891223,893915418546777","Service Category",,1336498016075499,,C74EA8
1117576465924543,"Perpetrator of Intimate Partner Violence",,1280079717530714,"Service Eligibility",,,,52D2F5
1126252598378300,"Help Find Missing Persons",,1169956847122981,"Service Category",,1336498016075499,,AE0826
1128437262265498,"Colorectal Cancer",,1265252182873860,"Service Eligibility",,,,F0B177
1137007817102397,Couples,,1300476128041301,"Service Eligibility",,,,4A7BD2
1089843134062996,"Free Meals",,630013980013392,"Service Category",,1336498016075499,,7EA2FA
1105790653470604,Hospitalized,,818150474957808,"Service Eligibility",,1240637095744489,,6CCD75
1118011435663674,Parents,,615363042499687,"Service Eligibility",,1240637095744489,,0FB41A
1124853964567758,"Day Camp",,1186613002076967,"Service Category",,1336498016075499,,620472
1128539471674801,Sarcoma,,1265252182873860,"Service Eligibility",,,,678AB4
1139810782747688,"African American",,896905506493054,"Service Eligibility",,1240637095744489,,235533
1136150527583896,"National Guard",,764795942886475,"Service Eligibility",,1240637095744489,,518CE8
1145222996317036,"Safe Housing",,"1066385747698739,1268047549889803","Service Category",,1336498016075499,,4CBC1E
1149991867826919,"High School Students",,1210543691411181,"Service Eligibility",,,,CC01A3
1155997108133074,"Natural Disaster Survivors",,943793802429235,"Service Eligibility",,1240637095744489,,B4932B
1116563785046662,"Testicular Cancer",,1265252182873860,"Service Eligibility",,,,C93309
1125729387706168,"Help Pay for Housing",,"1305774265925553,798567761994199","Service Category",,1336498016075499,,914AAA
1136321764546973,"Clothes for Work",,"1150739665501290,918504197761606","Service Category",,1336498016075499,,BDC58E
1155007105799673,Lymphoma,,1265252182873860,"Service Eligibility",,,,013BA1
1110183826221887,"Residential Care",,893915418546777,"Service Category",,1336498016075499,,D0FA85
1130137565137737,Furniture,,1180601869455614,"Service Category",,1336498016075499,,B1A0EE
1134365017275504,"Emergency Shelter",,1305774265925553,"Service Category",,1336498016075499,,53DC3C
1165502705771556,"In Crisis",,833374944686291,"Service Eligibility",,1240637095744489,,67B628
1167164301148859,"Neuromuscular Disease",,1276982655382389,"Service Eligibility",,1240637095744489,,F73368
1172239494288193,"Endomentrial Cancer",,1265252182873860,"Service Eligibility",,,,22B97C
1180656577057246,"Mentally Incapacitated",,1141891580359737,"Service Eligibility",,1240637095744489,,85F799
1150739665501290,Clothing,,1211420433536032,"Service Category",,1336498016075499,,5A15B0
1158147295077777,"Brain Stem Glioma",,1265252182873860,"Service Eligibility",,,,E39A53
1178144711860898,Preschool,,"1186613002076967,976566727118378","Service Category",,1336498016075499,,E89A5F
1187711875770801,"Resume Development",,625531295881156,"Service Category",,1336498016075499,,D2363D
1193736021448376,Counseling,,"806935508227949,1275047956986417","Service Category",,1336498016075499,,618D9F
1129144548042060,"Living with a Disability",,1141891580359737,"Service Eligibility",,,,805B72
1131650922551092,"Abuse or Neglect Survivors",,943793802429235,"Service Eligibility",,1240637095744489,,35DACA
1152456768671865,"Disease Screening",,1235658330362031,"Service Category",,1336498016075499,,26A0DD
1165536100757865,"Medical Care",,879394671891223,"Service Category",,1336498016075499,,5C0661
1182573370009691,Uninsured,,820647015810178,"Service Eligibility",,1240637095744489,,A3F626
