"id","organization_id","name","alternate_name","description","program_service_relationship","services"
"948506459076989","1234827091202817","Keep Safe Housing","","As a survivor of domestic violence, you have the option to stay in your current apartment or house. Keep Safe Housing is a grouping of legal and financial resources to help you navigate the process.","","1316670958147366,839695327342121,1096695050630138,1186669715768214"
"893030777600658","1235669446637932","Housing Counseling","","Our housing counseling services provide the support, advice, and assistance you need to avoid homelessness, become a responsible tenant or owner, and live in comfort, safety, and security.","","925701018774057,1234923855165980,1274090737385222"
"908730646817026","1321593994370513","Labor of Love Human Services Center","","","","1138627636801968,1238104857551012,1298470590884073,826183970673949,976249584318959,873315756007935,1169733605000890"
"927796788349835","1280943812182660","Men's Ministry","","","","1135547983717044,659175264242163,1136496312754304,1317811461953516,638870700632782,929579985962021,1156988661828912,1333335607705891,911241036881136,1266964744981497,967262538035937"
"1071789402394582","558598955804152","Misler Center Adult Day Services","","The Albert & Helen Misler Adult Day Center in Rockville, Maryland provides stimulating activities, socialization and nursing supervision for older adults with physical, cognitive or emotional challenges. Services include door-to-door transportation and hot kosher lunches. Grants and special funds cover a portion of the daily fees. The participants at Misler come from a wide variety of backgrounds, reflecting the diversity of the Greater Washington area. People of all faiths and ethnic groups attend the Misler Center. Our participants are all living in community settings – some live with spouses, others with adult children, some in group homes/assisted living residences and some even live on their own! The older adults who attend Misler may be: Socially isolated Dealing with medical, cognitive or emotional challenges Dependent on others for care needs All our participants want to stay in the community, living as independently as possible. The Misler Center is able to help them achieve this goal, providing regular health supervision and an enriched environment with social, physical and cognitive stimulation. At Misler, we believe that it is as important to nourish the spirit as it is to nurture health! Misler is a friendly and vibrant, non-sectarian adult day center for older adults with physical, cognitive or emotional challenges. Licensed by the State of Maryland, Department of Health and Mental Hygiene, Office of Health Quality, Misler provides assistance and stimulation by an interdisciplinary team of nurses, social workers, activities leaders and aides. Misler Center services and activitiesAt Misler, staff all work together to provide an encouraging and supportive therapeutic environment for participants. Our staff to participant ratio goes well beyond the requirements of the State of Maryland, demonstrating our commitment to excellence. Services include but are not limited to: Door-to-door, fully accessible transportation provided by JCA’s ElderBus fleet A daily choice among a variety of activities designed to meet a range of interests, needs and abilities and provide enriched cognitive and physical stimulation Health services from RNs – monitoring of blood pressure, blood sugar, weight; medication administration Assistance with every day activities from certified nursing assistants and geriatric aides Social work services, including support for both participants and their families Easy access to physical, occupational and speech therapy On-site regular podiatry services Nutritious and hot four course Kosher meals and snacks, with attention to special diets","","645620379335062,623011102913209,1263144790142252,660686319121862,960770573404461"
"1077123691005918","808240584407061","Stepping Stones (Basic Needs)","","United Community's Stepping Stones program provides critical basic needs supportive services to vulnerable families who are in financial crisis and need emergency assistance. After a client assessment and a counseling session, families in their time of need may obtain emergency food, assistance to prevent eviction and utility cut-off, as well as prescription drug assistance.","","795565312115643,1214338575557271,778515041064471,804348455722045,605278265206856,862710749221593"
"1114852130959519","558598955804152","Connect-A-Ride","","Call Connect-A-Ride for answers and assistance. The Connect-A-Ride Transportation Resource Center is a free service that helps seniors and disabled adults of all ages find the transportation they need. Certified Information and Mobility Specialists help with schedules, benefits and eligibility requirements in: Montgomery County, Maryland; Arlington and Fairfax Counties in Virginia; and the Virginia cities of Alexandria, Fairfax and Falls Church. If you live in one of these jurisdictions and need transportation assistance, call Connect-A-Ride at 301.738.3252 or 703.323.6494.","","753350947911582,1114627657542591,923927696574335"
"1211904376095443","1126607081226356","Adults, Couples and Parents","","JSSS's program for adults, couples and parents.","","1224495074701354,1247441946122537,1189862050430597,842118695599527,1206515011255222"
"1219582729649259","1126607081226356","Individuals with Special Needs","","JSSS's program for individuals with special needs.","","956316316250592,985539150706956,643883051065479,1251282400091320,1300815691678453,634331653721930,739110335088609,1125189538542481,1262432728139962,859784781707721,919789306976808,1340874883349935,1117866913583560,1216919996503351,809925333569605,1281760748874328,768577653576222,783425160906226"
"1203557447583567","1235669446637932","Early Education","","UPO is proud to be the hub for the Quality Improvement Network, a multi-year effort to boost outcomes for infants and toddlers. We oversee 16 child development centers to ensure that they meet the Head Start Performance Standards. DC’s Office of the State Superintendent of Education chose UPO because we have a proven high-quality model. Our knowledge helps build the capacity of neighborhood-based child care centers, creating a rising tide that truly lifts all boats.","","823287765002075,1272403811888637,1115773035158894,1097124274962034"
"1240410015235732","1234827091202817","Housing Resource Center","","Our walk-in Domestic Violence Resource Clinic takes place every Wednesday from 1:00pm-3:30pm at the Westminster Presbyterian Church on 400 I St SW, DC (near Waterfront metro). With the DC Volunteer Lawyers Project and My Sisters Place, we provide victims access to housing assistance, legal assistance, and counseling. The Housing Resource Center (HRC) is the hub of DASH’s efforts to prevent homelessness among domestic violence survivors. We assist survivors in completing housing applications, obtaining safety transfers, navigating the public housing system, and making connections to community services. Survivors can conduct housing searches in our computer lab and work one-on-one with Housing Specialists. Our Housing Resource Center Online is a web-based information clearinghouse with comprehensive information on housing programs for women, including details on admission processes, eligibility requirements, and accessibility for people with disabilities.","","1316670958147366,839695327342121,1096695050630138,1186669715768214"
"1250985891714404","558598955804152","Senior Employment","","","","1017935677136641,665291739064632,991942780227581,1256701502731901"
"1224597294308578","863547285733670","Emergency Food and Clothing Pantry","","We provide families with: food clothing housewares housing information health and nutrition information connection to and information about the Prince George’s Department of Social Services","","1079995367180066,980051444166145,604818206550536,1093343173920146,1257314642932231,1204018684568425,1174738273256108,680562197957511,676934928364883,1178657807139643"
"1243543998951764","558598955804152","Heyman Interages Center","","The JCA Heyman Interages® Center intergenerational programs have brought children and older adults together for 30 years. Since 1986, approximately 45,000 children and older adults in more than 100 schools and senior facilities have benefited from participation in our programs. Over the years hundreds of dedicated and caring older adult volunteers, who are the heart of Interages, have made a significant difference in the lives of children.","","933068702398710,648998547696427,789962433738515,1242086127856640,988423991733213"
"1317645687310879","1012774856380370","Family Services","","Far Southeast Family Strengthening Collaborative's Family Services program.","","1102032278098336"
"1317645687310880","","Service Grouping","","Service Grouping Description:","","1350703837531676"
"1317645687310881","","17-05 program","","description","","1350703837531678"
"1317645687310882","","Service Grouping:_edit-1","","Service Grouping Description:_edit-1","","1350703837531679"
"1317645687310883","","TACT (Transitional Age Community Treatment)","","An ACT team that specializes in serving individuals ages 18-29. This program is the highest level of care offered for young adults at Community Connections . Young adults are assigned a community-based Rehabilitation Specialist who can meet with TAY several times a week if needed. This program offers access to a wide range of services including psychiatry and groups.","","785169150627540"
"1317645687310884","","FACT (Forensic Assertive Community Treatment)","","We have two ACT teams which specialize in working closely with the courts, mental health court, CSOSA, and other other criminal justice systems.","","785169150627540"
"1317645687310885","","Level 1 Outpatient Addiction Services","","","","1206755076792649"
"1317645687310886","","Level 2.1 Intensive Outpatient Addiction Services","","","","1206755076792649"
"1317645687310887","","Level 1 Assessment and Referral","","","","1206755076792649"
"1317645687310888","","Recovery Support Substance Use Disorder Treatment Services for Adults","","","","1206755076792649"
"1317645687310889","","Oncology Dietitian","","Nutrition sessions are available before, during or after treatment to any of our patients. During a one-on- one consult, your diagnosis, treatment side effects and goals will be assessed to determine the best eating plan to optimize your nutrition. We will discuss recom- mendations and strategies to help manage side effects, increase energy and help you better tolerate treat- ment as well as incorporate tips to maintain a healthy weight and feel your best.","","1350703837531725"
"1317645687310890","","Support Programs","","Program participants experience mind-body, spiritual, social and physical benefits. Actively pursuing wellness through education, skill building and experiential classes can help you work toward a better quality of life during and after treatment. Programs are grant-funded and free to participants.","","1350703837531725"
"1317645687310891","","Financial Navigation","","Our oncology financial navigator provides individual- ized assistance to patients, families and caregivers to facilitate timely access to care and help overcome health care system barriers. Your oncology financial navigator will: • Provide education about your individual insurance plan and treatment coverage • Locate foundations that offer financial help • Connect you with outside resources like co-pay as- sistance programs and health insurance education","","1350703837531725"
"1317645687310892","","Navigation","","Our cancer nurse navigators, often referred to by our patients as “cancer coaches,” provide support, resources and care coordination from diagnosis to returning to life after cancer treatment. Patients often say they feel more prepared to handle what may lie ahead with the partnership of a navigator. Your cancer nurse navigator will: • Coordinate your care to ensure timely access and smooth transitions • Facilitate communication among patients, providers and other agencies to optimize your care • Prepare you and your loved ones on what to expect • Provide education about treatment, medication and disease side effects • Work in collaboration with our oncology social workers to address financial and insurance concerns • Connect you to oncology social work, nutrition and other support services as needed • Connect you to post-treatment survivorship resources","","1350703837531725"
"1317645687310893","","Palliative Care","","This specialized medical care is focused on providing patients with relief from the symptoms, pain and stress of a cancer diagnosis. The goal is to improve quality of life for both the patient and the patient’s family and is appropriate at any age and at any stage of a serious illness. It can be provided with curative treatment. Palliative care benefits include: • Expert treatment of pain and other symptoms (such as poor appetite, nausea, vomiting, constipation) • Dedicated time with you and your family to consider treatment preferences and navigate the health care system • Assistance with coordinating your care with all your health care providers • Guidance in considering difficult decisions and understanding complex information • Emotional and spiritual support for you/your family • Assistance with advance care planning • Education about hospice and its benefits","","1350703837531725"
"1317645687310894","","Social Work","","Social workers provide for the psychological, social, emotional and practical needs of cancer patients and their families. They can teach you how to manage the stress and changes that may come with cancer. Contact an oncology social worker to: • Learn how to talk about cancer with family members, children, friends, employers and your health care team • Help you manage feelings of anxiety, fear, sadness, anger, worry or depression that can be associated with a cancer diagnosis and treatment • Learn new ways of coping with stress • Help organize your family life around cancer treatment • Educate and connect you and your family with services like transportation, home care, financial assistance, hospice and palliative care","","1350703837531725"
"1317645687310895","","Support Groups","","These groups offer an opportunity to meet others going through similar experiences and gain support and friendship. Each group is facilitated by a social worker and other oncology staff to provide a safe and informative community.","","1350703837531725"
"1317645687310896","","Navigation","","Our cancer nurse navigators, often referred to by our patients as “cancer coaches,” provide support, resources and care coordination from diagnosis to returning to life after cancer treatment. Patients often say they feel more prepared to handle what may lie ahead with the partnership of a navigator. Your cancer nurse navigator will: • Coordinate your care to ensure timely access and smooth transitions • Facilitate communication among patients, providers and other agencies to optimize your care • Prepare you and your loved ones on what to expect • Provide education about treatment, medication and disease side effects • Work in collaboration with our oncology social workers to address financial and insurance concerns • Connect you to oncology social work, nutrition and other support services as needed • Connect you to post-treatment survivorship resources","","1350703837531725"
"1317645687310897","","Service Grouping_edit","","Service Grouping Description_edit","","1350703837531747"
"1317645687310898","","Service Grouping_EDIT","","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum._EDIT _EDIT","","1350703837531748"
"1317645687310899","","name","alter name","desc","","785748915877787"
"1317645687310900","","name","alter","desc","",""
"1317645687310901","","name","alter","desc","",""
"1317645687310902","","new","add","desc","",""
