id,name,parent_id,parent_name,vocabulary,taxonomy_facet
RP-1400.8000-650,Parent Counseling,,,Open211 Miami - AIRS,Service
PH-6100,Parenting Education,,,Open211 Miami - AIRS,Service
LR-8000.0500-050.05,Auditory/Oral Training,,,Open211 Miami - AIRS,Service
TC-5500.8000,Senior Centers,,,Open211 Miami - AIRS,Organization/Facility Type
BD-5000.1500,Congregate Meals/Nutrition Sites,,,Open211 Miami - AIRS,Service
FT-3600.3300,Immigrant Visa Application Filing Assistance,,,Open211 Miami - AIRS,Service
RP-1400.8000-825,Suicide Counseling,,,Open211 Miami - AIRS,Service
TD-1600.3100-250,Gay/Lesbian/Bisexual/Transgender Advocacy Groups,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1500.1400-800,Suicide Prevention Hotlines,,,Open211 Miami - AIRS,Service
FT-8000.2500,General Education Advocacy,,,Open211 Miami - AIRS,Service
PD-7600.0100,Animal Adoption,,,Open211 Miami - AIRS,Service
RF-2000,Family Counseling,,,Open211 Miami - AIRS,Modality/Delivery Format
PD-7600.0600,Animal Shelters,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1400.8000-050,Adolescent/Youth Counseling,,,Open211 Miami - AIRS,Service
LL-3000.1500,City/County Hospitals,,,Open211 Miami - AIRS,Organization/Facility Type
DD,Consumer Assistance and Protection,,,Open211 Miami - AIRS,Service
PH-6100.6800,Parenting Skills Classes,,,Open211 Miami - AIRS,Service
JR-1900.2000,Fire Control/Extinction,,,Open211 Miami - AIRS,Service
ND-6500.8120,Supported Employment,,,Open211 Miami - AIRS,Service
LH-5100.6500,Prescription Expense Assistance,,,Open211 Miami - AIRS,Service
LJ-2000.6750,Pregnancy Testing,,,Open211 Miami - AIRS,Service
PL-7400.1550,Cooking Classes,,,Open211 Miami - AIRS,Service
LV-1600,Dental Care,,,Open211 Miami - AIRS,Service
RF-3300,Individual Counseling,,,Open211 Miami - AIRS,Modality/Delivery Format
HH-4500.2000,Family Literacy Programs,,,Open211 Miami - AIRS,Service
TJ-6500.8000,Speakers/Speakers Bureaus,,,Open211 Miami - AIRS,Service
LL-6000,Nursing Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
LT-1750.7935,Sexual Assault Treatment,,,Open211 Miami - AIRS,Service
PH-1250.1400,Child Care Centers,,,Open211 Miami - AIRS,Organization/Facility Type
NL-6000.9500,WIC,,,Open211 Miami - AIRS,Named Programs
LJ-5000.1500,Childbirth Education,,,Open211 Miami - AIRS,Service
LJ-5000.6600,Prenatal Care,,,Open211 Miami - AIRS,Service
LJ-2000,Family Planning,,,Open211 Miami - AIRS,Service
TI-1800.0700,Animal Food/Supplies Donation Programs,,,Open211 Miami - AIRS,Service
LV-5700,Neuropsychiatry/Neuropsychology,,,Open211 Miami - AIRS,Service
RD-1500,Cognitive Behavioral Therapy,,,Open211 Miami - AIRS,Service
RD-2500,Gestalt Therapy,,,Open211 Miami - AIRS,Service
RP-1400.8000-175,Divorce Counseling,,,Open211 Miami - AIRS,Service
LN-1500,Community Clinics,,,Open211 Miami - AIRS,Organization/Facility Type
LV-6000.2550,Gynecology Services,,,Open211 Miami - AIRS,Service
TH-1700.8000,Special Needs Registries,,,Open211 Miami - AIRS,Programs that maintain information about people who may require 
LV-6000.1000,Breast Care Centers,,,Open211 Miami - AIRS,Organization/Facility Type
FT-1000.8900,Unemployment Insurance Benefits Assistance,,,Open211 Miami - AIRS,Service
PH-0320,Adult Day Programs,,,Open211 Miami - AIRS,Service
HL-2000.8000,Special Education Assessment,,,Open211 Miami - AIRS,Service
LJ-5000,Mother and Infant Care,,,Open211 Miami - AIRS,Service
RM-6500,Outpatient Mental Health Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
FT-6900.2500,Guardianship Assistance,,,Open211 Miami - AIRS,Service
LF-7100.2500,General Physical Examinations,,,Open211 Miami - AIRS,Service
RD-6800.6500,Psychotherapy/Psychoanalysis,,,Open211 Miami - AIRS,Service
RF-2500,Group Counseling,,,Open211 Miami - AIRS,Modality/Delivery Format
RM-6500.6500,Private Therapy Practices,,,Open211 Miami - AIRS,Organization/Facility Type
PL-6400.1500-820,Summer Camps,,,Open211 Miami - AIRS,Service
DF-4500,Licensing/Certification/Accreditation,,,Open211 Miami - AIRS,Service
DD-1500,Consumer Complaints,,,Open211 Miami - AIRS,Service
ND-2000.1500-160,Career Counseling,,,Open211 Miami - AIRS,Service
HH-9000,Vocational Education,,,Open211 Miami - AIRS,Service
BH-8400.6000-060,Assisted Living Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
FP-0500.7800,Self Advocacy Support,,,Open211 Miami - AIRS,Modality/Delivery Format
LT-3400.0100,Adolescent/Adult Immunizations,,,Open211 Miami - AIRS,Service
LH-3500.5000,Medicare Information/Counseling,,,Open211 Miami - AIRS,Named Programs
PH-7000,Respite Care,,,Open211 Miami - AIRS,Service
BT-4500.4700-500,Local Bus Transit Services,,,Open211 Miami - AIRS,Service
BT-4500.6500-280,General Paratransit/Community Ride Programs,,,Open211 Miami - AIRS,Service
LT-3400.1500,Childhood Immunizations,,,Open211 Miami - AIRS,Service
FN-1500.1900-800,Spouse/Intimate Partner Abuse Prevention,,,Open211 Miami - AIRS,Service
PH-3300.3000,Homemaker Assistance,,,Open211 Miami - AIRS,Service
NL-6000.2000,Food Stamps/SNAP,,,Open211 Miami - AIRS,Named Programs
NS-8000,Social Health Insurance,,,Open211 Miami - AIRS,Service
PH-2950.8500-870,Thanksgiving Meals,,,Open211 Miami - AIRS,Service
LT-1750.0500,AIDS/HIV Clinics,,,Open211 Miami - AIRS,Service
LF-4900.2400,HIV Testing,,,Open211 Miami - AIRS,Service
LH-0500.0900-100,Blood Banks,,,Open211 Miami - AIRS,Organization/Facility Type
HH-4500,Literacy Programs,,,Open211 Miami - AIRS,Service
HD-1800,Early Childhood Education,,,Open211 Miami - AIRS,Service
HL-3010.6500,Parent/Family Involvement in Education,,,Open211 Miami - AIRS,Service
BM-6500.6500-650,Personal/Grooming Supplies,,,Open211 Miami - AIRS,Service
BD-5000.3500,Home Delivered Meals,,,Open211 Miami - AIRS,Service
HD-1800.6500,Preschools,,,Open211 Miami - AIRS,Organization/Facility Type
BT-4500.4700-800,Senior Center Bus Services,,,Open211 Miami - AIRS,Service
TQ-1800,Elections/Election Campaigns,,,Open211 Miami - AIRS,Service
PH-6200.4600,Life Skills Education,,,Open211 Miami - AIRS,Service
PH-1800.4600,Locator Aids,,,Open211 Miami - AIRS,Service
LF-7300.2000-260,Fetal Ultrasound,,,Open211 Miami - AIRS,Service
RP-1500.3300,In Person Crisis Intervention,,,Open211 Miami - AIRS,Service
LH-2700.6000-300,Healthy Eating Programs,,,Open211 Miami - AIRS,Service
HL-8120.7800-200,Free School Supplies,,,Open211 Miami - AIRS,Service
NL-5000.5000,Medicaid,,,Open211 Miami - AIRS,Named Programs
TB-0700.2200,Funding,,,Open211 Miami - AIRS,Service
PN-8100.0500,Addictions/Substance Use Disorder Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
PH-6500.0500-180,Elder/Dependent Adult Abuse Reporting,,,Open211 Miami - AIRS,Service
HD-1800.3000,Head Start,,,Open211 Miami - AIRS,Named Programs
DF-7000.1200,Birth Certificates,,,Open211 Miami - AIRS,Service
DF-7000.1700-300,Death Certificates,,,Open211 Miami - AIRS,Service
TI-1800.6700,Personal/Grooming Supplies Donation Programs,,,Open211 Miami - AIRS,Service
TD-1600.2600,Homelessness Advocacy Groups,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1500.1400-700,Runaway/Homeless Youth Helplines,,,Open211 Miami - AIRS,Service
HL-8120.8030,Student Health Programs,,,Open211 Miami - AIRS,Service
RP-1500.1400-180,Crisis Pregnancy Hotlines,,,Open211 Miami - AIRS,Service
RP-1500.1400-200,Domestic Violence Hotlines,,,Open211 Miami - AIRS,Service
RP-1500.1400-250,General Crisis Intervention Hotlines,,,Open211 Miami - AIRS,Service
RP-1500.1400-500,Mental Health Hotlines,,,Open211 Miami - AIRS,Service
RP-1500.1400-750,Sexual Assault Hotlines,,,Open211 Miami - AIRS,Service
DM-2000,Financial Management Workshops,,,Open211 Miami - AIRS,Service
RP-1400.2500,General Counseling Services,,,Open211 Miami - AIRS,Service
TH-2900.1700-160,Disaster Donations Hotlines,,,Open211 Miami - AIRS,Service
TI-1800.8100,School Supplies Donation Programs,,,Open211 Miami - AIRS,Service
RR-5150.5000-700,Runaway Prevention Programs,,,Open211 Miami - AIRS,Service
PH-2360.2400,Family Support Centers/Outreach,,,Open211 Miami - AIRS,Organization/Facility Type
BM-6500.1500-100,Baby Clothing,,,Open211 Miami - AIRS,Service
BD-1800.2000-640,Ongoing Emergency Food Assistance,,,Open211 Miami - AIRS,Service
DD-1500.4280-600,Nursing Facility Complaints,,,Open211 Miami - AIRS,Service
FF-1900,Ex-Offender Reentry Programs,,,Open211 Miami - AIRS,Service
J,Environment and Public Health/Safety,,,Open211 Miami - AIRS,Service
N,Income Support and Employment,,,Open211 Miami - AIRS,Service
BH-8400.6000-280,Group Residences for Adults With Disabilities,,,Open211 Miami - AIRS,Organization/Facility Type
PX-2300.8030,Street Outreach Volunteer Opportunities,,,Open211 Miami - AIRS,Service
JR-8200.6500-350,Infant and Child Safety Education,,,Open211 Miami - AIRS,Service
BM-6500.1500-250,General Clothing Provision,,,Open211 Miami - AIRS,Service
JD-1500.9600-960,Wildlife Rescue/Relocation,,,Open211 Miami - AIRS,Service
RP-1400.8000-250,Gambling Addiction Counseling/Treatment,,,Open211 Miami - AIRS,Service
PH-6100.3300,Home Based Parenting Education,,,Open211 Miami - AIRS,Service
PH-6100.1800-680,Prenatal/Postnatal Home Visitation Programs,,,Open211 Miami - AIRS,Service
HD-8200,School Districts,,,Open211 Miami - AIRS,Organization/Facility Type
FT-3000.1600,Child Support Assistance/Enforcement,,,Open211 Miami - AIRS,Service
FP-0500.3300,Individual Advocacy,,,Open211 Miami - AIRS,Modality/Delivery Format
BD-1800.8200-250,Formula/Baby Food,,,Open211 Miami - AIRS,Service
RP-1400.8000-020.18,Child Sexual Abuse Counseling,,,Open211 Miami - AIRS,Service
FN-1700.1300,Child Sexual Exploitation Reporting,,,Open211 Miami - AIRS,Service
ND-9000,Vocational Rehabilitation,,,Open211 Miami - AIRS,Service
NL-1000.8500,TANF,,,Open211 Miami - AIRS,Named Programs
PL-8700.2000,Field Trips/Excursions,,,Open211 Miami - AIRS,Service
PH-3300.3220,In Home Meal Preparation,,,Open211 Miami - AIRS,Service
TH-1500.1600,County Offices of Emergency Services,,,Open211 Miami - AIRS,Organization/Facility Type
LD-1700,Emergency Room Care,,,Open211 Miami - AIRS,Service
DM-6500,Personal Financial Counseling,,,Open211 Miami - AIRS,Service
LH-0600.5000-970.50,Manual Wheelchairs,,,Open211 Miami - AIRS,Service
PL-7000.5800,Martial Arts,,,Open211 Miami - AIRS,Service
PX-1800.1500-250,Suicide Prevention Volunteer Opportunities,,,Open211 Miami - AIRS,Service
PX-1800.1500-200,Information and Referral Volunteer Opportunities,,,Open211 Miami - AIRS,Service
PX-1800.1500-150,Helpline Volunteer Opportunities,,,Open211 Miami - AIRS,Service
PX-1800.1500-100,Crisis Intervention Volunteer Opportunities,,,Open211 Miami - AIRS,Service
HD-0500.1700,Disciplinary Alternative Education Programs,,,Open211 Miami - AIRS,Service
LH-6600,Pharmacies,,,Open211 Miami - AIRS,Organization/Facility Type
LV-6800,Pediatrics,,,Open211 Miami - AIRS,Service
LH-3500,Health Insurance Information/Counseling,,,Open211 Miami - AIRS,Service
LH-2700.9500-100,Community Wellness Programs,,,Open211 Miami - AIRS,Service
LH-0600.5000-950,Walking Aids,,,Open211 Miami - AIRS,Service
ND-6500.1500,Comprehensive Disability Related Employment Programs,,,Open211 Miami - AIRS,Service
LR-3100.1800-190,Developmental Disabilities Social/Recreational Programs,,,Open211 Miami - AIRS,Service
BH-8400.6000-840,Supported Living Services for Adults With Disabilities,,,Open211 Miami - AIRS,Service
BH-8400.6000-350,Intermediate Care Facilities for Individuals With Developmental Disabilities,,,Open211 Miami - AIRS,Organization/Facility Type
PX-7000.7000,Recreational Activities Volunteer Opportunities,,,Open211 Miami - AIRS,Service
PX-1850.4000-030,Advocacy/Ombudsman Volunteer Opportunities,,,Open211 Miami - AIRS,Service
BH-3900.3050-180,Elderly/Disabled Home Rental Listings,,,Open211 Miami - AIRS,Service
BH-7000.4600-450,Low Income/Subsidized Private Rental Housing,,,Open211 Miami - AIRS,Organization/Facility Type
PL-7000.5800-870,Tae Kwon Do,,,Open211 Miami - AIRS,Service
BT-4500.4500,Local Automobile Transportation,,,Open211 Miami - AIRS,Service
BT-4500.6500-170,Disability Related Transportation,,,Open211 Miami - AIRS,Service
DM-1800.2000,Mortgage Delinquency and Default Counseling,,,Open211 Miami - AIRS,Programs that provide assistance for people who are unable to ma
TD-1600.3100-160,Constitutional/Civil Rights Groups,,,Open211 Miami - AIRS,Organization/Facility Type
FT-1800,Discrimination Assistance,,,Open211 Miami - AIRS,Service
RP-5000.5000-050,Anxiety Disorders Screening,,,Open211 Miami - AIRS,Service
FT-3600.1500,Comprehensive Immigration/Naturalization Services,,,Open211 Miami - AIRS,Service
FN-1500.2560,Human Trafficking Prevention,,,Open211 Miami - AIRS,Service
LF-4900.2000,Eye Screening,,,Open211 Miami - AIRS,Service
LF-4900.2150,Hearing Screening,,,Open211 Miami - AIRS,Service
LF-4900.4500,Lead Poisoning Screening,,,Open211 Miami - AIRS,Service
LF-4900.8600,Tuberculosis Screening,,,Open211 Miami - AIRS,Service
LF-5280,General Laboratory Tests,,,Open211 Miami - AIRS,Service
PS-8200.5000-250,Glee Clubs/Choir Groups,,,Open211 Miami - AIRS,Organization/Facility Type
DM-1800.1700,Debt Consolidation Services,,,Open211 Miami - AIRS,Service
BH-3700.3000,Homebuyer/Home Purchase Counseling,,,Open211 Miami - AIRS,Service
RP-6400.8000-660.15,Clubhouse Model Psychiatric Rehabilitation,,,Open211 Miami - AIRS,Service
LH-6300.9500,Wish Foundations,,,Open211 Miami - AIRS,Organization/Facility Type
TJ-6500.6300,Outreach Programs,,,Open211 Miami - AIRS,Service
RP-1500,Crisis Intervention,,,Open211 Miami - AIRS,Service
LH-6700.6400,Prescription Drugs for Specific Health Conditions,,,Open211 Miami - AIRS,Service
RP-1400.8000-100,Bereavement Counseling,,,Open211 Miami - AIRS,Service
RP-5000,Mental Health Evaluation,,,Open211 Miami - AIRS,Service
RX-8450.1150,Comprehensive Outpatient Substance Use Disorder Treatment,,,Open211 Miami - AIRS,Service
RM-7000.0500,Adult Residential Treatment Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
TD-1100.1400,Community Action Agencies,,,Open211 Miami - AIRS,Organization/Facility Type
PH-1250.1700,Drop In Child Care,,,Open211 Miami - AIRS,Service
DD-1500.4150-450,Local Government Complaints/Ombudsman Offices,,,Open211 Miami - AIRS,Organization/Facility Type
FT-4950,Long Term Care Ombudsman Programs,,,Open211 Miami - AIRS,Service
PL-7400.1500,Computer and Related Technology Classes,,,Open211 Miami - AIRS,Service
BH-3800.7000,Rent Payment Assistance,,,Open211 Miami - AIRS,Service
LJ-8000.8500,Teen Pregnancy Prevention,,,Open211 Miami - AIRS,Service
BH-3500.3400-250,First Time Buyer Home Loans,,,Open211 Miami - AIRS,Service
LF-7000.1700,Developmental Assessment,,,Open211 Miami - AIRS,Service
PH-0300.0300,Adoption Counseling and Support,,,Open211 Miami - AIRS,Service
RP-5000.5000-260,General Mental Health Screening,,,Open211 Miami - AIRS,Service
RP-5000.6600,Psychosocial Evaluation,,,Open211 Miami - AIRS,Service
PH-7000.6000-060,Adult Out of Home Respite Care,,,Open211 Miami - AIRS,Service
PS-9800.1000,Boys/Girls Clubs,,,Open211 Miami - AIRS,Organization/Facility Type
FT-4200,Labor Relations,,,Open211 Miami - AIRS,Service
PH-1400.5000,Mentoring Programs,,,Open211 Miami - AIRS,Service
FC-8200,State Trial Courts,,,Open211 Miami - AIRS,Organization/Facility Type
TD-0300.8000,State Government Agencies/Departments,,,Open211 Miami - AIRS,Organization/Facility Type
FC-8200.1500,Civil State Trial Courts,,,Open211 Miami - AIRS,Organization/Facility Type
RM-3300.6500,Psychiatric Hospitals,,,Open211 Miami - AIRS,Organization/Facility Type
RP-6400.8000-600,Psychiatric Case Management,,,Open211 Miami - AIRS,Service
BH-3500.3400-300,Foreclosure Prevention Loan Modification/Refinancing Programs,,,Open211 Miami - AIRS,Service
FF-1500.3500,Juvenile Detention Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
BV-8900.9300,Utility Service Payment Assistance,,,Open211 Miami - AIRS,Service
RX-8450.3300-300,Inpatient Alcohol Use Disorder Treatment Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
TJ-4500.4500-750,Recordings for the Blind and Dyslexic,,,Open211 Miami - AIRS,Service
TJ-4500.8300-100,Braille Materials/Collections,,,Open211 Miami - AIRS,Service
TJ-4400.8100-180,Disability Related Libraries,,,Open211 Miami - AIRS,Organization/Facility Type
PH-6500.1500-600,Nondelinquent Juvenile Detention Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
ND-1500,Comprehensive Job Assistance Centers,,,Open211 Miami - AIRS,Organization/Facility Type
LF-7000,Pediatric Evaluation,,,Open211 Miami - AIRS,Service
LL-3000.7800,Specialty Hospitals,,,Open211 Miami - AIRS,Organization/Facility Type
RP-8000.6600,Play Therapy,,,Open211 Miami - AIRS,Service
PN-8100,Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
BV-8900.9300-180,Electric Service Payment Assistance,,,Open211 Miami - AIRS,Service
RX-8450.3300-350,Inpatient Drug Use Disorder Treatment Facilities,,,Open211 Miami - AIRS,Organization/Facility Type
RX-1700.1700-330,Inpatient Drug Detoxification,,,Open211 Miami - AIRS,Service
RX-1700.1700-500,Opioid Detoxification,,,Open211 Miami - AIRS,Service
RX-1700.1700-650,Outpatient Drug Detoxification,,,Open211 Miami - AIRS,Service
FC-8200.1550,Criminal State Trial Courts,,,Open211 Miami - AIRS,Organization/Facility Type
DF-7000.2270,Foreclosure Records,,,Open211 Miami - AIRS,Service
TC-1700,Drop In Centers,,,Open211 Miami - AIRS,Organization/Facility Type
FT-3500.1500,Citizenship and Immigration Services Offices,,,Open211 Miami - AIRS,Named Programs
LL-3000.9000,Veterans Affairs Medical Centers,,,Open211 Miami - AIRS,Organization/Facility Type
LH-6300.3650-600,Patient/Family Housing,,,Open211 Miami - AIRS,Organization/Facility Type
RX-8470.8100,Smoking Cessation Support,,,Open211 Miami - AIRS,Service
RX-8450.7900,Smoking Cessation,,,Open211 Miami - AIRS,Service
LH-2700.6000,Nutrition Education,,,Open211 Miami - AIRS,Service
RD-3000.6750,Psychosocial Therapy,,,Open211 Miami - AIRS,Service
LJ-5000.0900,Breast Pumps,,,Open211 Miami - AIRS,Service
JR-8200.3000-340,Indoor Home Safety Education,,,Open211 Miami - AIRS,Service
JR-8200.8500-160,Child Passenger Safety Seat Inspections,,,Open211 Miami - AIRS,Service
JR-8400.1500,Child Passenger Safety Seats,,,Open211 Miami - AIRS,Service
BM-3000.2000-100,Baby Furniture,,,Open211 Miami - AIRS,Service
BT-8300,Transportation Expense Assistance,,,Open211 Miami - AIRS,Service
LH-2700.2900,Health Fairs,,,Open211 Miami - AIRS,Service
BH-1800.1500-100,Domestic Violence Shelters,,,Open211 Miami - AIRS,Organization/Facility Type
FN-1500.9100-180,Domestic Violence Intervention Programs,,,Open211 Miami - AIRS,Service
BD-1800,Emergency Food,,,Open211 Miami - AIRS,Service
BM-6500.1500,Clothing,,,Open211 Miami - AIRS,Service
PN-8100.0200-180,Domestic Violence Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1400.8000-020.15,Child Abuse Counseling,,,Open211 Miami - AIRS,Service
FN-1500.1900-150,Child Abuse Prevention,,,Open211 Miami - AIRS,Service
PN-8100.0200-100,Child Abuse Support Groups,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1400.8000-020.80,Spouse/Intimate Partner Abuse Counseling,,,Open211 Miami - AIRS,Service
PH-1400.5000-100,Adult/Child Mentoring Programs,,,Open211 Miami - AIRS,Service
FF-0500.1800-300,Jail Diversion Programs for Mentally Ill Offenders,,,Open211 Miami - AIRS,Service
FC-8200.8100-900,Traffic Courts,,,Open211 Miami - AIRS,Organization/Facility Type
DT-8500.3300,Federal Tax Collection Agencies,,,Open211 Miami - AIRS,Organization/Facility Type
ND-3500.3700,Job Search Resource Centers,,,Open211 Miami - AIRS,Organization/Facility Type
TH-2900.1700-260,Disaster Related Goods Donations Management,,,Open211 Miami - AIRS,Service
RF-1500,Conjoint Counseling,,,Open211 Miami - AIRS,Modality/Delivery Format
PL-7400.5500,Music Instruction,,,Open211 Miami - AIRS,Service
RX-8470.8200,Substance Use Disorder Crisis Intervention,,,Open211 Miami - AIRS,Service
FN-1900.2500,General Crime Victim Assistance,,,Open211 Miami - AIRS,Service
DM-1500.1640,Credit Reporting Agencies,,,Open211 Miami - AIRS,Organization/Facility Type
FT-4800,Lawyer Referral Services,,,Open211 Miami - AIRS,Service
BH-1800.3500,Homeless Drop In Centers,,,Open211 Miami - AIRS,Organization/Facility Type
FC-8200.8100-170,Drug Courts,,,Open211 Miami - AIRS,Organization/Facility Type
RP-1500.1400-300,Human Trafficking Hotlines,,,Open211 Miami - AIRS,Service
TJ-3200.5000,Medical Information Lines,,,Open211 Miami - AIRS,Service
RP-1400.8000-500,Marriage Counseling,,,Open211 Miami - AIRS,Service
TJ-4500,Library Services,,,Open211 Miami - AIRS,Service
BD-5000.8300,Soup Kitchens,,,Open211 Miami - AIRS,Organization/Facility Type
