"service_recordid","service_name","service_alternate_name","service_organization","service_description","service_locations","service_url","service_email","service_status","access_requirement","service_taxonomy","service_application_process","service_wait_time","service_fees","service_accreditations","service_licenses","service_phones","service_schedule","service_contacts","service_details","service_address","service_metadata","service_program","service_code","SDOH_code","code_category_ids","procedure_grouping","service_tag","service_airs_taxonomy_x","flag","bookmark","service_language","service_interpretation","eligibility_description","minimum_age","maximum_age","service_alert"
"584221387739490","Senior StayCool","","1078800059400169","The Department of Aging and Community Living's Senior StayCool Program repairs or replaces window air conditioning unit(s) and inoperable heating, ventilating, and air conditioning (HVAC) centralized units for income-eligible seniors. How many Units allowed? In instances where a property owner does not have a cooling system in place, no more than two window air conditioning units may be installed depending on need. Who should apply? District residents, age 60 and over who are homeowners or renters of a property used as a primary residence, with an annual household income at or below 60% of Area Median Income (AMI)*.","818197734902999","https://dacl.dc.gov/service/senior-staycool","dacl@dc.gov","1","none","832401246252623,819562758416858","Call to apply.","","","","","<a href=""tel:711"">711</a>","","","","1193727390444096","","","","","","","","","","","","","","","",""
"586144902080222","Free Pregnancy Tests, Condoms, and Family Planning","","1329764475795847","Even at the very beginning of a pregnancy, your baby is developing fast, so it’s important to find out early on if you’re pregnant. Women can obtain a free pregnancy test by calling 1-800-MOM-BABY (1-800-666-2229) to find a location near them. Both men and women can receive free condoms and family planning counseling and referral by calling 1-800-666-2229. For information call 1-800-MOM-BABY (1-800-666-2229). Prospective and eligible parenting women and men also have an opportunity to participate in programs geared to educate and support their needs, including DC Healthy Start.","","https://dchealth.dc.gov/service/pregnancy-program","","1","none","1276982655382389,645461517765550,1167670310712474,591686322682243,1138294006521405","Call for more information.","","","","","<a href=""tel:711"">711</a>","","","","","","","","","","","","","","","","","","","",""
"590856913957665","Greentree Shelter (GTS)","","650479626662564","The Greentree Shelter (GTS) is the largest emergency family shelter in Maryland’s Montgomery County. GTS receives children and their parents facing sudden homelessness. Serving county residents since 1983, GTS annually provides 115 children and their parents the support needed to overcome homelessness with short-term stable housing, food, and the support systems necessary to regain their footing and rebuild their lives. To combat the long-lasting social and psychological impacts of homelessness on children, and NCCF utilizes a child-centered approach. GTS provides wraparound support through community partnerships and collaborations with over 300 volunteers annually to ensure families are enriched by opportunities to achieve their goals. During times of uncertainty, children are able to experience the joys of childhood through activities provided by volunteers. Our volunteers facilitate experiences such as pizza and movie nights, birthday parties, bowling nights. GTS also offers an onsite playground built by a group of dedicated volunteers. Moreover, GTS is the only shelter for homeless families in Montgomery County with an on-site structured childcare center and therapeutic child access capability. Families transition out of GTS with stable housing, enhanced self-esteem, improved and varied life skills, and healthier relationships, all of which help them to avoid becoming homeless again. Support services include counseling, parent education, life skills training, after-school tutoring, substance abuse education and prevention, GED classes, computer training, and employment assistance.","770924552273178","https://www.nccf-cares.org/family-services/","abarney@nccf-cares.org","1","none","1305774265925553,1134365017275504,982549491856586,629380122005095","Call or email for more information.","","","","","<a href=""tel:(301) 365-4480"">(301) 365-4480</a>&nbsp;&nbsp;ext. x126","","1255198861510574","","838488296850768","","","","","","","","","","","","","","","",""
"597275938978540","Social Services - Perry School","","635265662066015","Working as part of a comprehensive partnership, the social service programs work with clients to help them become more self-sufficient through adult and youth counseling, parenting and family strengthening, family-to-family mentoring, fatherhood initiative program, housing assistance, life skills and emergency assistance","624397784374194","https://www.perryschool.org/services","","1","none","893915418546777","Call or walk in.","","","","","<a href=""tel:(202) 312-7140"">(202) 312-7140</a>","","","","1181749991176525","","","","","","","","","","","","","","","",""
"603580181050118","Homeless Counseling Services","","1169767322641878","Services are offered to help people without a home locate affordable housing and avoid homelessness.","1231381914283530","http://housingetc.org/","","1","none","1305774265925553,899387596744807,1238748896910244,629380122005095,915117964681420","Call to schedule an appointment or find out when workshops are taking place.","","","","","<a href=""tel:(202) 667-7006"">(202) 667-7006</a>","853330798771573,789942774281908,833376815115699,1199810856302974","","828931086235381,1068551477933857,756892272238697,608334571472582","1311412862326621","","","","","","","","","","","","","","","",""
"610393181590401","Career Support","","965244460063048","Once you have graduated from Byte Back's courses, we can help you prepare your resumé, apply for jobs, and prepare for interviews.","557042258022055","https://byteback.org/career/","","1","none","832122112723102","You can seek out these services once you have completed your courses.","","","","","<a href=""tel:(866) 942-0143"">(866) 942-0143</a>","608382856907892","","","594041340982660","","","","","","","","","","","","","","","",""
"567687090092713","Energy Assistance Program","","1287549685614240","Life can sometimes throw unexpected challenges your way making it hard to keep up with the bills. Thanks to a grant from Pepco Holdings Inc. Community Foundation, our Energy Assistance Program allows us to help you pay a portion of your household’s heating and electric bill. To participate in the one-time emergency program, you must: Be a resident of Prince George’s County, Maryland Be unable to pay your utility bill because of documented financial hardship Be at risk of disconnection from your gas or electric service Have an annual household income (before taxes) below the federal poverty level. Please remember this program is meant to help you pay a portion of your household’s heating/electric bill, not the entire annual cost of heating your home. ","1333682431246536","https://www.maryscenter.org/social-services/referrals-and-resources/energy-assistance-program/","","","none","","To be considered for the Energy Assistance Program, you must call (202) 545-2024 to schedule an appointment. Appointments are held on Wednesdays at 2355 Ontario Road, NW Washington, DC 20009 and Fridays at 8908 Riggs Road, Adelphi, Maryland 20783 and last approximately 30 minutes. Applications are only accepted in person and by appointment. Mailed, faxed, or e-mailed paperwork WILL NOT be accepted. Applications will NOT be processed unless ALL information is provided. Incomplete applications will result in delay or denial. Please bring the documents listed below to your scheduled appointment. Required Documents Photo ID of applicant Proof of Identification for ALL members of your household (e.g. – social security card, birth certificate, driver’s license, or passport) Proof of Residency (e.g. – copy of mortgage, lease, or rental agreement) Gas/Electric Bill; Disconnection Notice (if applicable) Proof of Income for the ENTIRE Household (e.g. – employment paystubs, social security income, food stamps, unemployment, child support, disability, retirement, veterans’ benefits, survivors’ benefits, etc.) Proof of Hardship or Inability to Pay (e.g. employment termination letter, unemployment claim, medical bills, proof of loss of other income, OR budget showing insufficient funds) Letter explaining your emergency situation","","","","","<a href=""tel:(202) 545-2024"">(202) 545-2024</a>","1338861885601375,1338861885601376,1338861885601377,1338861885601378,1338861885601379,1338861885601380,1338861885601381,1338861885601382","","608334571472582,594068698094076,756892272238697,828931086235381,930201199186251,1177650052462670","1108677909528551,904876794525199","","","","","","","","","","","","","","","",""
"569553997851039","Home Repair Services","","667513392468817","Yachad provides free health and safety repairs to low-income homeowners living in Washington, DC and Prince George's County. Health and safety repairs addressed by Yachad include: minor roof repair, plumbing and electrical repairs, pest managment, drywall repair, broken appliance replacement, and accessibility services. We work on a limited number of homes each year. When considering applications, Yachad prioritizes multi-generational households and families with children.","843887752849047","http://yachad-dc.org","","","none","817592898756695,824666532982332","For more information and to apply for services please contact Yachad's office at 202-296-8563. Applications are completed in a telephone interview and take about 30 minutes to complete. Appointments are made in advance.","","","","","<a href=""tel:(202) 296-8563"">(202) 296-8563</a>","1338861885601165,1338861885601166,1338861885601167,1338861885601168,1338861885601169,1338861885601170,1338861885601171","","616318277327647,616318277327647","591926459523505","","","","","","","","","","","","","","","",""
"569658380553026","Radiology","","650527153533264","Offers x-ray and intervention procedures including: - MRI - CT - Micro-Dose Mammography - Ultrasound - X-ray - Fluoroscopy - Interventional Radiology","1154007819992809","https://www.unitedmedicaldc.com/services/radiology/","","1","none","1276982655382389","Call for more information.","","","","","<a href=""tel:(202) 574-6000"">(202) 574-6000</a>","561575698202080","","","1253142566681779","","","","","","","","","","","","","","","",""
"572649600558239","Financial Education Program","","818433220295218","CASA operates an integrated program of financial literacy, naturalization, and legal services. Studies show that integrated services work. While providing naturalization application assistance, civics courses, legal support, and English instruction, CASA provides clients with financial education on topics such as: Developing a household budget and establishing savings Buying a home Naturalization fees affordability Credit counseling CASA provides individual and group-based financial education and assistance that includes: Individual financial counseling Tax preparation assistance Workshops on issues such as obtaining identification documents, opening a bank account, writing a check, using a debit card, debt analysis, financial planning, and obtaining and improving one’s credit score.. Access to micro-loans and fee waiver applications for immigration processes. We are proud to count on a number of partners who help community members cope with their financial needs. Some of those partners are:","1078875042301972","https://wearecasa.org/programs/financial-literacy/","","1","none","899387596744807","Call to join the program.","","","","","<a href=""tel:(866) 765-2272"">(866) 765-2272</a>","809271860001006","","","1271364189985979","","","","","","","","","","","","","","","",""
"572554560594709","Food Pantry - Hughes Memorial UMC","","618821526959273","We give away free groceries every 2nd Saturday from 11:00 am - 1:00 pm.","1056414203994963","http://www.hughesmemorial.org/ministries.aspx","","1","none","630013980013392","Sign-up is required. Call the church office (202-398-3411) to sign-up.","","","","","<a href=""tel:(202) 398-3411"">(202) 398-3411</a>","","","","1106991030101545","","","","","","","","","","","","","","","",""
"576738057093594","Community Resources","","973627436997143","A guide to community resources by type and as downloadable PDF resources are available for LGBTQ community, a cross-reference is also available through the alphabetical directory of LGBTQ organizations.","1132814241177816","https://lgbtq.dc.gov/service/community-resources","","1","none","893915418546777","Walk in or download from the website.","","","","","<a href=""tel:(202) 727-5931"">(202) 727-5931</a>","1291691688879158","","","583943994142484","","","","","","","","","","","","","","","",""
"583988896816188","Food Bank - Damien Ministries","","757749510901012","The Food Bank program is often the client's first introduction to our organization, whether it's through a referral from another agency or word of mouth spread from peers who have accessed our services in the past. Clients come in once a month to receive enough groceries to last up to 10 days (2 meals a day). This helps alleviate some of the financial burden clients struggle under trying to afford basic necessities like rent and food for their families on top of their medical bills and other expenses.","967842377045809","http://www.damienministries.org/","","1","none","630013980013392","Call to apply.","","","","","<a href=""tel:(202) 526-3020"">(202) 526-3020</a>","937332900634998","","","614116603807238","","","","","","","","","","","","","","","",""
"594606264685919","Wellness Recovery Action Program","","1148831835061989","A peer led self-advocacy program designed to promote peer support and develop a tool-box for building resilience. These groups offer adult and adolescent peers.","1214902198182923,1060230665027262","http://hillcrest-dc.org/services/children-services/","info@hillcrest-dc.org","1","none","1276982655382389,874406320909098,1091485627676359","Call or walk-in for services.","","","","","<a href=""tel:(202) 232-6100"">(202) 232-6100</a>","","","","886665393820928,641281670998932","","","","","","","","","","","","","","","",""
"601404732528535","School Garden Markets","","769307542856582","Schools partner with one of three non profit food hubs (the Common Market, Community Foodworks, and Dreaming Out Loud).","","https://www.dcgreens.org/school-garden-markets","","1","none","630013980013392","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606430121530643","Comprehensive Psychiatric Emergency Program/Homeless Outreach Program","","1315578558618439","The Comprehensive Psychiatric Emergency Program is a twenty-four hour/seven day a week operation that provides emergency psychiatric services and extended observation beds for individuals 18 years of age and older. The Homeless Outreach Program (HOP) has been rolled into CPEP and provides a variety of services and supports adults and families who are homeless. Its primary purpose is to provide outreach to homeless individuals and families with needed mental health services. HOP also provides consultation and training to the provider network most closely involved with the homeless population.","1140130619656796","https://dbh.dc.gov/service/emergency-psychiatric-services","","1","none","1075517820799112,893915418546777","Services can be accessed by telephone or in person.","","","","","<a href=""tel:(202) 673-9319"">(202) 673-9319</a>","1116189860596908","","","865953449064835","","","","","","","","","","","","","","","",""
"617717048691003","Housing Law","","790090664353865","Keeping families in safe, affordable housing is at the core of our housing law practice. Our housing law attorneys understand the importance of getting our clients effective and timely relief in matters such as eviction, housing code violations, the termination of housing subsidies, and the preservation of affordable housing. We represent clients in eviction cases in the Landlord and Tenant Branch of D.C. Superior Court and in administrative hearings to preserve housing subsidies and challenge unlawful rent increases. Legal Aid housing law attorneys also assist clients living with deplorable housing conditions by representing them in affirmative suits to obtain repairs. Recognizing the acute need for tenant representation in D.C. Superior Court, we established the Landlord Tenant Court-Based Legal Services Project in 2007 to provide legal assistance to tenants at the courthouse. In 2010, we also advocated for the creation of the Housing Conditions Calendar, designed to help tenants living in poor housing conditions bring repair claims to court. In 2015, Legal Aid, in collaboration with Bread for the City, Legal Counsel for the Elderly, and the D.C. Bar Pro Bono Center, launched the Housing Right to Counsel Project, which aims over the long term to offer a guarantee of representation to tenants in subsidized housing who are facing eviction and the associated risk of losing an invaluable housing subsidy and entering into long-term homelessness. In addition to individual representation, our housing law unit works to identify cases that could have a broad-based impact and to engage in advocacy on issues that affect a group of tenants or the operations of government agencies and the Court.","816235551756131,1284378916833442","https://www.legalaiddc.org/housing-law/","","","none","841905613386238,779743205099707,1139839930624727,1238748896910244,996413864069591,625977127820194","You can apply online, utilize walk-in intake hours, or call (202) 628-1161 for more information.","","","","","<a href=""tel:202-727-2132"">202-727-2132</a>&nbsp;(Fax)","1338861885602630,1338861885602631,1338861885602632,1338861885602633,1338861885602634,1338861885602635,1338861885602636,1338861885602776","","","1218467427350381,584258227889674","","","","","","","","","","","","","","","",""
"618510425235763","Ward 8 Drug Free Coalition","","1012774856380370","The mission of the Ward 8 Drug Free Coalition is to develop and implement comprehensive community-based activities designed to provide youth with positive alternative life choices. The coalition engages Ward 8 youth, ages 11-17, in year-round programming designed to reduce alcohol, marijuana, tobacco, and synthetic drug use among youth through community engagement and peer intervention.","1078276338322764","http://www.fsfsc.org/copy-of-family-services","","1","none","1276982655382389,1091485627676359","Call for more information.","","","","","<a href=""tel:(202) 889-1425"">(202) 889-1425</a>","645627628352377,1194392879452676","","","1185229150152167","","","","","","","","","","","","","","","",""
"564257031952303","Chronic Disease Management","","1203024767725850","We help you manage your health, so that you can lead a healthy lifestyle. Personalized health goals and care plans Access to a care coordinator to assist with education and specialty care appointments Assistance with overcoming transportation, language, medication/supplies and other barriers to getting the care you need Group care and referrals for support to manage stress and change We teach you about disease prevention, healthy lifestyles and other self-care activities.","","https://www.communityofhopedc.org/healthcare/wellness-programs","","1","none","1276982655382389","Call to make an appointment. We accept many health insurances and offer a sliding fee scale and payment plans. A comprehensive list of insurances we accept is available on our website.","","","","","<a href=""tel:(202) 213- 1622"">(202) 213- 1622</a>","","","","","","","","","","","","","","","","","","","",""
"581474108798219","Sustainable Housing Assistance Rental Program (SHARP)","","1169767322641878","The Sustainable Housing Assistance Rental Program provides temporary financial support with the goal of increasing housing stability and improving health for people living with HIV/AIDS. SHARP will provide assistance to individuals with high rent burden, defined as those paying more than 40% of monthly gross income on rent. The program will provide eligible households with a flat rate subsidy equal to 40% of the current HUD Fair Market Rent (FMR) of the county of residence per month to help client pay rent. SHARP intends to reduce rent burdens, incentivize household savings, and address individual barriers to ensure future housing stability among participants.","1231381914283530","http://housingetc.org/sustainable-housing-assistance-rental-program/","","1","none","1125729387706168,849037910727477","Who is Eligible? HIV+ DC eligible metro area resident Must be employed Not currently living in subsidized housing Current rental ledger with no outstanding balance for those who are housed Income must be at or below 500% of federal poverty line Current rent must be greater than 40% of households’ monthly gross income. Click Here to download a SHARP application: http://housingetc.org/wp-content/uploads/2019/02/SHARP-Brochure-2.5.19.pdf Please complete and submit the SHARP Application with all supporting documentation. Eligible applicants will be invited to meet with an HCS case manager to further evaluate appropriateness for SHARP. There are a limited number of openings and the application period will be closed once the program is filled. SHARP will not maintain a waiting list. For more information regarding the SHARP Program, please contact Housing Counseling Services at (202) 667-2681","","","","","<a href=""tel:(202) 667-2681"">(202) 667-2681</a>","","","","1311412862326621","","","","","","","","","","","","","","","",""
"580060602461538","PrEP Program for HIV Prevention","","1281888937730435","The PrEP Clinic at Andromeda offers comprehensive sexual health services, including pre-exposure prophylaxis or PrEP, to persons at risk for HIV/AIDS. The PrEP Clinic was created to provide the DC metropolitan population with easy access to healthcare providers who support the utilization of PrEP for HIV prevention. The PrEP Clinic is housed at Andromeda, a non-profit health services organization that has been in operation for more than 48 years. Andromeda provides HIV/AIDS treatment services, substance use treatment, primary care and mental health services, nutrition counseling, and health promotion and education. Andromeda is a multicultural organization that understands and supports the needs of all persons, including: LGBT persons, substance users, sex workers, and immigrant populations. Our staff will work with you to address your needs and develop strategies to support your health.","783704808784700","https://andromedahealth.org/our-services/prep-program-for-hiv-prevention/","","1","none","1276982655382389","Call for appointment","","","","","<a href=""tel:(202) 291-4707"">(202) 291-4707</a>","1078713175270884","","","1339220331835131","","","","","","","","","","","","","","","",""
"585243045568447","RECOVER","","949759665008692","Our RECOVER Program at the Office of the Chief Medical Examiner enables Wendt Center clinicians to provide crisis response, emotional support, education and referral services to adults who must identify their deceased loved one. Our clinical staff continues to check in with families several weeks following the homicide to see how they are doing. This support is especially valuable to people suffering a homicide-related death.","851341569805212,1270081732081180","https://www.wendtcenter.org/hopes-crime-victim-services/","shandel@wendtcenter.org","1","none","","To become a client, please call: 202.204.5021","","","","","<a href=""tel:(202) 204-5008"">(202) 204-5008</a>","840625194332248","","","921726586005599,1071169939843667","","","","","","","","","","","","","","","",""
"585745505232672","Center for Autism Spectrum Disorders","","1121342754860910","The Center for Autism Spectrum Disorders (CASD) is a multidisciplinary team comprised of pediatric autism specialists, including clinical psychologists, neuropsychologists, child and adolescent psychiatrists, developmental pediatricians, social workers and speech/language pathologists. These experts work together to provide the best possible care for autistic youth, and lead research to understand the underpinnings of autism and effective approaches to maximize autistic youth outcomes. The Region’s Largest Autism Program CASD is the largest multidisciplinary pediatric autism program in the Washington, D.C., region. Our specialists understand the unique needs of children as their brains and bodies develop. We offer: Evidence-based clinical care. Our experts lead national research studies on ASD with the goal of advancing assessment and treatment options. By studying autism’s genetic, neurocognitive, behavioral and social factors, we can identify and apply the most effective treatments for your child. Education, support and advocacy. We provide the latest information about ASD to everyone from families and patients to school personnel, physicians and agencies. Resources include seminars, workshops, the CASD Chat newsletter, training and consultations. Sign up to be added to our CASD Chat newsletter mailing list. You can also view details about upcoming Executive Function and Social Skills groups. We collaborate with the following departments/specialties: Developmental pediatrics Developmental/clinical psychology Genetics Gender and gender identity development Neurology Neuropsychology Psychiatry Speech and language pathology CASD's mission is to excel in care, advocacy, research and education. We accomplish this by: Providing a quality health care experience for our patients and families through a coordinated program of state-of the-art clinical services Improving health outcomes for children regionally, nationally and internationally by educating the next generation of clinicians in best practices for autism evaluation, diagnosis and treatment Creating innovative solutions to pediatric health challenges by conducting research that includes and reflects the neuro-diverse population we serve Embracing neurodiversity and welcoming autistic individuals as collaborators, research trainees, students and staff members CASD works every day to optimize trajectories for autistic youth with the goal of successful transition into adulthood. Our Stakeholder Advisory Board, comprised of parents whose children have received assistance from CASD, provides recommendations to CASD faculty and staff to improve care, research, education and advocacy efforts.","950665445636496,1091301498101680,815051886893035,1168148392185022","https://childrensnational.org/departments/center-for-neuroscience-and-behavioral-medicine/programs-and-services/center-for-autism-spectrum-disorders","","1","none","1276982655382389,847186792894551,1091485627676359","Call or visit website to make an appointment or refer a patient. If you are interested in participating in one of our research studies, call 301-765-5425.","","","","","<a href=""tel:(301) 765-5425"">(301) 765-5425</a>","1114579254252936,818792039457879,601270892533450,957234329170799","","","808918445165876,730523059624038,687699147533037,910588942573711","","","","","","","","","","","","","","","",""
"588450653794139","Home Instruction for Parents of Preschool Youngsters","HIPPY","635265662066015","The achievement gap appears well before children enter kindergarten. Children who begin school having missed critical early learning opportunities are already at risk for failure in school. Home Instruction for Parents of Preschool Youngsters (HIPPY), an evidenced-based early learning program, addresses these issues by supporting parents in their critical role as their child’s first and most influential teachers. In the HIPPY model, peer home visitors deliver 30 weeks of high quality school readiness curriculum directly to parents who then work with their own three, four, and five year-old children. Using the HIPPY books and curriculum, parents spend one-on-one time each day reading books with their children and teaching them school readiness skills. HIPPY helps parents empower themselves as their children's first teacher by giving them the tools, skills and confidence they need to work with their children in the home. The program was designed to bring families, organizations and communities together and remove any barriers to participation that may include limited financial resources or lack of education.","624397784374194","https://www.perryschool.org/youth-development","","1","none","976566727118378,1118011435663674","Call or walk in.","","","","","<a href=""tel:(202) 312-7140"">(202) 312-7140</a>","852404376044455","","","1181749991176525","","","","","","","","","","","","","","","",""
