"Action","Ledger ID","SDOH Code","SDOH Code Domain","SDOH Code Resource","SDOH Code Description","SDOH Code Type","Rating","Service","Organization","Timestamp"
"Updated","12","G-16","3","Goal","Housing has been remediated","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","13","G-10","3","Goal","Housing meets occupancy standards","Gravity","2","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","14","G-11","3","Goal","Housing meets standards for internal environmental hazards","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","15","161036002","3","Goal","Housing adequate (finding)","SNOMED CT US","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","16","G-8","3","Goal","Housing meets standards for safety equipment","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","17","G-3","3","Goal","Housing meets standards for pests","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:20:35"
"Updated","18","None","7","Procedure","Assistance with application","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","19","None","3","Procedure","Assessment","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","20","IS-83","7","Procedure","Assistance with application to rental assistance","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","21","IS-7","3","Procedure","Assessment of progress toward goals to achieve adequate housing","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","22","IS-9","3","Procedure","Assessment of barriers in inadequate housing care plan","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","23","IS-8","3","Procedure","Assessment of goals to achieve adequate housing","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","24","N/A","3","Procedure","Assessment of housing status","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","25","N/A","3","Procedure","Assessment of familial role (caregivers, dependents, spouse, etc.)","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","26","N/A","3","Procedure","Assessment of urgency of need (in crisis, in danger, emergency)","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","27","N/A","3","Procedure","Assessment of income","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","28","N/A","3","Procedure","Assessment of household size","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","29","N/A","3","Procedure","Assessment for housing inadequacy","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","30","N/A","3","Procedure","Assessment of health insurance status","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","31","N/A","3","Procedure","Assessment of language skills","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","32","N/A","3","Procedure","Assessment of race or ethnicity","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","33","N/A","3","Procedure","Assessment of employment status","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","34","N/A","3","Procedure","Assessment of gender","CRISPeR","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:26:00"
"Updated","35","None","7","Procedure","Evaluation of eligibility","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","36","None","3","Procedure","Coordination","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","37","None","3","Procedure","Counseling","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","38","None","3","Procedure","Education","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","39","None","3","Procedure","Evaluation of eligibility","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","40","IS-64","7","Procedure","Evaluation of eligibility for rental assistance","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Removed","41","","3","Procedure","Coordination of resources to address inadequate housing","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","42","N/A","3","Procedure","Counseling about legal rights","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","43","IS-13","3","Procedure","Counseling for barriers to achieving adequate housing","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","44","IS-69","3","Procedure","Education about medical legal partnership","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","45","IS-68","3","Procedure","Education about Legal Aid","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","46","N/A","3","Procedure","Evaluation of eligibility for legal aid programs","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","47","IS-28","3","Procedure","Evaluation of eligibility for Homelessness Prevention program","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:28:19"
"Updated","48","None","3","Procedure","Provision","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:48"
"Updated","49","None","3","Procedure","Referral","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:48"
"Updated","50","N/A","3","Procedure","Provision of medical-legal partnership assistance","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:49"
"Updated","51","N/A","3","Procedure","Provision of legal aid","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:49"
"Updated","52","IS-82","3","Procedure","Referral to Legal Aid","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:49"
"Updated","53","IS-63","3","Procedure","Referral to tenants rights organization","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:49"
"Updated","54","464001000124109","3","Procedure","Referral to case manager (procedure)","SNOMED CT US","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:49"
"Updated","55","IS-42","3","Procedure","Referral to Home repair program","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 16:30:49"
"Added","56","None","3","Procedure","Assessment","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","57","None","3","Procedure","Assistance with application","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","58","None","3","Procedure","Coordination","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","59","None","3","Procedure","Counseling","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","60","None","3","Procedure","Education","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","61","None","3","Procedure","Evaluation of eligibility","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","62","None","3","Procedure","Provision","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","63","None","3","Procedure","Referral","Gravity Grouping","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","64","Z59.023","3","Condition","Harsh/ poor living conditions (mold, inadequate living conditions, pending construction etc.)","ICD-10-CM","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","65","D-10","3","Condition","Substandard housing due to lack of adequate plumbing","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","66","Z59.1","3","Condition","Inadequate housing","ICD-10-CM","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","67","G-6","3","Goal","Housing meets standards for temperature control","Gravity","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","68","G-13","3","Goal","Housing meets standards for structural sufficiency","Gravity","1","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","69","G-7","3","Goal","Housing meets standards for food storage and preparation","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","70","G-14","3","Goal","Housing meets inhabitants’ functional needs","Gravity","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","71","G-12","3","Goal","Housing meets standards for asbestos","Gravity","1","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","72","G-15","3","Goal","Housing without risk of code violation","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","73","G-5","3","Goal","Housing meets standards for lead","Gravity","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","74","G-16","3","Goal","Housing has been remediated","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","75","G-10","3","Goal","Housing meets occupancy standards","Gravity","1","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","76","G-11","3","Goal","Housing meets standards for internal environmental hazards","Gravity","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","77","161036002","3","Goal","Housing adequate (finding)","SNOMED CT US","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","78","G-8","3","Goal","Housing meets standards for safety equipment","Gravity","2","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","79","G-4","3","Goal","Housing meets standards for mold","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","80","G-3","3","Goal","Housing meets standards for pests","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","81","IS-7","3","Procedure","Assessment of progress toward goals to achieve adequate housing","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","82","IS-8","3","Procedure","Assessment of goals to achieve adequate housing","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","83","N/A","3","Procedure","Assessment of health status","CRISPeR","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","84","N/A","3","Procedure","Assessment of housing status","CRISPeR","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","85","N/A","3","Procedure","Assessment of familial role (caregivers, dependents, spouse, etc.)","CRISPeR","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","86","N/A","3","Procedure","Assessment of income","CRISPeR","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","87","N/A","3","Procedure","Assessment for housing inadequacy","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","88","N/A","3","Procedure","Assessment of health insurance status","CRISPeR","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","89","N/A","3","Procedure","Assessment of race or ethnicity","CRISPeR","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","90","IS-35","3","Procedure","Assistance with application for Weatherization programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","91","IS-43","3","Procedure","Assistance with application for Home repair program","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","92","IS-31","3","Procedure","Assistance with application for Home improvement/repair loan and grant programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","93","","3","Procedure","Coordination of resources to address inadequate housing","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","94","IS-13","3","Procedure","Counseling for barriers to achieving adequate housing","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","95","","3","Procedure","Counseling for barriers to engagement in housing inadequacy care plan","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","96","N/A","3","Procedure","Counseling about housing","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","97","N/A","3","Procedure","Education about home repair and maintenance","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","98","IS-40","3","Procedure","Education about home repair programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","99","N/A","3","Procedure","Education about abatement","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","100","IS-32","3","Procedure","Education about Weatherization programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","101","N/A","3","Procedure","Education about community resource assistance","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","102","IS-28","3","Procedure","Education about Home improvement/repair loan and grant programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","103","IS-29","3","Procedure","Evaluation of eligibility for Home improvement/repair loan and grant programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","104","IS-33","3","Procedure","Evaluation of eligibility for Weatherization programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","105","IS-41","3","Procedure","Evaluation of eligibility for Home repair program","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","106","N/A","3","Procedure","Provision of community resource assistance","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","107","N/A","3","Procedure","Provision of weatherization","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","108","N/A","3","Procedure","Provision of legal aid","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","109","N/A","3","Procedure","Provision of home repair and maintenance","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","110","N/A","3","Procedure","Provision of abatement","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","111","N/A","3","Procedure","Provision of home improvement/repair loans or grants","Unknown","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","112","IS-82","3","Procedure","Referral to Legal Aid","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","113","472151000124109","3","Procedure","Referral to medical legal partnership","SNOMED CT US","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","114","IS-30","3","Procedure","Referral to Home improvement/repair loan and grant programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","115","IS-42","3","Procedure","Referral to Weatherization programs","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","116","IS-42","3","Procedure","Referral to Home repair program","Gravity","3","Home Repair Services","Yachad","2021-11-09 16:59:31"
"Added","117","None","3","Procedure","Assistance with application","Gravity Grouping","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","118","D-17","3","Condition","Substandard housing, at risk of code violation","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","119","N/A","3","Procedure","Assessment of legal needs","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","120","IS-1","3","Procedure","Assessment of progress toward goals to achieve adequate housing","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","121","N/A","3","Procedure","Assistance with application for legal aid","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","122","N/A","3","Procedure","Education about medical-legal partnerships","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","123","N/A","3","Procedure","Education about community resource assistance","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","124","N/A","3","Procedure","Provision of benefit enrollment assistance","Unknown","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","125","IS-30","3","Procedure","Referral to Home improvement/repair loan and grant programs","Gravity","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","126","308440001","3","Procedure","Referral to social worker (procedure)","SNOMED CT US","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Added","127","462481000124102","3","Procedure","Referral to Community Action Agency program (procedure)","SNOMED CT US","3","Healthy Together Medical-Legal Partnership","Children's Law Center","2021-11-09 17:19:03"
"Updated","128","Z59.023","3","Condition","Harsh/ poor living conditions (mold, inadequate living conditions, pending construction etc.)","ICD-10-CM","2","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 12:59:10"
"Updated","129","Z59.1","3","Condition","Inadequate housing","ICD-10-CM","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 12:59:10"
"Updated","130","None","3","Procedure","Assessment","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","131","None","3","Procedure","Assistance with application","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","132","None","3","Procedure","Coordination","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","133","None","3","Procedure","Education","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","134","IS-7","3","Procedure","Assessment of progress toward goals to achieve adequate housing","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","135","IS-9","3","Procedure","Assessment of barriers in inadequate housing care plan","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","136","IS-8","3","Procedure","Assessment of goals to achieve adequate housing","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","137","N/A","3","Procedure","Assessment of housing status","CRISPeR","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","138","N/A","3","Procedure","Assessment for housing inadequacy","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","139","IS-35","3","Procedure","Assistance with application for Weatherization programs","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","140","N/A","3","Procedure","Assistance with application for a Benefit Enrollment Assistance Program","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","141","N/A","3","Procedure","Assistance with application for legal aid","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Removed","142","","3","Procedure","Coordination of resources to address inadequate housing","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","143","N/A","3","Procedure","Education about home repair and maintenance","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","144","IS-40","3","Procedure","Education about home repair programs","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","145","IS-68","3","Procedure","Education about Legal Aid","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","146","N/A","3","Procedure","Education about abatement","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","147","IS-32","3","Procedure","Education about Weatherization programs","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","148","N/A","3","Procedure","Education about community resource assistance","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:02"
"Updated","149","IS-28","3","Procedure","Education about Home improvement/repair loan and grant programs","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:03"
"Updated","150","IS-36","3","Procedure","Education about Environmental Hazard Testing program","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:21:03"
"Added","151","None","3","Procedure","Evaluation of eligibility","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","152","None","3","Procedure","Provision","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","153","None","3","Procedure","Referral","Gravity Grouping","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","154","IS-33","3","Procedure","Evaluation of eligibility for Weatherization programs","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","155","IS-41","3","Procedure","Evaluation of eligibility for Home repair program","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","156","N/A","3","Procedure","Provision of environmental hazard testing","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","157","N/A","3","Procedure","Provision of community resource assistance","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","158","N/A","3","Procedure","Provision of weatherization","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","159","N/A","3","Procedure","Provision of legal aid","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","160","N/A","3","Procedure","Provision of home repair and maintenance","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","161","N/A","3","Procedure","Provision of abatement","Unknown","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","162","471131000124107","3","Procedure","Referral to Area Agency on Aging","SNOMED CT US","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","163","472151000124109","3","Procedure","Referral to medical legal partnership","SNOMED CT US","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","164","IS-30","3","Procedure","Referral to Home improvement/repair loan and grant programs","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","165","IS-63","3","Procedure","Referral to tenants rights organization","Gravity","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Added","166","462491000124104","3","Procedure","Referral to benefits enrollment assistance program (procedure)","SNOMED CT US","3","Asthma home visiting & remediation","Green and Healthy Homes Initiative","2021-11-10 13:25:30"
"Updated","167","None","5","Procedure","Counseling","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","168","Z59.43","5","Condition","Lack of safe drinking water or inadequate supply of drinking water","ICD-10-CM","1","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","169","Z59.423","5","Condition","Severe food insecurity (""The stage in the food insecurity spectrum best characterized by effects on food quantity"")","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","170","Z59.422","5","Condition","Moderate food insecurity (""The stage in the food insecurity spectrum best characterized by effects on food quality and variety and safety"")","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","171","Z91.1","5","Condition","Patient’s noncompliance with medical treatment and regimen","ICD-10-CM","1","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Removed","172","","5","Condition","Lack of adequate food, inadequate food, or lack of food","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","173","733423003","5","Condition","Food insecurity (finding)","SNOMED CT US","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","174","Z59.429","5","Condition","Food insecurity, unspecified and in need of referral","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","175","Z59.421","5","Condition","Mild food insecurity (""The stage in the food insecurity spectrum best characterized by uncertainty and worry about adequate food resources and effects on cultural acceptability"")","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","176","Z91.11","5","Condition","Patient's noncompliance with dietary regimen","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","177","Z91.110","5","Condition","Patient’s noncompliance with dietary regimen due to financial hardship","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","178","Z91.118","5","Condition","Patient’s noncompliance with dietary regimen due to other reason","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","179","Z91.119","5","Condition","Patient’s noncompliance with dietary regimen due to unspecified reason","ICD-10-CM","2","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Removed","180","","5","Procedure","Specified nutrition or medical counseling","Unknown","3","Produce Rx","DC Greens","2021-11-10 18:26:57"
"Updated","181","None","5","Procedure","Assessment","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 19:00:00"
"Updated","182","None","5","Procedure","Assistance with application","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 19:00:00"
"Updated","183","None","5","Procedure","Coordination","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 19:00:00"
"Updated","184","None","5","Procedure","Education","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 19:00:00"
"Updated","185","None","5","Procedure","Evaluation of eligibility","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 19:00:00"
"Updated","186","None","5","Procedure","Provision","Gravity Grouping","3","Produce Rx","DC Greens","2021-11-10 19:00:00"
"Updated","187","1078229009","5","Goal","Food security (finding)","SNOMED CT US","2","Produce Rx","DC Greens","2021-11-10 19:00:00"
