"SDOH Category","Resource","Resource Element","Code System","Code","Description","Grouping","Definition","Is Panel Code","Is Multiselect"
"Inadequate Housing","Goal","Goal.description","Gravity","G-14","Housing meets inhabitants’ functional needs","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-15","Housing without risk of code violation","","","",""
"Inadequate Housing","Goal","Goal.description","Gravity","G-16","Housing has been remediated","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.8101","Past due on rent or mortgage","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.811","Housing instability, housed, with risk of homelessness","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.81101","Imminent risk of homelessness","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.812","Housing instability, housed, homelessness in past 12 months","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.819","Housing instability, housed unspecified","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.00","Homelessness unspecified","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.01","Sheltered homelessness","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.011","Doubled up","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.012","Living in a shelter such as: motel, temporary or transitional living situation, scattered site housing","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.02","Unsheltered homelessness","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.021","Residing in place not meant for human habitation such as: cars, parks, sidewalk, abandoned buildings","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.022","Residing on the street","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.023","Harsh/ poor living conditions (mold, inadequate living conditions, pending construction etc.)","","","",""
"Housing Instability/Homelessness","Condition","Condition.code","ICD-10-CM","Z59.91","Worried about losing housing","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-1","Access permanent housing","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-2","Housing security","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-3","Access housing resources","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-4","Access shelter","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-5","Access supportive service to maintain housing","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-6","Access temporary housing","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-7","Safe sleeping","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-8","Stabilize housing","","","",""
"Housing Instability/Homelessness","Goal","Goal.description","Gravity","G-9","Stay as I am","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.1","Change of job","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.2","Threat of job loss","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.3","Stressful work schedule","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.4","Discord with boss and workmates","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.5","Uncongenial work environment","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.6","Other physical and mental strain related to work","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.82","Military deployment status","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.83","Unemployed and seeking work","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.84","Unemployed but not seeking work","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.86","Employed full time","","","",""
"Employment Status","Condition","Condition.code","ICD-10-CM","Z56.9","Unspecified problems related to employment","","","",""
"Employment Status","Goal","Goal.description","Gravity","G-1","Employed","","","",""
"Employment Status","Goal","Goal.description","Gravity","G-2","Has unemployment benefits","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-3","Substandard housing","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-4","Substandard housing due to infestation","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-5","Substandard housing due to mold","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-6","Substandard housing due to lead","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-7","Substandard housing due to poor temperature control","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-8","Substandard housing due to inability to store or prepare food","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-9","Substandard housing due to lack of safety equipment (smoke/CO detectors)","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-10","Substandard housing due to lack of adequate plumbing","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-11","Substandard housing due to overcrowding","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-12","Substandard housing due to internal environmental hazard","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-13","Substandard housing due to asbestos","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-15","Substandard housing due to structural insufficiency","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-16","Substandard housing, does not meet inhabitants functional needs","","","",""
"Inadequate Housing","Condition","Condition.code","Gravity","D-17","Substandard housing, at risk of code violation","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.821","Excessive transportation time","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.822","Inaccessible transportation","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.823","Inadequate transportation","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.824","Lack of transportation","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.825","Unaffordable transportation","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.826","Unreliable transportation","","","",""
"Transportation Insecurity","Condition","Condition.code","ICD-10-CM","Z59.827","Unsafe transportation","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-5","Transportation insecurity, inability to access health appointments","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-6","Transportation insecurity, inability to access food","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-7","Transportation insecurity, available transportation does not meet an individual's functional and cognitive (social/psychosocial) needs","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-8","Transportation insecurity, excessive time spent traveling","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-9","Transportation insecurity, inability to access safe shelter","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-10","Transportation insecurity, inability to access safe housing","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-11","Transportation insecurity, no current driver's license","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-12","Transportation insecurity, no access to personal vehicle","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-13","Transportation insecurity, residence or destination not served by public transportaton","","","",""
"Transportation Insecurity","Condition","Condition.code","Gravity","D-14","Transportation insecurity, unsafe transportation environment","","","",""
"Transportation Insecurity","Goal","Goal.description","Gravity","G-1","Transportation security, able to access health and social needs","","","",""
"Transportation Insecurity","Goal","Goal.description","Gravity","G-2","Transportation security, transportation meets individual’s functional and cognitive needs","","","",""
"Transportation Insecurity","Goal","Goal.description","Gravity","G-3","Transportation security, “reasonable” travel time","","","",""
"Transportation Insecurity","Goal","Goal.description","Gravity","G-4","Transportation security, affordable transportation","","","",""
"Transportation Insecurity","Goal","Goal.description","Gravity","G-5","Transportation security, adequate transportation options","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.61","Unable to pay for prescriptions","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.62","Unable to pay for utilities","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.63","Unable to pay for medical care","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.64","Unable to pay for transportation for medical appointments or prescriptions","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.65","Unable to pay for phone","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.66","Unable to pay for adequate clothing","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.67","Unable to find or pay for child care","","","",""
"Financial Insecurity","Condition","Condition.code","ICD-10-CM","Z59.69","Unable to pay for other needed items","","","",""
"Financial Insecurity","Condition","Condition.code","Gravity","D-1","Financial insecurity","","","",""
"Financial Insecurity","Condition","Condition.code","Gravity","D-2","Financial Insecurity due to medical cost burden","","","",""
"Financial Insecurity","Condition","Condition.code","Gravity","D-3","Financial insecurity due to debt","","","",""
"Financial Insecurity","Condition","Condition.code","Gravity","D-4","Financial insecurity due to bankruptcy","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-1","Material hardship","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-2","Unable to obtain adult dependent care","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-3","Unable to obtain adult dependent care due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-4","Unable to obtain childcare","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-5","Unable to obtain childcare due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-6","Unable to obtain phone","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-7","Unable to obtain phone due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-8","Unable to obtain internet","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-9","Unable to obtain internet due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-10","Unable to obtain heat","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-11","Unable to obtain heat due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-12","Unable to obtain home cooling","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-13","Unable to obtain cooling due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-14","Unable to obtain electricity","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-15","Unable to obtain electricity due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-16","Unable to obtain adequate clothing","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-17","Unable to obtain adequate clothing due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-19","Unable to obtain medicine due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-20","Unable to obtain phone connection due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-23","Unable to obtain utilities","","","",""
"Material Hardship","Condition","Condition.code","Gravity","D-24","Unable to obtain utilities due to limited financial resources","","","",""
"Material Hardship","Condition","Condition.code","ICD-10-CM","Z91.90","Patient’s noncompliance with other medical treatment and regimen due to financial hardship","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford childcare","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford phone","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford internet","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford heat","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford cooling","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford electricity","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford adequate clothing","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to afford dependent adult care","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain childcare","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain phone'","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain internet","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain heat","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain cooling","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain electricity","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain adequate clothing","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain medicine","","","",""
"Material Hardship","Goal","Goal.description","Unknown","N/A","Able to obtain dependent adult care","","","",""
"Stress","Condition","Condition.code","Gravity","D-13","High stress as identified by Perceived Stress Scale","","","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","82589-3","Highest level of education","","","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","63504-5","What is the highest grade or level of school you have completed or the highest degree you have received [NHANES]","","","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","63056-6","PhenX - current educational attainment protocol 011001","","Yes","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","96445-2","Would like help to get a GED Caregiver","","","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","96446-0","High school degree Caregiver","","","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","96447-8","WE CARE Survey [WE CARE] Caregiver","","Yes","",""
"Educational Attainment","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15564-0","High school graduate","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15618-4","12th grade, no diploma","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15617-6","11th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15616-8","10th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15614-3","8th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15612-7","6th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15619-2","GED or equivalent","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15610-1","4th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA12461-2","Master’s degree (e.g., MA, MS, MEng, MEd, MSW, MBA)","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15609-3","3rd grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15608-5","2nd grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15607-7","1st grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15606-9","Never attended/kindergarten only","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15611-9","5th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA12688-0","Don't know","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA31439-5","Maybe Later","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA30122-8","I choose not to answer this question","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA30193-9","More than high school","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15622-6","Associate degree: academic program","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA30191-3","Less than high school degree","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15620-0","Some college, no degree","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA4389-8","Refused","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15626-7","Doctoral degree (example: PhD, EdD)","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15625-9","Professional school degree (example: MD, DDS, DVM, JD)","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15613-5","7th grade","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA12460-4","Bachelor’s degree (e.g., BA, AB, BS)","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15621-8","Associate degree: occupational, technical, or vocational program","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA30192-1","High school diploma or GED","","","",""
"Educational Attainment","ObservationSR","Observation.value","LOINC","LA15615-0","9th grade","","","",""
"Employment Status","Condition","Condition.code","SNOMED CT US","741062008","Not in labor force (finding)","","","",""
"Employment Status","Condition","Condition.code","SNOMED CT US","160899000","Recently unemployed (finding)","","","",""
"Employment Status","Condition","Condition.code","SNOMED CT US","160900005","Chronic unemployment (finding)","","","",""
"Employment Status","Condition","Condition.code","SNOMED CT US","73438004","Unemployed (finding)","","","",""
"Employment Status","Condition","Condition.code.coding","ICD-10-CM","Z56.0","Unemployment, unspecified","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","67875-5","Employment status - current","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","89564-9","Employment Status (CUBS)","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","93674-0","Do you need help finding a better job [WellRx]","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","93673-2","Are you unemployed or without regular income [WellRx]","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","96443-7","Would like help finding employment AndOr job training Caregiver","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","68505-7","Current occupational status [SAMHSA]","","","",""
"Employment Status","ObservationSR","Observation.code","LOINC","89556-5","Comprehensive Universal Behavior Health Screen [CUBS]","","Yes","",""
"Employment Status","ObservationSR","Observation.code","LOINC","93667-4","WellRx Questionnaire - revised","","Yes","",""
"Employment Status","ObservationSR","Observation.code","LOINC","96447-8","WE CARE Survey [WE CARE] Caregiver","","Yes","",""
"Employment Status","ObservationSR","Observation.code","LOINC","67868-0","End Stage Renal Disease (ESRD) Medical Evidence Report, Medicare Entitlement AndOr Patient Registration - OMB CMS form 2728","","Yes","",""
"Employment Status","ObservationSR","Observation.code","LOINC","68899-4","Core behavioral and psychosocial data elements for the electronic health record [SAMHSA]","","Yes","",""
"Employment Status","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Employment Status","ObservationSR","Observation.code","LOINC","96444-5","Has a job Caregiver","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA30122-8","I choose not to answer the question","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17990-5","Employed","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17956-6","Unemployed","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA30138-4","Part-time or Temporary Work","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA30137-6","Otherwise unemployed but not seeking work (ex: student, retired, disabled, unpaid primary care giver)","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA29208-8","I do not have a job","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA29207-0","I'm temporary, part-time, or seasonal with inadequate pay and no benefits","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA29206-2","I'm employed full time with inadequate pay and few or no benefits","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA29205-4","I'm employed full time with adequate pay and benefits","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA29204-7","I maintain permanent employment with adequate income and benefits","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA30136-8","Full-time work","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17959-0","Homemaker","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17962-4","Medical leave of absence","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17961-6","Retired due to disability","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17991-3","Retired","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA31439-5","Maybe later","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA15276-1","Student","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17960-8","Retired due to age/preference","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17994-7","Disabled","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17992-1","Part-time","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17993-9","Full-time","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA46-8","Other","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17957-4","Employed full time","","","",""
"Employment Status","ObservationSR","Observation.value","LOINC","LA17958-2","Employed part time","","","",""
"Financial Insecurity","Goal","Goal.description","SNOMED CT US","224165005","Financially secure (finding)","","","",""
"Financial Insecurity","ObservationSR","Observation.code","LOINC","97023-6","Accountable health communities (AHC) health-related social needs (HRSN) supplemental questions","","Yes","",""
"Financial Insecurity","ObservationSR","Observation.code","LOINC","76513-1","How hard is it for you to pay for the very basics like food, housing, medical care, and heating","","","",""
"Financial Insecurity","ObservationSR","Observation.code","LOINC","96753-9","Would like help with paying heating AndOr electricity bill Caregiver","","","",""
"Financial Insecurity","ObservationSR","Observation.code","LOINC","96447-8","WE CARE Survey [WE CARE] Caregiver","","Yes","",""
"Financial Insecurity","ObservationSR","Observation.code","LOINC","96436-1","Trouble paying heating bill AndOr electricity bill Caregiver","","","",""
"Financial Insecurity","ObservationSR","Observation.value","LOINC","LA15832-1","Very hard","","","",""
"Financial Insecurity","ObservationSR","Observation.value","LOINC","LA22683-9","Somewhat hard","","","",""
"Financial Insecurity","ObservationSR","Observation.value","LOINC","LA31980-8","Not hard at all","","","",""
"Financial Insecurity","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Financial Insecurity","ObservationSR","Observation.value","LOINC","LA31439-5","Maybe Later","","","",""
"Financial Insecurity","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Food Insecurity","Condition","Condition.code","SNOMED CT","445271000124104","Nutrition impaired due to limited access to nutrition related supplies (finding)","","","",""
"Food Insecurity","Condition","Condition.code","SNOMED CT","706875005","Insufficient food supply (finding)","","","",""
"Food Insecurity","Condition","Condition.code","SNOMED CT","445281000124101","Nutrition impaired due to limited access to healthful foods (finding)","","","",""
"Food Insecurity","Condition","Condition.code","SNOMED CT","129832003","Noncompliance with dietary regimen (finding)","","","",""
"Food Insecurity","Condition","Condition.code","SNOMED CT","733423003","Food insecurity (finding)","","","",""
"Food Insecurity","Condition","Condition.code.coding","ICD-10-CM","Z91.11","Patient's noncompliance with dietary regimen","","","",""
"Food Insecurity","Condition","Condition.code.coding","ICD-10-CM","Z59.4","Lack of adequate food and safe drinking water","","","",""
"Food Insecurity","Condition","Condition.code.coding","ICD-10-CM","E63.9","Nutritional deficiency, unspecified","","","",""
"Food Insecurity","Goal","Goal.description","SNOMED CT US","1078229009","Food security (finding)","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96582-2","During the last month how often were you not able to eat a balanced meal because your family didn't have enough money [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","95259-8","In the last 12 months, did any of the children ever skip meals because there wasn't enough money for food [U.S. FSS]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","95260-6","In the last 12 months, how often did any of the children skip meals because there wasn't enough money for food [U.S. FSS]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","95261-4","In the last 12 months, were the children ever hungry but you just couldn't afford more food [U.S. FSS]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","95262-2","In the last 12 months, did any of the children ever not eat for a whole day because there wasn't enough money for food [U.S. FSS] In the last 12Mo, did any of the children ever not eat for a whole day because there wasn't","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96585-5","During the last month did you worry that food at home would run out before your family got money to buy more [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","95258-0","In the last 12 months, my children were not eating enough because I just couldn't afford enough food [U.S. FSS]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96583-0","During the last month did your meals only include a few kinds of cheap foods because your family was running out of money to buy food [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","95254-9","In the last 12Mo, did you ever not eat for a whole day because there wasn't enough money for food [U.S. FSS]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96581-4","During the last month did you have to eat less because your family didn't have enough money to buy food [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96580-6","During the last month has the size of your meals been cut because your family didn't have enough money for food [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96579-8","During the last month did you have to skip a meal because your family didn't have enough money for food [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96584-8","During the last month did the food that your family bought run out, and you didn't have money to get more [U.S. FSS - Child]","","","",""
"Food Insecurity","ObservationSR","Observation.code","LOINC","96575-6","During the last month did you not eat for a whole day because your family didn't have enough money for food [U.S. FSS - Child]","","","",""
