service_recordid,service_name,service_alternate_name,service_organization,service_description,service_locations,service_url,service_email,service_status,access_requirement,service_taxonomy,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,service_phones,service_schedule,service_contacts,service_details,service_address,service_metadata,service_program,service_code,SDOH_code,code_category_ids,procedure_grouping,service_tag,service_airs_taxonomy_x,flag,bookmark
768069481383101,"Childbirth & Parenthood Education",,1115745782915962,"We are here to help you have the best possible birth experience. Sibley's Childbirth Education Department recommends that expectant parents take a class during the seventh month of pregnancy or earlier. It is best to register during your first trimester as classes fill up quickly. In general, class listings are posted 4 to 6 weeks in advance of the class date.",1021458214239224,https://www.hopkinsmedicine.org/about/community_health/sibley-memorial-hospital/childbirth-education/index.html,childbirth@jhmi.edu,1,none,976566727118378,"For inquiries related to childbirth classes, email childbirth@jhmi.edu.

Effective Thursday, March 12, until further notice, we have decided to cancel all community classes and events at Sibley out of an abundance of caution. We will continue to monitor the COVID-19 situation and look forward to resuming classes when we feel it is safe to do so. Please check Sibley.org and our Facebook page for ongoing updates.",,,,,,,,,606691178479516,,,,,,,,,,
786774420218226,"English Classes",,1287549685614240,"Free English Classes for DC Parents
DC parents can take advantage of free English classes through our trusted partner, Briya Public Charter School! Course details are below: 

All levels are welcome – beginner to advanced  
Adult students must live in DC and have a child/children ages 0-12. 
Parents and young children learn together; while parents learn English and other skills, young children attend the Briya early childhood program 
Program has open enrollment and weekly registrations throughout the year. 
Classes are Monday-Friday; morning session 9:00-11:30 am; afternoon session 12:30-3:00 pm 
To register, please  complete our online form  or call (202) 232-7777
You may bring your young children (up to age 5) to school with you ",1202618027693441,https://www.maryscenter.org/education/english-classes/,,1,none,"976566727118378,1118011435663674","All levels are welcome – beginner to advanced  
Adult students must live in DC and have a child/children ages 0-12. 
Parents and young children learn together; while parents learn English and other skills, young children attend the Briya early childhood program 
Program has open enrollment and weekly registrations throughout the year. 
Classes are Monday-Friday; morning session 9:00-11:30 am; afternoon session 12:30-3:00 pm 
To register, please  complete our online form  or call (202) 232-7777
You may bring your young children (up to age 5) to school with you ",,,,,765691996005770,,,,1108677909528551,,,,,,,,,,
743196443052437,"Recreation and Education",,879684021850075,"There are two fundamental ingredients when it comes to thinking about the best recipes to avoid diseases: one is to feel happy and accompanied and the second is to continue learning. All scientific studies refer to the need to continue using the mind to prevent diseases related to memory loss. And that's why at VIDA we offer all kinds of classes: embroidery, weaving, art, music, dance, zumba, English, Spanish, jewelry, computing, among other specific trainings. We believe that happiness is built with small daily illusions, and with personal satisfaction. And then we focus on reinforcing the self-esteem of participants. On the other hand, we believe that being with friends doing all these things helps a person to feel better. Being able to share with other older adults and have a place where they feel welcome is an essential element in the elderly. That is why VIDA offers, in addition to all its classes, a whole package of recreation and socialization activities, such as walks, birthday celebrations, parties, group dances, and other activities and festivities that vary weekly. In summary, among the Education activities that we carry out regularly are the following classes:

• English for Beginners
• Intermediate English
• Literacy is Spanish
• Computing
• Embroidery
• Tissue
• Jewelry
• Singing
• Art / Painting
• Dance / Zumba

Among the recreational activities are the following:
• Birthday celebrations every month
• Bingo several times a week
• Out of center walks
• Daily monitoring of vital signs
• Diabetes Monitoring
• Weekly Chronic Disease classes in the Elderly
• Drug Adhesion Monitoring
• Training on how to be regular with medications
• Reference to medical consultations if necessary
• Support to make appointments with your doctors","932502301190120,869647738071923",http://box2142.temp.domains/~vidasen1/recreation-education/,,1,none,"893915418546777,976566727118378,896905506493054,885604845315230,1212005456553071,742573749443370,819562758416858,1139839930624727,1238748896910244","Call to join the center.",,,,,"751061458384755751061458384755,","1338861885610319,1338861885610320,1338861885610321,1338861885610322,1338861885610323,1338861885610324,1338861885610325",,,"965942365087326,948986432487608",,,,,,,2,,,
755893450919058,"Savvy Caregiver Program: Empowering DC Caregivers",,1078800059400169,"The Department of Aging and Community Living Alzheimer’s Disease Supportive Services Program (ADSSP) is funded by the Administration for Community Living (ACL) and is operated by DACL throughout the city. The goal is to train the Senior Service Network (SSN) providers to identify DC residents living with Alzheimer’s Disease and Related Dementia (ADRD) and link them to culturally competent, person-centered home and community-based services and support (HCBS).
We are committed to delivering comprehensive home and community-based services through behavior symptom management and expert consultation for DC residents living with ADRD and their family caregivers. 

Multiple programs are offered, including Savvy Caregiver Program: Empowering DC Caregivers, CityWide Money Management, Dementia Navigators, and Club Memory.",818197734902999,https://dacl.dc.gov/service/alzheimer’s-disease-and-related-dementias,dacl@dc.gov,1,none,"913953119512423,819562758416858",,,,,,"767434507934353,791466840370210,826409137890041",,599277120211615,,1193727390444096,,,,,,,,,,
765859355729308,"Bell Power Scholars Academy",,901970914472025,"Each year thousands of children are plagued by learning loss at the close of Public Schools for the summer. With few activities, most of them experience a summer that will create an education barrier when they return to the classroom for the fall. The Y BELL Power Scholars Academy at YMCA of Metropolitan Washington offers a program that seeks to solve the achievement gap problem of our youth by providing vigorous academics and STEM activities five days a week for 6-8 weeks each summer.",,https://www.ymcadc.org/programs/child-care/bell-power-scholars-academy/,,1,none,"1228385258535588,976566727118378,1091485627676359",,,,,,1200804357675895,,,,,,,,,,,,,,
777147158438789,"Social Services - Vida",,879684021850075,"The participants of Vida Senior Centers are mostly first-generation Hispanics, who throughout their lives accumulated little pension and few social benefits, either because they were late to the United States or because their salaries were always low In any case, the majority of VIDA participants are below the poverty line. And being a poor older adult in Washington DC is a huge challenge, largely because of the price of rentals in the city. In addition, Hispanic older adults never knew about the social benefits offered by the federal or city government, and even when they know there is some benefit, it is difficult for them to apply for the benefit because they cannot read the documents that They explain the benefits, cannot fill out the forms, or do not know how to follow those procedures. To face this tangle of procedures, Vida has a Social Services Counselor. All participants of Vida Senior Centers receive help from our counselors to apply for affordable housing, transportation and social benefits for programs that benefit older adults. With regard to immigration procedures, VIDA not only helps participants to start and follow-up on their migration processes, but also offers a weekly “Citizenship Class” in which participants are prepared to take the Citizenship exam. We also connect them with the agencies that help them file their taxes and file legal procedures, if necessary. Likewise, VIDA is an official distributor of boxes of the Food Bank, and with this it helps to identify older adults at greater risk. So, in summary, when it comes to social services:

• Home Application Procedures
• Migratory processes
• Preparation for the Citizenship Exam
• Application for transportation benefits
• Legal and employment services
• Procedures for cell phone subsidy
• Tax return
• Contact them with adult service agencies","932502301190120,869647738071923",http://box2142.temp.domains/~vidasen1/social-services/,,1,none,"893915418546777,841905613386238","Call to join the center.",,,,,751061458384755,,,,"965942365087326,948986432487608",,,,,,,,,,
741287798283565,"Arts & Humanities",,901970914472025,"At the YMCA, members can explore and express their creative talents in a healthy and supportive environment for building new skills. Classes help children develop confidence and increased self-awareness as they participate in problem-solving, critical thinking and attention to detail. Activities include art, dance and creative movement.","1198692764026642,910674112866949,716573413368445",https://www.ymcadc.org/programs/sports-recreation/arts-humanities/,,1,none,"1276982655382389,976566727118378","Visit the website and select your YMCA for more information and to sign up for classes.",,,,,1200804357675895,,,,"602013012418112,758769305327957,1310277015717903",,,,,,,,,,
775374911143656,"Medical Assistant Job Training",,1287549685614240,"Train to be a Medical Assistant! Briya Public Charter School offers a Medical Assistant training program. The 12-15 month program prepares you for a career as a Registered Medical Assistant, working alongside doctors and nurses in clinics and hospitals.  

Throughout the course, you will gain hands-on practice with clinical lab skills such as drawing blood, giving injections, and taking blood pressure. You will also gain proficiency in administrative skills, including updating patient records and coding insurance forms. Briya offers the Medical Assistant Program in collaboration with Mary’s Center, providing students embedded learning opportunities with Mary’s Center nursing and medical assistant staff. 

Upon completion of the Medical Assistant training program, you will be prepared to take the national Registered Medical Assistant Exam and begin your new career! ",1202618027693441,https://www.maryscenter.org/education/job-training/medical-assistant/,,1,none,"976566727118378,1238748896910244","To qualify for the Medical Assistant training program, you must: 
Live in Washington, D.C. 
Have a high school diploma or GED 
Pass entrance exams in reading and math  
Program Details: 
Classes are held Monday-Thursday, 6:00-9:00 p.m., at Mary’s Center’s Georgia Avenue site 
The course lasts 12-15 months, including coursework (August through June) and externships and summer test prep sessions (July through August) 
One month of full-time clinic training at medical centers across the DC area is required 
Register for the course or call (202) 232-7777 for more information. 

Mary’s Center and Briya Public Charter School work together to provide health care, social services, and education for residents of D.C. ",,,,,765691996005770,,,"1156900773202016,782360081464895",1108677909528551,,,,,,,,,,
805290013325766,"Alternatives to Landlord/Tenant Court Project",,828308705468984," LCE’s Alternatives to Landlord/Tenant Court Project (Alternatives Project) combines social work, legal and volunteer coordination to help prevent eviction of D.C. elders.

Legal Assistance We Provide to Tenants and/or Tenant Associations
- Eviction defense: if you received a “Notice to Vacate” and or a court summons from your landlord for issues like breach of lease or non-payment of rent, we can help you defend against eviction;
- Rent control disputes: we help you get the correct rent level under rent control, by helping you file forms and filing, defending against, rent control related petitions;
- Government subsidies: we help you prevent loss of your housing subsidy, including filing required paperwork for Section 8 vouchers, public housing and site-based subsidized housing;
- Repairs: we advocate for your right to live in a safe, well-maintained apartment, and to a rent credit for enduring those conditions;
- Reasonable accommodations: if you have a disability and need an accommodation to live in your apartment more comfortably, we can advocate for your apartment to better meet your needs;
- Tenant Opportunity to Purchase Act: we work with tenants and tenants’ associations to help them exercise their right of first refusal of the purchase of their home, and to negotiate benefits in exchange for their right to purchase;
- Outreach and Education: we are glad to speak with community members about tenants’ rights and the rights of elderly tenants;
Policy advocacy to improve community responsiveness to elderly tenants, enhance affordable housing creation and preservation resources, and ensure accommodations for elderly tenants.

Social Work and Volunteer Assistance
- Assessment: of your full needs to ensure you are getting all of the services you need;
- Referrals: for services like meals, housekeeping and money management;
- Health care advocacy: we link tenants with medical service providers, home health care, and community social work referrals, for long-term health and case management;
- Volunteer coordination for tenants at risk of eviction for issues related to housekeeping or having too many possessions in the unit, we engage volunteers where appropriate;
- Counseling of clients who experience grief, loss and other mental health challenges to remaining housed.

We welcome referrals from community agencies, property managers and other community members, upon signs of eviction risks, like:
- A lapse in payment of rent
- Unpaid utilities
- Housekeeping or hoarding concerns; and/or
- Memory loss of the tenant that causes neglect of obligations that the tenant followed previously.",1183173298558849,https://www.aarp.org/legal-counsel-for-elderly/what-we-do/info-2017/alternatives-to-court.html?intcmp=AE-LCE-WWD-R1C1LL2,,1,none,"841905613386238,1305774265925553","Call for information",,,,,931173517724084,1153058029513279,,,814164678263538,,,,,7,,,,,
771415038083007,"Health for Heroes (Active Duty & Veterans)",,1287549685614240,"Mary’s Center is grateful for your service and we want to help you protect your health. We have been providing healthcare, education, and social services for over 30 years and are honored to offer high-quality care to the many active duty military members, veterans, and reservists in our community. When you visit Mary’s Center, you and your family can expect access to comprehensive care including:  

Medical services such as:
Annual physicals, check-ups, and immunizations 
Health screenings for chronic conditions (cancer screenings available based on your personal risk) 
Treatment and management of acute and chronic conditions 
Sick visits 
HIV prevention and care 
Infectious disease care
Cleanings and screenings 
Crowns and bridges 
Extractions, fillings, and sealants
Behavioral Health services such as:
Therapy for trauma, depression, anxiety, and other illnesses 
Psychiatric evaluations and care coordination 
Substance abuse treatment 
Early childhood behavioral health treatment 
We also offer a wide variety of family support services including: 
Home Visiting and Care Coordination 
Insurance enrollment assistance ","1202618027693441,953875575104132,1146850101014457",https://www.maryscenter.org/medical/other-specialties-and-services/health-for-heroes/,,1,none,"1276982655382389,594357854377389,895304866977482","Call to make an appointment. We accept most insurance plans including Medicaid and Medicare. If you don’t have health insurance, we’ll help you apply for public benefits or provide care at a discount. Comprehensive list of insurances are available on our website.",,,,,"1109152836345796,975713005890497,1249506930671270","1239905610045057,655172898058082,823973485555901,1184491209256204,892899945913453",,,"1108677909528551,904876794525199,948876011596931",,,,,,,,,,
793641507311678,"Self Defense",,901970914472025,"The YMCA’s various self-defense classes provide philosophy and physical conditioning with an emphasis on reflex development, timing, eye-hand coordination, balance and a sense of well-being. These classes provide a unique and challenging opportunity for individuals of all ages and capabilities to have fun while getting a great physical work-out.

Benefits of self-defense include:

Increased strength and flexibility
Self-confidence
Concentration,
Self-awareness & more!
Beginners are welcome.

","1198692764026642,910674112866949,716573413368445,882293888224112,577218861870418",https://www.ymcadc.org/programs/health-fitness/self-defense/,,1,none,"1276982655382389,976566727118378","Visit the website and select your YMCA for more information and to sign up for classes.",,,,,1200804357675895,,,,"602013012418112,758769305327957,1310277015717903,1111486004109298,623483554226574",,,,,,,,,,
