"id","name","service_id","location_id","service_at_location_id","weekday","valid_from","valid_to","opens","closes","dtstart","until","wkst","freq","interval","byday","byweekno","bymonthday","byyearday","description","opens_at","closes_at","schedule_holiday","schedule_closed","open_24_hours"
"623950388189085","Samaritan Ministry - Northwest DC","","1288638701381373","","Monday-Friday","","","9:00AM","1:00PM","","","","","","","","","","","","","","",""
"626094046542917","Family Health and Birth Center - Medical Hours - Saturday","573712074661708,1185359834982349","898004780647297","","Saturday","","","9:00AM","3:30PM","","","","","","","","","","","","","","",""
"632930369321470","Jubilee Jobs - Fridays","788377494442735,768548905888033","765146043026123,1239287635408868","","Friday","","","9:00AM","4:30PM","","","","","","","","","","","","","","",""
"653424694296950","Quality Trust","920689283541707,1316420247965579,970844412851977,1336452381281967,871879878241177,851263054981026","1250362245990206","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"654621153104425","Mamatoto Village - Sat","1006868535209989,704832527436297,800852356091403,837150649376459","1153279049261324","","Saturday","","","By appointment","","","","","","","","","","","","","","","",""
"666898376975159","Central American Resource Center - Civics-focused English Classes - Saturdays","766179643113383","","","Saturday","","","12:30PM","2:15PM","","","","","","Saturday","","","","","750","855","","",""
"614696573656674","Conway Health and Resource Center - Dental Hours - Mon - Fri","1225681361275050","1279229683648851","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"616006463002945","Welcome Center Psychiatric Clinic","603666914258436,660274006512095","1260258325512587","","Thursday","","","1:00PM","3:00PM","","","","","","","","","","","","","","",""
"630203412603496","Mary's Center - Petworth Health Center - WIC - Saturday","1210844998367589","1202618027693441","","Saturday","","","9:00AM","1:00PM","","","","","","","","","","","","","","",""
"638533785488314","Emergency Assistance/Food Pantry - St Anthony","1223973175827182","","","Monday, Wednesday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"680242563832707","Assumption Catholic Church Food Pantry & Clothing Closet","1011096322447568,958276513381633","","","Monday, Wednesday, Friday","","","9:00AM","12:00PM","","","","","","","","","","","","","","",""
"620291766917896","Family Health and Birth Center - Medical Hours - Tuesday","573712074661708,1185359834982349","898004780647297","","Tuesday","","","8:30AM","8:00PM","","","","","","","","","","","","","","",""
"635503777733530","Sasha Bruce Business Hours","810322998076695,1247609265512489,829979157869352,1262274366963110,1184021119607946,1200334283969211,1247087473794460,1071954080796084,1099406667463105,665741809852890,978396734879857,572309695509941,1161698203083101,838439633965089","","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"669449282537474","Sasha Bruce - 24 Hour Services","1252811207069395,828873851944462","","","Monday - Sunday","","","24 Hours","","","","","","","","","","","","","","","",""
"679977678057543","Legal Aid Society of DC - Big Chair - General Intake","617717048691003,973325735749516,1245717986328193,761788898992773","816235551756131","","Monday, Thursday","","","10:00AM","1:30PM","","","","","","","","","","","","","","",""
"633329365497284","Marvin Gaye Greening Center - Mon, Wed, Fri","1173093445425515,1258369939351491,595082261115094","890802848970199","","Monday, Wednesday, Friday","","","2:00PM","7:00PM","","","","","","","","","","","","","","",""
"645627628352377","Far Southeast Family Strengthening Collaborative - Mon, Wed, Fri","949725297401271,763106931954514,936906190018086,678336489867060,1102032278098336,1277554928342075,954270986825825,618510425235763","","","Monday, Wednesday, Friday","","","9:00AM","5:30PM","","","","","","","","","","","","","","",""
"683742989703803","Children's National Hospital - Main Business Hours","631582174906714,1330489680518823,583905742719734,890516898015838,1112712465466061,876118989495452,1095621090051578","","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"707222961236034","DC Center for Independent Living Office Hours","969104577757425,598047692449891,874713157662589,977353834463418,565370307901606,659435743428113,1231068953747206","1160077532191340,984407158340054","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"716681364934765","Elaine Ellis - MD - Second Saturday","1225681361275050,778121485505827,864041028832460,1134389546347902,891245636047663,953570402846759,1049005398980524","1020706673677182","","Second Saturday","","","9:15AM","2:00PM","","","","","","","","","","","","","","",""
"729001744285325","Community Connections - Main Hours","785169150627540,1092296589947000,606736767772085,1176207549830608,945829836126554,823785251815168,1099899521922388,1176655697971687,1206755076792649","","","Monday - Friday","","","8:00AM","5:00PM","","","","","","","","","","","","","","",""
"734106795425640","United Community - Main Office - Food Pantry - Tue & Thur","795565312115643","1245305987898697","","Tuesday & Thursday","","","3:00PM","7:30PM","","","","","","","","","","","","","","",""
"775152667986825","Goodwill of Washington DC - Donation Hours - Sunday","1293934201497994","","","Sunday","","","9:00AM","5:30PM","","","","","","","","","","","","","","",""
"744384107862803","Prince George’s Welcome Center","","1317058386900282","","Monday - Saturday","","","6:00AM","2:00PM","","","","","","","","","","","","","","",""
"748944234607245","A Wider Circle Mon-Sat","825698319066110,858728937671038","1134996153077734,1293661242956981","","Monday - Saturday","","","9:00AM","6:00PM","","","","","","","","","","","","","","",""
"769449908411381","Welcome Center Drop-in Hours - Wed-Thur Morning","643156433763559,650989691735486,1285828968189382,1107517105201722,876445692954802,1317372777897148,1311425782447298,992859209726369,1117231582416420,637799341696955","1260258325512587","","Wednesday - Thursday","","","8:30AM","11:30AM","","","","","","","","","","","","","","",""
"776216702247818","Barracks Row Drop-in Center","637799341696955","","","Monday - Friday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"783467139926780","Dupont Park SDA - Food Pantry + Clothing Closet - Third Thursday","1011096322447568,958276513381633","","","Third Thursday","","","9:30AM","12:00PM","","","","","","","","","","","","","","",""
"790093938428140","Food Distribution - Silver Spring United Methodist Church- Four Corners Campus","1291646983149791","590471402150942","","2nd and 4th Saturdays of every month","","","10:00AM","12:00PM","","","","","","","","","","","","","","",""
"735501940773749","Mary's Center - Petworth Health Center - Dental","819105625973846","1202618027693441","","Monday - Saturday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"739723620351724","Georgia Ave","1089414876670662,974973185011225,830345150121911,973083960423797","901594639817796","","Tuesday & Thursday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"748290900302660","Morning ESL","1233124771884739","1317058386900282,1078875042301972","","Monday - Thursday","","","9:00AM","11:00AM","","","","","","","","","","","","","","",""
"760495785936535","Bread for the City Health Care Monday, Tuesday, Thursday","1038206932789964","","","Mon, Tue, Thur","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"794404419664353","JSSA Rockville - Montrose - Tuesday","1249421918700941,943690370414778,1237618325820422,569171803920168,1330460837989046,822886605211738,609280054378490","603618233221428","","Tuesday","","","9:00AM","7:30PM","","","","","","","","","","","","","","",""
"763073354685929","City of Praise Celebrate Recovery","802059293903880","","","Friday","","","6:30PM","9:00PM","","","","","","","","","","","","","","",""
"763886287602693","Mom's Meals Corporate Office","900282135782367","901570423713957","","Monday - Friday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"773750990177849","N Street Village - Meals & Basic Needs - Mon - Fri","1125987342546107","","","Monday - Friday","","","7:00AM","4:00PM","","","","","","","","","","","","","","",""
"792309871921872","The Arc DC","619066407387390,803289389092544","","","Monday-Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"814818534568222","Southeast Site (Ward 8)","833282615728356","752192406551414","","Monday-Thursday","","","9:00AM","8:00PM","","","","","","","","","","","","","","",""
"756980785844446","Thrive DC - Computer Lab Employment Assistance","1201069695813904","","","Tuesday & Thursday","","","1:00PM","3:00PM","","","","","","","","","","","","","","",""
"770841165346555","Mary's Center - Senior Wellness Center","","1175190163226960","","Monday - Friday","","","8:30AM","4:30PM","","","","","","","","","","","","","","",""
"809673369078084","SHARE Food Network Office Hours","1279531428850596","541907027325035","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"811766209891725","Sacramento Neighborhood Center - Mon - Thur","636366666716828,712328327930380","1249100999590019","","Monday - Thursday","","","10:00AM","8:00PM","","","","","","","","","","","","","","",""
"821235535045622","JSSA Rockville - Montrose - Monday","1249421918700941,943690370414778,1237618325820422,569171803920168,1330460837989046,822886605211738,609280054378490","603618233221428","","Monday","","","9:00AM","8:00PM","","","","","","","","","","","","","","",""
"759323921239655","Woodbridge Welcome Center","640700715075294","943694322277545","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"776148315520828","McClendon Center - Core Services","1183846216660530,824258346211268,974276139813148","693037857857932","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"795939485351871","McClendon Center - Day Program","1081615978709955,1182824915404630","","","Monday - Friday","","","8:00AM","5:00PM","","","","","","","","","","","","","","",""
"794672877773370","Stoddard Baptist Global Care - Skilled Nursing Admissions","769155518616587","","","24-7","","","","","","","","","","","","","","","","","","",""
"804190451151504","Community Outreach & Development - Computer Lab","1144935558772710","","","Monday - Friday","","","9:00AM","4:30PM","","","","","","","","","","","","","","",""
"808899697483732","Community Outreach & Development - Senior Center","1169733605000890","","","Tuesday & Thursday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"818792039457879","Montgomery County Outpatient Center","1330489680518823,585745505232672,583905742719734,876118989495452,1135146593857359","1191500192034471,1091301498101680","","Monday - Friday","","","8:30AM","4:30PM","","","","","","","","","","","","","","",""
"823973485555901","Mary's Center - Adams Morgan DC - Medical Hours - Tuesday, Thursday","1135119642997578,927583086660595,778121485505827,1215666375374993,1222212212143407,771415038083007,1330210073954058,935391639326831","1146850101014457","","Tuesday, Thursday","","","8:00AM","8:00PM","","","","","","","","","","","","","","",""
"819553099705178","Mazique at 13th Street","1198461656471923,619066407387390","1295065323399805","","Monday-Friday","","","7:00AM","6:00PM","","","","","","","","","","","","","","",""
"773513666362665","LAYC - Safe Housing Drop-in Center - Drop-in Hours","1219445943923328,1242062893800378,990789256930274,1136409058298095,954262853935362","","","Monday - Friday","","","9:00AM","6:00PM","","","","","","","","","","","","","","",""
"786498631274459","Aim Hire","1095680012179849","674838894214197","","Tuesday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"792131142058130","Mary's Center - Fort Totten - Dental Hours","819105625973846","953875575104132","","Monday - Saturday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"805784205962349","Miriam's Kitchen - Morning Case Management Hours","631018985097612,1239257983465773","","","Monday - Friday","","","6:30AM","9:45AM","","","","","","","","","","","","","","",""
"805238896874501","Family Health and Birth Center - Medical Hours - Mon, Wed-Friday","573712074661708,1185359834982349","898004780647297","","Mon, Wed-Fri","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"807855242932890","Pine Ridge Community Center - Saturday","","750119883782411","","Saturday","","","8:30AM","4:30PM","","","","","","","","","","","","","","",""
"780584811718725","United Community - Early Learning Center","1133566646559856","909337693416412","","Monday - Friday","","","7:00AM","6:00PM","","","","","","","","","","","","","","",""
"809271860001006","Multicultural Center (MCC)","833348686999567,645620379335062,572649600558239","1078875042301972","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"819917967554750","Seabury - Home First Residences & Age-In-Place","","637684733149897","","Monday - Saturday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"836794649274732","Bread for the City Food Program Southeast Center - Friday","1193500689688597","839573866990556","","Friday","","","8:30AM","12:00PM","","","","","","","","","","","","","","",""
"838708297516494","ERFSC Friday","1236034161171034","","","Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"840555982869909","Virginia Williams Family Resource Center - Fri","991462076076973,739062573866794,605385202624201,1003036537750667,1107276468708862,643156433763559","584215858451001","","Friday","","","8:30AM","12:00PM","","","","","","","","","","","","","","",""
"841306876993894","McKenna's Wagon - 2nd and H St, NW","1298850689126022","1312052344982531","","Sunday - Saturday","","","5:15PM","5:45PM","","","","","","","","","","","","","","",""
"852463481927524","Goodwill of Washington DC - Retail - Mon-Sat","1293934201497994","1320760535782101","","Monday - Saturday","","","9:00AM","8:00PM","","","","","","","","","","","","","","",""
"789942774281908","Housing Counseling Services - Main Office - Wednesday","603580181050118,853929141214417,594569394092610","1231381914283530","","Wednesday","","","9:00AM","8:00PM","","","","","","","","","","","","","","",""
"795311233367949","Foggy Bottom Food Pantry","1243657038645919","","","2nd and 4th Saturdays of the month","","","10:00AM","12:00PM","","","","","","","","","","","","","","",""
"820929325093657","Kensington Clubs - Margaret Schweinhaut Senior Center","660686319121862,960770573404461","1318371479368083","","Monday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"840625194332248","Wendt Center Office Hours","635109381708667,592501622177001,784048807434548,585243045568447,1207508787914960,603541148832875,1287171138930601,543129663940995,821743187538963,1262777533509176,1272667351561003,1125858260716274,900958041480936,1308810783033235","","","Monday - Friday","","","10:00AM","6:00PM","","","","","","","","","","","","","","",""
"841481165710536","Food Distribution - Clifton Park Baptist Church","1291646983149791","774762987300374","","Wednesday","","","4:00PM","7:00PM","","","","","","","","","","","","","","",""
"845907903469171","UMC Primary Care - Sat","1135119642997578,658900524855990","","","Saturday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"847014211103465","HIPS - Drop In - Monday","822981725695134,808409696885770,604071251546446,1308810783033235","1179563747654780","","Monday","","","10:30AM","4:00PM","","","","","","","","","","","","","","",""
"852404376044455","Perry School Community Services Center","597273584134874,1194227911974076,588450653794139,1124936156339923,623211094881349,761729408560878","624397784374194","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"804653449380254","Legal Aid Society of DC - Main Office - General Intake - Thursday","617717048691003,973325735749516,1245717986328193,761788898992773","1284378916833442","","Thursday","","","12:30PM","4:00PM","","","","","","","","","","","","","","",""
"806054059389940","FLOC - Mon-Fri","1185563905796881,1217517912625492","","","Monday-Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"818335775241395","Welcome Center Health Clinic - Monday","603666914258436,660274006512095","1260258325512587","","Monday","","","1:00PM","4:00PM","","","","","","","","","","","","","","",""
"847652684340999","24 Hours","608162049269761,1280199390097891,927525077065562,1124712566709259,1154673214411715,856388971104613,586532932628487,762627227359602","","","Sunday-Saturday","","","24 Hours","","","","","","","","","","","","","","","",""
"853520486618153","Bread for the City Diaper Program","598893344627449","","","Tuesday and Thursday (Closed from 12:30PM-2:00PM)","","","10:00AM","4:30PM","","","","","","","","","","","","","","",""
"873084264435826","RAP Inc - Calvin Rolark - Mon - Fri","791536876977084,981268426186337,631018985097612,1095497824033311,1099503418949118","1333682431246522","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"861483017428291","Manna Food Center Main Office","795565312115643","852062736759123","","Monday-Friday","","","8:00AM","4:00PM","","","","","","","","","","","","","","",""
"866173867935651","Mary's Center - Petworth Health Center - Pharmacy","","1202618027693441","","Monday - Friday","","","8:30AM","6:30PM","","","","","","","","","","","","","","",""
"866398727497770","Adult Literary Resource Center","1173270438890110","","","Friday-Saturday","","","9:30AM","5:30PM","","","","","","Friday,Saturday","","","","","570","1050","","",""
"865407536869805","Bread for the City Clothing Program","870510285799257","","","Tuesday-Thursday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"876567513081111","HCS Ward 7 Housing Empowerment Center","","970983517110031","","Monday - Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"883702057588908","JSSA Rockville - Fallsgrove - Mon-Thur","1158805154331276,596509168605852,1224495074701354,1247441946122537,1189862050430597,842118695599527,1206515011255222,1249421918700941,956316316250592","803666590300951","","Monday-Thursday","","","9:00AM","9:00PM","","","","","","","","","","","","","","",""
"891494020506151","UMC Primary Care - Walk-in","1135119642997578,658900524855990","","","Monday-Friday","","","8:00AM","12:00PM","","","","","","","","","","","","","","",""
"833376815115699","VWFRC - Mon-Thur","603580181050118,781718626017793,1207720606469506","584215858451001","","Monday-Thursday","","","8:30AM","4:00PM","","","","","","","","","","","","","","",""
"848052825920285","American Job Center","947021731311865","1156298037800579","","Monday - Friday","","","8:30AM","4:30PM","","","","","","","","","","","","","","",""
"853330798771573","Housing Counseling Services - Main Office - Monday, Tuesday, Thursday, Friday","603580181050118,853929141214417,594569394092610","1231381914283530","","9:00AM","","","5:00PM","","","","","","","","","","","","","","","",""
"865015503247262","N Street Village - Meals & Basic Needs - Weekends","1125987342546107","","","Saturday - Sunday","","","9:00AM","4:00PM","","","","","","","","","","","","","","",""
"886800388621155","Southeast Site (Ward 8)","833282615728356","752192406551414","","Friday","","","9:00AM","4:00PM","","","","","","","","","","","","","","",""
"890790331313530","Food and Friends - Friday","905112130077089,748538600142879,1210844998367589","","","Friday","","","8:00AM","2:00PM","","","","","","","","","","","","","","",""
"894025747017234","HBP Walk-In Pregnancy Tests","875783576771374","","","Monday-Friday,monday,tuesday,wednesday,thursday,friday","","","9:30am","5:00pm","","","","","","","","","","","","","","",""
"892899945913453","Mary's Center - Petworth Health Center - Medical - Tuesday, Thursday, Friday, Saturday","1135119642997578,927583086660595,778121485505827,1215666375374993,1222212212143407,771415038083007,1330210073954058,935391639326831","1202618027693441","","Tuesday, Thursday, Friday, Saturday","","","8:00AM","6:00PM","","","","","","","","","","","","","","",""
"898084164708448","Miriam's Kitchen - Afternoon Case Management Hours","631018985097612,1239257983465773","","","Monday - Friday","","","2:30PM","5:45PM","","","","","","","","","","","","","","",""
"837524550064181","HIPS - Mobile Outreach - Thursday","1242580580751174","","","Thursday","","","10:00AM","4:00PM","","","","","","","","","","","","","","",""
"863228669156440","Everyone Home DC Shirley's Place Day Center - Tue","645639147901738,1311425782447298","","","Tuesday","","","8:00AM","3:00PM","","","","","","","","","","","","","","",""
"862295971867611","Goodwill of Washington DC - Career Center","911914210711611","1320760535782101","","Monday - Friday","","","8:30AM","5:00PM","","","","","","","","","","","","","","",""
"905877975589974","Miriam's Kitchen - Afternoon Office Hours","","1269099704638669","","Monday - Friday","","","2:30PM","5:45PM","","","","","","","","","","","","","","",""
"867644135900369","Ayuda North DC Office","","648965877017429","","Monday-Friday","","","9:00AM","5:00PM","","","","","","","","","","","","","","",""
"884492600107637","Mary's Center - Petworth Health Center - WIC - Mon - Fri","1210844998367589","1202618027693441","","Monday - Friday","","","8:00AM","5:00PM","","","","","","","","","","","","","","",""
"911518512626244","Kensington Clubs - Parklawn","660686319121862,960770573404461","918553319355477","","Monday - Friday","","","10:00AM","2:00PM","","","","","","","","","","","","","","",""
"862619048421510","Central American Resource Center - Citizenship Classes Saturday Afternoon","","","","","","","","","","","","","","","","","","","","","","",""
