id,phone_recordid,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
74,663123188337760,"1160077532191340,1207740090664609","969104577757425,598047692449891,1231068953747206,874713157662589,977353834463418,659435743428113,565370307901606",1058892834992313,,,"(202) 470-1534",,textphone,,,
75,675420096007694,,"818780778532753,1122591520560722,803823952910815",,908064822753039,,"(240) 242-4173",,voice,,,
76,680363538565742,1142441892698286,1226514003731413,619974574898067,,,"(202) 291-2160",,fax,,,
77,675750465096310,,"1214490568958133,963084111494175",1275858156254689,,,"(202) 397-1725",,voice,,,
78,679321518221542,,585745505232672,,,,"(301) 765-5425",,voice,,,
79,627977115724206,1091350492556485,1243657038645919,1297467042568288,,,"(202) 331-1495",,voice,,,
80,636390444955781,"623911698639626,1281917418518969","1063814078946036,963084111494175",1275858156254689,,,"(202) 529-8701",,voice,,"Ward 5 location",
81,644017795337557,541907027325035,1279531428850596,1189940866829310,,,"1 (800) 217-4273",,voice,,"Toll free",
82,649312469819850,,1103064722638793,,858131530402769,,"(202) 715-7627",,voice,,,
83,650240826325650,,762627227359602,,,,"(202) 248-2098",,voice,,"DHS Drop-in Center",
84,658416119153851,1171401871170354,761729408560878,1001381268835594,,,"(703) 444-7009",,voice,,"Ayuda VA office",
85,672725923890616,602400615052275,,1005694830501113,,,"(202) 465-8794",,voice,,"Office line",
86,688831321064033,,736771575912112,,,,"(202) 414-6316",,voice,,,
87,691800564621591,810077928064262,,,,,"(202) 541-6226",,voice,,,
88,646466081040521,1035196061179073,,,,,"(202) 727-1288",,voice,,,
89,647577480608718,1274660264568428,"968170375832858,899717824024978",1160038998115387,1148149098240458,,"(202) 830-3508",,voice,,"Woodley House Main Line",
90,659840012436311,,640700715075294,818433220295218,,,"(240) 560-2272",,voice,,"Citizenship Program",
91,668062653430088,1274248047601637,,818433220295218,,,"(410) 732-2694",,voice,,Employment,
92,664386058341457,,1154573023147130,,,,"1 (800) 784-8669",,voice,,,
93,670208940343738,602400615052275,,,,,"(202) 347-0130",,fax,,,
94,686053042718087,,"1343816429794125,1204854175620898,838936758542114",1311337308136967,948874398766161,,"(202) 319-2229",,voice,,,
95,686876711128986,910674112866949,,,,,"(301) 530-8500",,voice,,,
96,685475234090978,1129247879259176,,,,,"(202) 673-3223",,voice,,,
97,691608793849697,624397784374194,"597273584134874,1194227911974076,597275938978540,801918885732334,588450653794139",635265662066015,,,"(202) 312-7140",,voice,,,
98,696940363672558,1013981933889035,823996409566009,1087443224313487,,,"(202) 525-4855",,voice,,,
99,705994150910452,987580985223381,,,,,"(202) 282-0021",,voice,,,
100,706325857726632,1275795457873123,"1118129820102814,1214829481056623,927444702701934",1316999943437051,,,"(202) 373-0330",,voice,,"OIC/DC Training Center",
101,710503094777437,,,595267359680824,,,"(202) 678-1993",,voice,,,
102,712245272441801,557094579799532,,,,,"(202) 673-3215",,voice,,,
103,714043165270002,1117622155194782,647744623033900,,,,"(202) 727-2832",,voice,,,
104,724550152011114,,1233124771884739,818433220295218,1047619176767571,,"(240) 491-5750",,voice,,,
105,736956052139959,1255666996034353,"900938870720008,645639147901738",687390186581235,,,"(202) 544-3863",,fax,,"Everyone Home DC Shirley's Place Day Center",
106,738691625272988,796898419678236,"634163805498241,1191828341135162,915801395995557,843417621771816,997382439625145,827423614142820,998818821487302,617802974901710,1102573292657410,1005856083111610,1048725052232264",1077524447531259,,,"(202) 889-7900",,voice,,,
107,753303229827801,,1112712465466061,,,,"(202) 476-5544",,voice,,,
108,757515780067610,1219450960862351,,619974574898067,,,"(202) 547-8450",,voice,,,
109,760750230629906,,"920689283541707,871879878241177",,844061816898122,,"(202) 448-1455",,voice,,,
110,760850258908085,879688258127018,,786496092449135,,,"(202) 547-6175",,voice,,,
111,765691996005770,,"786774420218226,775374911143656,937541358474144",1287549685614240,,,"(202) 232-7777",,voice,,,
112,763123579248149,569762980024499,"643883051065479,1251282400091320,1300815691678453,634331653721930,739110335088609,1125189538542481,1262432728139962,859784781707721,919789306976808,1340874883349935,1117866913583560,1216919996503351,809925333569605,1281760748874328,768577653576222",1151840654132771,,,"(202) 832-4400",,voice,,,
113,775809905829984,,927357871286669,623807648086762,,,"(202) 423-0480",,voice,,,
114,723916233410324,1288442867873978,"957811011700764,1274090737385222,855485572088952",1235669446637932,904672901037838,,"(202) 562-3800",,voice,,,
115,718869495645604,789483190572876,,,,,"(202) 673-3220",,voice,,,
116,723557262248714,855494369304069,,966440815617344,,,"(202) 562-3653",,fax,,"Paramount Baptist Church",
117,733177886658199,,987823009683776,984055402205420,,,"(703) 792-3366",,voice,,,
118,737091514062920,990754403473385,,,,,"(301) 891-8000",,voice,,,
119,740585592968807,815051886893035,,,,,"(301) 297-4000",,voice,,,
120,751594641558024,1018253357347462,,,,,"(202) 673-3206",,voice,,,
121,750363040196300,625247779378848,"647876938997632,1346017134806581,614660449605719,1275024510435821,1228983284901807",811471160167819,,,"(703) 339-5161",,voice,,,
122,786636994934480,1190288283777701,,818433220295218,,,"(240) 491-5780",,voice,,Employment,
123,791776604694708,624908178427639,,1091742936273498,,,"(202) 673-3320",,voice,,"FEMS main office line",
124,793093506834133,,1094239887822670,,,,202.939.7630,,voice,,"Whitman Walker legal services line",
125,727788318770760,950665445636496,,,,,"(202) 895-3870",,fax,,,
126,739455623546590,1293267778021809,,909886281557711,,,"(202) 529-1767",,fax,,"CAFB fax",
127,753931414310292,1285677988970642,,,,,"(202) 673-3209",,voice,,,
128,757275073777446,1263123342132362,"1225103848906322,1260729084144993,1139491183429250,834684082852945,1261259812177504,971894815669980,795879638840285,623904786582994,1226514003731413,1243311965925842,1202321397052978,1235224978747922,937153699338620,1109535799611317,978858266637697",619974574898067,,,"(202) 388-9202",,voice,,,
129,760967524914269,765146043026123,"768548905888033,788377494442735",893442799835060,,,"(202) 667-8970",,voice,,"Jubilee Jobs - NW DC Office",
130,759645456897847,909420379146552,,976419995372799,,,"(202) 535-1000",,voice,,,
131,764375598097470,,941820443389996,,,,"(866) 724-1805",,voice,,"Whitman Walker pharmacy line",
132,770218954747061,978433964868542,1205746962140909,828308705468984,,,"(202) 434-2094",,voice,,"AARP Legal Counsel for the Elderly's Self Help Office phone line",
133,785075185786370,1091354780708194,,1203024767725850,,,"(202) 373-0548",,voice,,,
134,797956009759567,,1204195770141501,1311337308136967,1308550324339977,,"(240) 903-0522",,voice,,,
135,737180542817005,832529372572869,936010727694695,1315578558618439,,,"(202) 686-4850",,voice,,,
136,735602797720246,,615102245607234,1287549685614240,,,"(202) 545-2061",,voice,,"Maternal Mental Health Program Manager",
137,742054620150258,1295522145612055,,1102284383103447,,,"(202) 671-4200",,voice,,"DHS Main Office Line",
138,747530458759027,"1134996153077734,1293661242956981",,618748399513081,,,"(301) 608-3508",,fax,,,
139,760013196228008,827068480481455,1279930862215019,,,,"(202) 889-7705",,fax,,,
140,763321039369095,839573866990556,830825158082806,1206510419155059,,,"(202) 386-7016",,voice,,"Bread for the City RPP Program",
141,767434507934353,1061235909513521,"953571703501099,755893450919058,1342355454259613,849877675917053,1312648219687403,926086262623139,584221387739490,1157089206097365",1078800059400169,,,"(202) 724-5626",,voice,,"Department of Aging and Community Living",
142,767533541868240,647230404089036,"1332199960888369,1198304800320219,802059293903880",,,,"(301) 333-0500",,voice,,,
143,773753624070964,,1065184137544502,,1133954302621450,,"(202) 830-3578",,voice,,,
144,778009372167424,,,1287549685614240,,,"(202) 420-7005",,voice,,,
145,777478975973746,1295303526129555,,738572047054521,,,"(202) 338-3100",,voice,,,
146,792531804550347,,"1280595935871142,900958041480936",,,,"(202) 749-8000",,voice,,"DC Domestic Violence Hotline",
147,793985673104032,,"1267873191960879,963242266021755",,809715646339405,,"(202) 396-9330",x333,voice,,"La’Mont Geddis, Director of JC Nalle Community School",
148,795844597305597,1096322006760905,,,,,"(202) 645-0755",,voice,,,
149,795986882596360,584215858451001,"869422229117923,773172814806209,586532932628487,1207720606469506,781718626017793","1235669446637932,1102961709884725",,,"(202) 399-7093",,voice,,"Shelter Hotline",
150,799995518950056,,"990059361209852,586144902080222",,,,"1 (800) 666-2229",,voice,,,
151,802780426682998,1207740090664609,,1058892834992313,,,"(202) 889-1159",,fax,,,
152,804131276272542,803666590300951,,1126607081226356,,,"(301) 838-4200",,voice,,,
153,751061458384755,"932502301190120,869647738071923","826324408184019,743196443052437,777147158438789,1188616906512182,1235579050212858",879684021850075,,,"202 - 483 - 5800",,voice,,,
154,747283188766841,769953967292170,,,,,"(301) 816-8679",,fax,,,
155,763413115790082,,1124494359127801,,,,"(202) 630-0336",,,,,
156,766154485856891,1080745784913482,,,,,"(410) 919-1410",,voice,,,
157,768537491434587,,1215666375374993,1311337308136967,1305015568848566,,"(202) 319-1238",,voice,,,
158,777650091270925,541907027325035,1279531428850596,1189940866829310,,,"(301) 864-3115",,voice,,,
159,777844917986346,759833313909140,,,,,"(202) 399-1349",,fax,,,
160,781930986045364,1331394191570751,958235862658517,808240584407061,1021798665730687,,"(703) 799-8830",,voice,,,
161,786528354395362,,1287171138930601,,1192601815143608,,202-470-1188,,voice,,,
162,800792775269483,,"990789256930274,1136409058298095",1311337308136967,1261442559454701,,"(202) 695-1278",,voice,,,
163,798242927935685,,951302523912390,,,,"(202) 681-9183",,,,,
164,798538151352033,,833348686999567,818433220295218,643142504250845,,"(240) 491-5775",,voice,,,
165,803544912223819,818731653276709,"1173093445425515,595082261115094",1048888394985463,,,"(202) 398-7275",,voice,,,
166,807471270870129,995317546520269,"1273412412302024,961847087578752",846586624529740,,,"(202) 483-7003",,voice,,,
167,806994129206541,660448310809163,,,,,"(202) 678-8877",,voice,,,
168,815987000661681,877840974751997,"823287765002075,1272403811888637,1115773035158894,1097124274962034,1244177955657488,824403148838289,1222343403264201,782329565925103,1280097613047736",1235669446637932,,,"(202) 238-4609",,voice,,,
169,822834585491715,622769721428949,,,,,"(202) 673-3228",,voice,,,
170,760565278757437,987681737906027,1089668903464175,,,,"(202) 588-1375",,voice,,,
171,757572527073038,,1171041183154896,,,,"(202) 545-8047",,voice,,,
172,761730627522865,852062736759123,"1291646983149791,1267670024992885",1119343755243480,,,"(301) 424-1130",,voice,,,
173,775266558725152,1293267778021809,"673842557296387,948867860648638",909886281557711,,,"(202) 644-9800",,voice,,"CAFB phone",
174,782772375690533,"1284378916833442,816235551756131,1157647595052033,1264887939520326","617717048691003,795647463619947,973325735749516,1245717986328193,761788898992773",790090664353865,,,"(202) 727-2132",,fax,,,
175,784662913629758,970983517110031,1066076138766405,1169767322641878,,,"(202) 667-7339",,voice,,"Housing counseling services hotline
Homelessness Prevention Program Number",
176,793192253123968,967601719856630,,1275858156254689,,,"(301) 587-0190",,voice,,,
177,791466840370210,,"1255828431025209,953571703501099,1312648219687403,1098453015435360,849877675917053,755893450919058,1342355454259613,1157089206097365,584221387739490,926086262623139,876179328673488,891803649812249,936010727694695,606430121530643,1183803576061841,756433271745315,1283223847414633,894487344015737,811251791719847,1092859529383419,795787284434998,834464881233325,985958129077094,853430057787908,990059361209852,985539150706956,1070313721456673,586144902080222,1336040674276309,845610250708517,1154573023147130,770578690423338,566547951213450,988299332485221,906941638249299,1128952488713927,1065774935455892,971959192041438,1337627384360672,1096380639922060,1310340922667081,1103064722638793,824310285241952,1250347715174689,626995528078756,788331982799867,635447872052057,1161194466996208,876729070668740,762627227359602,1200468711293825,1164412528090303,586532932628487,1221858333494471,867803749314522,940893098849307,933051063868149,837604202154040,1203534029319840,880643153888927,1231073685933274,1171496076891511,1246366130479163,1204094393733512,831023871673011,788148809413936,1214212862830619,608659423860858,1257889642507838","1078800059400169,1315578558618439,698337947812895,1329764475795847,1347505314266969,1102284383103447,923928818796358,1091742936273498",,,711,,textphone,,"DC Government TeleTYpewriter (TTY) accessible line",
178,794839335523778,984130963161577,"1133841580769830,651056882216531",809725005994328,,,"(202) 583-7416",,voice,,,
179,794599466381754,1280629114863869,1255828431025209,768872992887477,,,"(202) 645-7111",,voice,,,
180,817069508108978,,1257889642507838,,,,"(202) 727-1614",,voice,,"Fire Prevention Inspection",
181,816775581344433,613607303207687,637221801458890,1114290760690506,,,"(202) 678-4300",,voice,,,
182,827964154757857,,828103015767690,,,,"(202) 231-7933",,voice,,"UPO Workforce Institute",
183,773551335877915,584764537637617,,,,,"(202) 645-4614",,voice,,,
184,784457938638703,1261098666898898,"901644988734342,838439633965089",,,,"(202) 506-7264",,voice,,,
185,790273098777706,571282409737911,,,,,"(202) 626-0710",,voice,,,
186,815051675815970,"744169816237550,636167681957227,920110206749977,753670429342362,944001764606866","957679721511506,880540849737772,741133276923057,1205734509587882",,792860991202744,,"(202) 832-9400",,voice,,,
187,826343149445208,1315539978603581,608162049269761,824966357062743,,,"(202) 333-7273",,voice,,HOTLINE,
188,828534605497883,1078276338322764,"949725297401271,763106931954514,936906190018086,678336489867060,1102032278098336,1277554928342075,954270986825825,618510425235763",1012774856380370,,,"(202) 889-2213",,fax,,,
189,785558330051645,1320932553563772,988610275937141,1275858156254689,,,"(202) 635-1900",,voice,,,
190,783954392024579,,,744035004462843,,,"(202) 232-7320",,voice,,,
191,788052661384442,,847408872893699,,,,1-833-429-0537,,voice,,,
192,798012227756605,940988880402930,"1131528502132736,998910660786600,833463361083754,1003127511248132,1074501090125867,819907567165668,594081408024759",643509042901798,,,"(202) 529-2972",,voice,,,
193,801558020367834,825613990987555,"857918942159858,630264519658509,874630142674226,1108750269140523",1126515358200105,,,"(202) 328-5500",,voice,,"WLCH main line",
194,804280432043299,1104999420030021,"890827452085799,842898274944169,905929309244389",1061004820715700,,,"(202) 529-3075",,voice,,,
195,828720521624019,"867480542956619,1142163554566402","885911212444742,786777987046972,611731051197054,978823191463999,1167108992028451,935921848165742,1223343952721664,868294682470679,1287381779305670",918523571271755,,,"(202) 797-8806",,voice,,"SOME Main Line",
196,835104444383094,,928437024657296,,1237698707016820,,"(202) 332-1505",x106,voice,,,
197,841218777703776,1190992226347185,"785169150627540,1092296589947000,1176207549830608,1307844962163383,606736767772085,945829836126554,823785251815168,1099899521922388,1176655697971687,1206755076792649,1150526426164419",951819432538468,,,"(202) 546-1512",,voice,,,
198,850138941420510,1148893965275945,,,,,"(202) 223-9550",,voice,,,
199,850149252069185,1013220022014176,,1309623395147627,,,"(202) 727-4218",,voice,,,
200,795305573959481,1154007819992809,658900524855990,,,,"(202) 574-6141",,voice,,"United Medical Center Primary Care Scheduling",
201,806870939070966,1163405927375948,,680226054600238,,,"(202) 667-8831",,voice,,,
202,813038992671432,1247065547409159,"1171107809657948,1293714246926509,619865391321510,1163788260715796,1182835937166583,1101657033380655",880448544501253,,,"(202) 507-4800",,voice,,,
203,812603817609541,933666460806255,,1293547606068658,,,"(202) 574-6789",,voice,,"Breathe DC phone
",
204,818610335474984,"803666590300951,603618233221428,1085137251641611","1158805154331276,596509168605852,1224495074701354,1247441946122537,1189862050430597,842118695599527,1206515011255222,1249421918700941,956316316250592,943690370414778,1237618325820422,1330460837989046,1176914771702299,1248465838378546,822886605211738,609280054378490",1126607081226356,,,"(301) 816-2633",,voice,,"Main line for JSSA Maryland.",
205,822315774778933,680369109388099,1223973175827182,1227863720998927,,,"(703) 379-9195",,fax,,,
206,824957746276601,600295822156667,,,,,"(202) 673-3201",,voice,,,
207,852562278044221,,1214212862830619,,,,"(202) 727-2215",,voice,,"Juvenile fire setters intervetion program",
208,852459537309170,673635399946198,,1347505314266969,,,"(202) 442-5988",,voice,,,
209,856059026674450,644250986023852,,858928431109507,,,"(202) 723-3000",,voice,,,
210,802443867007966,1125441162012486,,815771475001330,,,"(202) 772-4300",,voice,,,
211,812860777097315,,789154474077987,,,,"(202) 556-1315",,,,,
212,823350359966178,727772454332930,803289389092544,,,,"(800) 433-5255",,voice,,"The Arc of DC",
213,825698509389836,1094057138771894,,,,,"(202) 698-1363",,voice,,,
214,822453108800582,1317058386900282,,818433220295218,,,"(240) 491-5784",,voice,,Employment,
215,826261229525001,940212538195830,,,,,"(301) 585-2120",,voice,,,
216,826409137890041,,755893450919058,,599277120211615,,"(202) 535-1442",,voice,,,
217,830911807602267,842889096789965,,,,,"(202) 673-3229",,voice,,,
218,832941483405417,,"1219445943923328,1242062893800378",1311337308136967,,,"(202) 768-7801",,voice,,,
219,839976254259214,,"583905742719734,1330489680518823,890516898015838,1112712465466061,1024335862745029",1121342754860910,,,"(202) 476-5980",,voice,,"Psychiatry and Behavioral Sciences",
220,847940950856807,,,816837809289342,,,"(202) 291-5535",,voice,,,
221,861539973857515,766212450574576,,619974574898067,,,"(202) 581-0496",,fax,,,
222,863609259130486,,792124806489460,,990934796906011,,202-618-5088,,voice,,,
223,866552416277092,1270081732081180,,949759665008692,,,"(202) 610-0066",,voice,,,
224,814559429952530,1135336670475675,"1239257983465773,1229847373733252",1046365080869798,,,"(202) 682-5825",,voice,,,
225,815636513875681,1246425051489068,,,,,"(202) 673-3204",,voice,,,
226,829471250078983,604721858303896,"744532051423737,1146482188745759,1129022337432214,1124640120854271,1125987342546107,1194872069892643,1245580607395005,912868472017219,917340488183103,989379893295634",832081175822927,,,"(202) 939-2076",,voice,,,
227,829562966078392,812782874544268,,1203024767725850,,,"(202) 735-0979",,voice,,,
228,832798923297357,1251263915124950,1099406667463105,,,,"(202) 675-9222",,voice,,,
229,846422979621264,800069869376535,,1203024767725850,,,"(202) 844-4000",,voice,,,
230,856229083606940,,1173270438890110,,,,202-727-2431,,voice,,"DC Public Library Literacy Helpline",
231,859735189492898,1293436869828060,978561179172265,,,,"(202) 207-2361",,voice,,"Youth Mental Health Services line",
232,859928595598571,1114551742239605,,802638496440415,,,"(202) 803-2350",,fax,,"DC Fax",
233,861143922515481,693867662447380,1252811207069395,,,,"(202) 546-4900",,voice,,,
234,860482618489600,1118017178735628,,,,,"(202) 727-1787",,voice,,,
235,861208313743223,635902575070564,,,,,"(202) 673-3203",,voice,,,
236,861644440091388,,1071954080796084,,,,"(202) 675-9380",,voice,,,
237,862926899529934,1191500192034471,,,,,"(301) 294-0897",,fax,,,
238,863164689864729,,,1093139785713640,1099826607748087,,"(202) 503-1523",,voice,,,
239,868356101059783,,,818433220295218,,,"(301) 270-8432",,voice,,"Salud es Vida Bilingual Health Hotline",
240,869350410768024,,1117364513670581,,,,"(202) 733-2741",,voice,,,
241,878274834315102,,"1227270113734434,1216093434926302",984055402205420,1234433370802801,,"(571) 748-2536",,voice,,,
242,817448213696064,1166859805809640,"1185563905796881,1217517912625492",1277014247696961,,,"(202) 462-8686",,voice,,,
243,820958216163760,777359034139686,,,,,"(202) 673-3225",,voice,,,
244,839097988835862,1209862604521984,,,,,"(202) 673-3210",,voice,,,
245,839546521594442,"988814873768650,636848661261240,1312052344982531,849213479290179","925876618282340,667387929525624,810458383121333,905712024453663,867810178957304,1298850689126022,756590434387042,753746449496571,1308027877412141,808149675507884,1208941632060908",876886021673283,,,"(202) 328-6608",,voice,,,
246,838732841114220,1269099704638669,"1214461475383160,1215155337816976,944086458634778,1053339592565591,1134632582399004",794184973835515,,,"(202) 452-8926",,voice,,,
247,846053195085750,"1094898373646373,1117640220112945","1121716306827418,911538558546594",1235614981567924,,,"(202) 882-1237",,voice,"5,6",,
248,853421305644666,802167449988638,,,,,"(202) 554-2926",,voice,,,
249,849089848233890,,850067707222254,,,,"(202) 543-9355",,voice,,"Whitman-Walker RealTalkDC Line",
250,854170424677205,653251900948938,"826575730085111,629441538824999,625010110827987,576233469616692,1183837054694105,1309075999603061,1290826855930269,1245797842459737,1098034582826680,835196230590039,1144935558772710,766179643113383,896834539658723,1098013630156546,810657067829775,817516189087861,1277600718493078",930037496704241,,,"(202) 328-9799",,voice,,,
251,869647641173429,770924552273178,992653786137258,,1129441517788145,,"(301) 365-4480",x144,voice,,"Meredith McConnell's extension",
252,881290885953231,967598687864523,,,,,"(202) 698-6373",,voice,,,
253,826913634381138,685641446710222,,,,,"(202) 576-7252",,voice,,,
254,841294859040664,1250362245990206,970844412851977,834433815510350,,,"(202) 448-1450",,voice,,,
255,847788406629090,,1251032317225019,,744603534615378,,"(202) 845-8070",,voice,,,
