ID,id,number,location_id,service_id,organization_id,contact_id,extension,type,language,description,phone_schedule,flag
65,665879809068779,"(202) 319-2229",,"685821962980238,1249659581366985,637918031832415",1323195974089796,recyoASYSGGZwmQSx,,voice,,,,
66,662385092304093,301-838-8770,,951768857764331,,,,,,,,
67,669915272220937,240-764-7431,835677959674778,,,,,fax,,,,
68,606695908675970,"(202) 561-8587",1058560288612968,"834460550368169,1298050850536077,775927218674309,1223965805414362",618997848324116,,,voice,,"Bread for the City Southeast Center",,
69,611448477360093,240.491.5775,,1216690927743518,1140996665222837,recFWm2RwJXoKTzTN,,voice,,,,
70,625109799377934,"(202) 733-3643",959373006921454,"957722583611343,760997112833771",636426656659289,,,voice,,"Services line",,
71,646579701967814,"(202) 389-2486",,918238055415108,840733417398800,,,,,"Health Home director",,
72,644056895061746,"(202) 248-3434",1191890430739322,"1220271139140877,1092577874332799,1017815111476074,1135169686375345",1088589897673997,,,voice,,"Main line for Mamatoto Village",,
73,665495770462606,"(202) 213- 1622",1146632771763115,"859897161557047,1267727721478414,850523592271025,747822750998769,784304581015971",1195870505334629,,,,,,,
74,670695859922202,"(202) 469-4699",,804986111814033,,,,,,,,
75,676485134262687,"(202) 667-7339",1189388637168303,,574964812525513,,,voice,,"Housing counseling services hotline",,
76,679656889022644," 202.610.0669",1166799153375505,,769893937425938,,,fax,,,,
77,616629263137129,"(202) 503-1531",,988930242117816,801110030219864,recZXbXsByCgAVdJG,,voice,,,,
78,620660527885902,202.563.1060,1323076878369772,,1195870505334629,,,,,,,
79,634775044632505,"(202) 727-0338",992745211312122,,840733417398800,,,,,,,
80,637096323626057,"(202) 350-4305",,777479494055010,,,,voice,,"Legal services at Catholic Charities",,
81,640566067009366,"(202) 398-3018",608497828316445,,,,,fax,,,,
82,645677274573700,"(202) 396-2809",901362892558172,"917742641898170,1292184415850124,577390293811162",662579547117824,,,voice,,,,
83,646829373351724,202-293-9580,,,,recraKkaTXXYn0ZqF,,voice,,,,
84,671559490002009,"(202) 399-1349",1053529725692782,,,,,fax,,,,
85,676690284227155,703.619.2964,1246140596600748,"1273613208251491,786302163414865",919690199169575,,,voice,,,,
86,675950610691596,202-675-9375,873020349083887,873921955624383,,,,,,,,
87,684728454022674,202-408-1080,,,,,,,,,,
88,686902171451083,"(202) 735-0761","1191156779628062,968786376614445,871972134291589","989188268576682,985593774651159",1262229839027778,,,,,,,
89,688693608343237,"(202) 727-5931",1161706256775181,605774245554167,743525753773182,,,fax,,,,
90,690791937991609,"(202) 772-4300",546085340417620,,663729632205210,,,,,,,
91,691452399025378,"(202) 265-8200",875107767611380,,649101984743047,,,,,,,
92,630919511118386,"(301) 838-4200",977589590864235,,970560028876577,,,voice,,,,
93,645117414301336,202-610-5826,,,761153930697275,rectINrEjw6jTx5nn,,voice,,,,
94,654485576131912,"(202) 889-7296","640375823525191,794797236312168","852851666991889,680052874958118",866237660806724,,,voice,,"Allen Chapel AME",,
95,656788894579634,"(202) 730-0004",1120989994777643,,,,,voice,,"Mazique Parent Child Resource Center",,
96,660946577762729,"(202) 678-2879",1315826372203677,,1287130751059247,,,fax,,,,
97,665113076769939,"(202) 737-9311",,"916268094765428,651504031814159,1166512271577678,963890389048330,1183218830562978,965489694318451,1229484402696374,1267195102722768,988930242117816,1207414557990697,1179313324156762",801110030219864,,,voice,,,,
98,665905423802380,"(202) 238 4609",1186823261288379,"1213230585541920,1219686317955585,1133165843084453,1052254032756894,1253744104425599,777260696695053,1300660045853572,807525744099302,874199505765345,1187200756463947",761153930697275,,,voice,,,recv0RSk3kwBNoano,
99,689569738972286,240.270.1318,,881475888864647,1140996665222837,,,voice,fr,French,,
100,686982567624206,"(202) 291-5535",,,1178149503221687,,,,,,,
101,695928846468418,202-803-2350,770635363010046,,605134586578120,,,fax,,"DC Fax",,
102,708588487667319,202-506-7264,798494517814959,"1307622731573519,1055696283461218",,,,,,,,
103,711776481859444,202-448-1455,,,,,,,,,,
104,714080995184693,202.204.5021,,"1013626780767014,830099986846686,1191542329896840,1225791609508431,579430499829276,623630268141505,873979070344056,1332764177181120",769893937425938,,,voice,,,,
105,725558204724863,"(202) 682-6599",897673459565497,928788698938707,761153930697275,,,voice,,,,
106,732018700373297,"(202) 386-7020",858837023472383,"1080060911179544,1277116846663193",,,,voice,,"Bread for the City medical clinic",,
107,731145721900218,"(202) 328-9680",593420875501329,672042329600890,,,,voice,,,,
108,736432051457759,"(202) 265-0149",826027653390612,,1099027550013558,,,,,,,
109,745110519319130,"(202) 607-7622",,1197691835069647,1323195974089796,recWO6bXZmWhRwQpv,,voice,,,,
110,747827439705313,"(202) 462-7500","789258912445477,803526594539754","733244062080278,953130575650955,814382562390416,1215438821283570,1146357672886284",964008795352849,,,voice,,,,
111,762056949976027,202-397-1725,,"782799413098806,1290396892728753",1180598613249590,,,voice,,,,
112,775081687772349,1-800-535-7252,1106602330344467,"825451959778479,1282686227944763",,,,voice,,"DC’s Emergency Shelter Hotline",,
113,778368103757668,"(202) 289-3611",1195857100779606,,769347676481702,,,,,,,
114,779718783706461,"(202) 833-7500",692231605294536,,973679790071307,,,,,,,
115,736570366653531,"(202) 347-0511",,,,,,,,,,
116,745602667780735,571.748.2500,,,682552065545256,,,voice,,,,
117,746366368083217,703.347.6042,928012146500435,"1273613208251491,786302163414865",919690199169575,,,voice,,,,
118,750055026812266,"(202) 525-1527",,,,,,,,,,
119,756860469257710,"(202) 508-0500",,1233829102705880,,,,,,,,
120,765310724233865,"(301) 864-3115",1182935368999640,843621219939860,1331447374298751,,,voice,,,,
121,779773845250525,202-574-6141,620132940242525,1145687738484263,,,,voice,,"United Medical Center Primary Care Scheduling",,
122,781647570742420,202-234-8000,905037841940941,,1279230501938511,,,voice,,,,
123,789012738713185,202.396.0703,756139435965093,,,,,fax,,,,
124,725097943892600,"(202) 745-8000 ext 4999",1300302103708266,,660031487204054,,,,,,,
125,731593628942678,"(202) 265-1410",1146981306227913,"937906584225930,961164325265072,816660270769024",1085490883099798,,,voice,,,recnDvafH7kyA9Tqf,
126,736909404940832,571.748.2536,,"759287871630149,1273431636145481",682552065545256,recWwZVWvGlCfTIIM,,voice,,,,
127,737339265971542,301-765-5497,1123014911424110,,,,,fax,,,,
128,748549126638961,"no phone number information available for this agency.",,,,,,,,,,
129,755149488867036,"(202) 396-0534",756139435965093,"831904738773639,1175089962860672,967263158004203,1110554525256285,1098750358504732,854338133373761,1224357598807692",1007623446966696,,,voice,,,,
130,750948313560406,202-269-9647,1112335428289741,567631577251008,1107997028998056,,,fax,,,,
131,760540407770358,"(202) 328-5500",786926809235258,,1189531744334079,,,,,,,
132,759133304767858,202-448-1455,,"865253695035282,775356580769657",,recQ0Ig1mXQcdQRpX,,,,,,
133,763524779006557,202.407.7747,1090162375763715,"850523592271025,617097787641398,1255893170172420,747822750998769,784304581015971",1195870505334629,,,,,,,
134,766550059427065,202-675-9222,1218813676681454,908536708739321,,,,,,,,
135,769661238673808,"(202) 745-0073",968722175760593,,1220107638243156,,,,,,,
136,777587688446935,"(202) 583-7416",1197279412047011,"1145399925529779,1075486612088837",782406976349276,,,voice,,,,
137,785784204283979,202-503-1523,,,,recvO3udOgPWMJMuE,,voice,,,,
138,796866824967986,"(202) 540-1064",,"1183383601010590,1240040646031640,1139270346999526",1146223650874517,,,voice,,,,
139,798196836607721,"(202) 793-2157",955920420939787,653858529595915,,,,fax,,,,
140,800542552294891,"(301) 839-1960",1289997318242966,699058261887909,,,201,voice,,,,
141,735608882009072,"(202) 544-0631",936934819762396,"753253159497862,597642797256208,1087270111823708,857913961326886",1245236106154921,,,voice,,"Everyone Home DC Headquarters",,
142,742520224803831,"(202) 543-5796",1185866432124387,758846747979067,1276788103667282,,,,,,,
143,766720094891664,"(202) 388-3001",799908624348129,,932228398355792,,,,,,,
144,763139241210372,"(202) 312-7140",1098817401970888,"1125350403679270,576262745925884,1211369825885952,1150307807148693,580120354830667",931366816861797,,,,,,,
145,776656918535876,202-483-7008,688746232722666,"1048327823635547,895703387545823",1275972111076677,,,voice,,,,
146,796654497660631,"(202) 462-8686",1140386841515505,"1244747959773878,1171417382872545",601937487816671,,,voice,,,,
147,806785633721659,202-675-9380,,1104456609971378,,,,,,,,
148,809087167806044,"(703) 271-0941",1229901678210145,653858529595915,,,,fax,,,,
149,810669867487614,"(202) 889-1159",1282997809596504,,964889233755760,,,fax,,,,
150,753558713598997,"(202) 830-3508",1318861728823017,,906742630902911,,,,,,,
151,754495695785925,202-414-6316,,855116520932040,,,,voice,,,,
152,758285624313707,"(202) 727-1101",928679802213891,,1295401458610005,,,,,,,
153,769779896741380,"(202) 727-8857",1092213609334000,,1183105756467350,,,,,,,
154,785030046200943,202.398.5520,1000709017081839,"859897161557047,850523592271025,1121979483597520",1195870505334629,,,,,,,
155,782271612014328,"(202) 545-8047",,1028365853402776,,,,,,,,
156,801719759212724,"(202) 749-8000",,"672539129008408,1080520592440176",,,,voice,,"DC Domestic Violence Hotline",,
157,802433304248750,"(202) 289-5693",765115819494380,,1180598613249590,,,fax,,,,
158,757819596231988,202-610-2796,,"777260696695053,1300660045853572",761153930697275,recEM2p5BjhCA45RE,,voice,,"Youth services center",,
159,779145162518714,"(301) 439-5944",880015218951352,653858529595915,,,,voice,,,,
160,780586392014879,"(301) 330-0222",1266225890742478,1287178898963916,999334342940796,,,voice,,,recGZSkvZaC6QvEPy,
161,782889011388167,"(202) 508-0500",,1214958471600009,,,,,,,,
162,793218371104365,"(202) 434-2099",1287901333269561,762888373958688,,,,voice,,"AARP Senior Medicare Patrol (SMP)",,
163,819191608404189,202.234.0707,771634087422781,"614149741156528,612309985819526",804045327953048,,,,,,,
164,823866019660328,"(202) 885-5600",1289140698414142,"933469008966389,596938254485583,580209857140665,903471867323822,1148617267210635,1088727091600389",1265431689708141,,,voice,,,,
165,826005584996919,703.323.6494,,"1135905810909481,627760898509669",855094084464049,,,voice,,,,
166,791269361544315,"(202) 727-4218",771071731283748,,1278050819659890,,,,,,,
167,799225207997440,571.320.1761,1091888223201074,,1140996665222837,,,voice,,"Front Desk",rec18KXpG1BrWYjIn,
168,819440187923797,"(202) 232-0789","697236030854047,728145736382163","681767171553959,695948265970000,600624054710125,613307132570587,1160149147134890",809193297555798,,,voice,,,,
169,837377238916897,703.792.3366,,633702102837581,682552065545256,,,voice,,,,
170,843667294628283,202-459-4004,,998912206496705,,,,,,,,
171,838371887515959,"(301) 816-2676",,1052463055100883,,,,voice,,"JSSA Hospice Hotline",,
172,780596419575738,301-608-3508,"610894518918920,1069725146672559",,692112692154000,,,fax,,,"rec5n5MMwj3FTHTWB,recsMY9ETO55xp76i",
173,782968788385719,202-723-0480,728145736382163,,809193297555798,,,fax,,,,
174,785281825274558,202-745-7118,,,,,,,,,,
175,799887146160951,"(202) 687- 0821",877958047132310,,941815502594091,,,,,,,
176,803054506073706,"(800) 433-5255",814793229124367,977586749835410,,,,voice,,"The Arc of DC",,
177,802710299921828,5555555555,,,,,,,,,,
178,814439444138298,800-787-0243,856126341619748,,,,,voice,,,,
179,827283242603751,202-547-8450,609550690795774,,1326157862705937,,,voice,,,,
180,841680442767650,"(202) 470-1201",,1298139501002270,,,,,,,,
181,849264653075649,"202) 808-2727",,,,,,,,,,
182,789425002305998,410.732.7777,1273044419277442,,1140996665222837,,,voice,,Membership,rec7BiS3lGWcH1iUc,
183,790733365231464,"(202) 373-0246",909942619088980,596474071852609,889845893875767,,,voice,,"Academy of Hope - Southeast Site (Ward 8)",,
184,791975728727740,571.748.2680,,1136637606616454,682552065545256,,,voice,,,,
185,801845574930546,"(202) 319-1238",,1140318024724985,1323195974089796,recJLYeJmdm35l7xY,,voice,,,,
186,821254553857567,"(202) 529-3075",861906967611938,"1166106416739636,1220865966040605,856023638190230",1274524554725599,,,voice,,,,
187,843423509819043,571-226-8380,979447652621070,,,,,voice,,,,
188,851233609504150,202-610-2014,,1253744104425599,761153930697275,recYPq90lbqzxj6NH,,voice,,,,
189,849573890085736,"(202) 238-4605",,1133165843084453,761153930697275,rectZNYeoAJtNH5TI,,voice,,,,
190,858213402905044,301-468-1740,694216969315685,,,,,voice,,,,
191,798956401851670,202-624-0010,,"1272292641029297,827029786281023",,,,,,,,
192,804590542957247,"(202) 727-9493",1161706256775181,605774245554167,743525753773182,,,textphone,,,,
193,817066446192440,"(202) 266-6328",847472462897373,,756344334747450,,,,,,,
194,821522834677408,202-741-4100,812651859569539,,,,,,,,,
195,821652578679829,202-312-7159,,"1208786629108154,825628435745785",,recAjxooDMfifSsn7,,,,,,
196,832248572481016,301.270.8432,,,1140996665222837,,,voice,,"Salud es Vida Bilingual Health Hotline",recYHrUrKZ0MIY2k6,
197,830522845866182,202.232.9022,,1022185739742814,1195870505334629,,,voice,,,,
198,853501578147425,"(202) 715-1288",,796887413251668,1006551858895588,,,voice,,,,
199,857252897925447,202-437-5643,,,,,,,,,,
200,858214841580026,"(301) 891-8000",1115728022119882,,,,,voice,,,,
201,861067587432539,"(202) 698-8037",1279218262197811,585908349000516,862675425917588,,,voice,,,,
202,868134146707193,202-483-5801,,,1168436736852155,,,fax,,,,
203,809123225614933,240-491-5746,,,1140996665222837,,,voice,,,rec2jRWuNkNa4J7aa,
204,813086141383291,"(202) 724-5454",1274640117388299,,559154929442125,,,,,,,
205,834729047013661,"(202) 244-7400",878783319164190,,1180598613249590,,,voice,,,,
206,840588984431068,202-698-1838,,,,,,,,,,
207,842965887033119,202-745-7118,"1154195373907801,838780960881380,835677959674778","1291599466171764,978182683421582,759682631849783,754621632893339,902951823980164,945841786673442,1154397851156755,886267440482873,1252264089140599,1187463498588025,1228495289369706,1265325284377461,740916631620812,1248912869636667,961458582690801,660868979951197,1321094180433140,908926837435227",726173106231202,,,voice,,,,
208,842254025136504,"(202) 506-8938",1001921907887485,"1120743935334776,1104683959276927,653156323573606",1276678931351667,,,voice,,,,
209,859934312238230,"(202) 508-0500",,1282251456865145,,,,,,,,
210,866416565083229,"(202) 667-8831",984550353973330,,745762970824360,,,,,,,
211,867238429645312,"(202) 248-2877",1191890430739322,"1220271139140877,1092577874332799,1017815111476074,1135169686375345",1088589897673997,,,voice,,"Intake line for Mamatoto Village",,
212,879017523095473,703.652.1515,,619922899003410,855094084464049,,,voice,,,,
213,878348692886905,"1 (800) 676-4477",,"775111969675006,836738857450646,937486843530248,911181735974447,642284944498747,1230658202367837,639467846851619,714211448512130",810479025131545,,,voice,,Hotline,,
214,815545569707089,"(301) 816-2633","977589590864235,1104646684650585,946508354826345","884244585280076,767255821745825,989819878149890,658231090559812,947357493854904,1173963793862866,970377297500925,1107634998787398,1127640457224641,762171918332918,641610186670486,678882337307747,964012421803449,1201397185768590,785647685413221,833788770520302",970560028876577,,,voice,,"Main line for JSSA Maryland.",,
215,815707427459010,"(202) 682-5825",1215517692128370,"1272430859437969,817086926506130",909401719398962,,,,,,,
216,838049277888490,"(202) 543-3217",,,876151548923517,,,,,,,
217,844454253113341,"(202) 889-3374",647497712481280,,,,,fax,,,,
218,849783929453542,"(240) 491-5780",1283411988337750,,1140996665222837,,,voice,,Employment,recKqIytNPgfpAIgP,
219,851455138371570,202-476-5544,,1195217931217458,,,,,,,,
220,871521669861323,"(202) 476-4733",1282604214927911,1052254032756894,,,,,,,,
221,877271835912480,301-441-1605,1002753920993717,"956817646477291,822106893088278,609582364629457,1060160690284572,800106312438349,743182672086208,995363917586083",605134586578120,,,voice,,"MD Phone",,
222,876749748721110,"(202) 939-1380",1186014650404910,"761018228722418,679830596478752,645384002034771,1135056817241313,644648091160119,1224317983369922,1134361757901839,1248931277100420,734280780069484,1088249391392945",1186080684764999,,,fax,,,,
223,883038530126196,"(202) 882-7345",1112049443949860,,653128415848094,,,voice,,,,
224,885184809366687,202-503-1533,,,801110030219864,recLj9RC1ASMXCSdR,,voice,,,,
225,890796480764789,"(202) 561-4178",994308933727557,,1150695227682882,,,voice,,Office,,
226,827443796670715,"(202) 387-9000",882333039588739,,1284728776860892,,,,,,,
227,833465858171168,"(202) 503-1530",,,801110030219864,recs09xJr42RSraTX,,voice,,,,
228,846201766185688,202.540.9862,1090162375763715,1267727721478414,1195870505334629,,,voice,,"Conway Health and Resource Center - Dental",,
229,850808226653987,571-405-5700,979447652621070,,,,,fax,,,,
230,857944483379087,"(202) 269-7000",1045557663297574,,1110735130668467,,,,,,,
231,871700855571478,202-462-3274,828792720206018,"797834103829212,854051618591377,616081055315775,1140920920771303,1195066035930824,765385785732538,577584068562238,1067731380928038,903665589155441,549681153080082",983721114373124,,,voice,,,,
232,879651358762725,202-291-2160,602791638266539,1109924174096172,1326157862705937,,,fax,,,,
233,898262731782937,Sorry,,,,,,,,,,
234,896191474881929,202.296.8563,888398891117437,"1258855549014937,1124787894447866",1183850219079477,,,voice,,,,
235,898009380902296,202.735.3464,1179174778771993,"657179015884472,1134764669826308",855094084464049,,,voice,,,,
236,837933369101067,703.799.7015,902696829688820,,919690199169575,,,voice,,,,
237,845010409228900,"(202) 768-7801",,"839260018674017,850061472824026",1323195974089796,,,voice,,,,
238,860598871725625,"(202) 291-4707",841307455613093,"796710603642968,598601043584489,1281816879491049,1068357766582058,954908524616299,1243674394135496",851305007018661,,,voice,,"Andromeda Transcultural Health",,
239,857576973728938,"(202) 889-5802",1282997809596504,"1172793580060024,569770427910971,1229131972445514,1311031611561841,1086482131081597,688871630742360,1166105214343141",964889233755760,,,voice,,,,
240,875468115344861,"(202) 673-6993",614054990318357,724876636641588,,,,fax,,,,
241,875226713634799,301-816-8679,694216969315685,,,,,fax,,,,
242,877776396812857,"(312) 673-5517",,1123747363862749,562836772362344,,,voice,,,,
243,891305332730659,"(202) 525-4855",1205522007643431,1225675874740777,864654455488543,,,,,,,
244,908138764728730,"(301) 881-3700",1104646684650585,,970560028876577,,,voice,,,,
245,853098088747359,"(202) 319-3414",1170113060894673,"942312969809968,921815945825806,1181081521839444,1096755308957020,1119079742925957,890398981649041,543629082697964,1241974546153013,787452341993968,1235636405349063,674557198522049,1122242214354849",887352348953420,,,fax,,"Medical record fax number",,
246,853687095165430,"(202) 231-7910",,"943779508068444,794796274007587",761153930697275,,,voice,,,,
247,852143936371728,"(202) 543-4200",671468679071199,"640103169037193,852882436125716",915322254234555,,,voice,,,,
248,856919957289680,301.431.4185,1091435530922324,,1140996665222837,,,voice,,Membership,recAMSDeEndniQisA,
249,864858110639039,202-525-1426,,920716842267245,1256643221396691,,,voice,,,,
250,871982556461569,711,,1270590689586287,1172521016075482,,,textphone,,,,
251,877523491860439," 301-608-3504","610894518918920,1069725146672559","1071110285565782,595461104582359,1244526695505882",692112692154000,,,voice,,,"rec5n5MMwj3FTHTWB,recsMY9ETO55xp76i",
252,900021185703447,"(202) 469-4699",,1087786183743790,,,,,,,,
253,906521258220065,"(202) 722-4544",926855982380347,1184329050770191,,,,voice,,,,
254,907268361598382,202-503-1523,,,,,,,,,,
255,902963958186519,202-388-9209,1284966614626832,,1326157862705937,,,fax,,,,
256,904979906912360,240.290.3311,,619922899003410,855094084464049,,,voice,,,,
257,916234135703836,"(202) 644-9800",,,1191959686811989,,,,,,,
258,916077019265036,"(202) 462-5305",1189388637168303,,574964812525513,,,fax,,,,
259,857164237533130,"(202) 508-0500",,1101603153311416,,,,,,,,
260,878448197736553,202-610-7147,609550690795774,,1326157862705937,,,fax,,,,
261,882078503958236,"(202) 469-4699",,1283472697302797,,,,,,,,
262,907838847178020,"(202) 462-9280",1140386841515505,"1244747959773878,1171417382872545",601937487816671,,,fax,,,,
263,912916861756268,"(202) 939-7627",948165240614648,,1280475814917857,,,,,,,
264,910170559958808,"(202) 387-4848","817854864378068,767274390634346","1098998360726289,940105141272489",795756022910298,,,,,,,
265,911365586682388,202-476-5166,,870219187741961,,,,,,,,
266,913062642189740,"(202) 232-0900",1220597047470925,,865229863994763,,,,,,,
267,918350012207483,202-727-9493,1161706256775181,605774245554167,743525753773182,,,voice,,,,
268,929291849442144,"(202) 889-7705",948736838709158,653858529595915,,,,fax,,,,
269,866347409656142,"(202) 561-0336",994308933727557,,1150695227682882,,,fax,,,,
270,872643474789883,"(202) 635-9053",1112335428289741,567631577251008,1107997028998056,,,voice,,,,
271,887062299451299,"(202) 507-4800",868710877316469,"1235636405349063,774338968156105,674557198522049,1122242214354849,910692115764601,1280840473848403",887352348953420,,,voice,,,,
272,883461165895110,"(202) 783-7343",1147455525775238,"936863331676390,968057316664450,1178562151177693,636134392103308",1318451956583107,,,voice,,,,
273,899126386042540,301-345-1609,1002753920993717,,605134586578120,,,fax,,"MD Fax",,
274,936920006699618,"(202) 745-6151",,760885031702204,,,,,,,,
275,874482698067575,202-889-2102,951106217202607,1322260694270949,,,,,,,,
276,880543716544953,"(202) 537-4000",1279712967379272,,826683601578208,,,,,,,
277,883515995625764,1-888-793-4357,1109839475209474,"1107300725870426,1270590689586287","593530875968066,1220107638243156,1172521016075482",,,voice,,,,
278,900284612419562,202.624.0062,1108850981657232,,769893937425938,,,fax,,,,
279,905425032669080,202.398.3411,628637355176202,"565227181581504,647232963972591,801873048546872,1114943570667214,1125749101520857,1185457585183638",1013543362848937,,,voice,,,,
